developer_key,promoter_names,n_projects,projects,reg_numbers
HERMAN PROPERTIE,HERMAN PROPERTIES PVT. LTD.,4,"""HERMAN CITY AMBALA"" UNDER DDJAY ON LAND MEASURING 13.60ACRES | ""HERMAN CITY AMBALA"" UNDER DDJAY ON LAND MEASURING 13.91ACRES | ""HERMAN CITY AMBALA""UNDER DDJAY ON LAND MEASURING 13.54ACRES | HERMAN CITY AMBALA UNDER DDJAY ON LAND MEASURING 6.24ACRES","HRERA-PKL-AMB-34-2018 , DATED 08-08-2018 | HRERA-PKL-AMB-35-2018 , DATED 08-08-2018 | HRERA-PKL-AMB-36-2018 , DATED 09-08-2018 | HRERA-PKL-AMB-37-2018 , DATED 08-08-2018"
V M REALCON,V & M REALCON,4,MAHIRA GREENS | MAHIRA GREENS 2 | MAHIRA UTSAV | THE URBAN VILLAGE,HRERA-PKL-AMB-369-2022 | HRERA-PKL-AMB-380-2022 | HRERA-PKL-AMB-739-2025 | HRERA-PKL-AMB-852-2026
INFORMATION TV,INFORMATION TV PVT. LTD.,2,"AFFORDABLE   PLOTTED  COLONY  ON 11.85 ACRES | PLOTTED COLONY ON LAND MEASURING ""11.60 ACRES""","211 OF 2017 DATED 18.09.2017 | HRERA-PKL-AMB-24-2018 , DATED 13-07-2018"
WHITE HOUSE EXPORT,WHITE HOUSE EXPORTS PRIVATE LIMITED | WHITE HOUSE EXPORTS PVT LTD,2,GREEN CIRCLE HOMES-IV | GREEN CIRCLE HOMES-VII,HRERA-PKL-AMB-128-2019 | HRERA-PKL-AMB-149-2019
JAIGURUJI BLESSING,JAIGURUJI BLESSINGS PRIVATE LIMITED,2,JAGGI GRAND,HRERA-PKL-AMB-917-2026 | Not Issued Yet
SAUBHAGYA COLONISER,SAUBHAGYA COLONISERS PVT LTD,2,MILAP ESTATE I- 14.90 ACRES | MILAP ESTATE II-10.8375,HRERA-PKL-AMB-77-2018 | HRERA-PKL-AMB-78-2018
M ZUKU EXPORT TV,M/S ZUKU EXPORTS TV PVT. LTD.,1,PLOTTED COLONY AREA 2.675 ACRES RESIDENTIAL,286 OF 2017 DATED 10-10-2017
SKYLARK SOFTWARE TECHNOLOGIE,SKYLARK SOFTWARE TECHNOLOGIES PVT LTD,1,GREEN CIRCLE HOMES-5,HRERA-PKL-AMB-67-2018
VATIKA,VATIKA LIMITED,1,VATIKA CITY CENTRAL,HRERA-PKL-AMB-84-2018
DIRECT NEW,DIRECT NEWS PRIVATE LIMITED,1,DIRECT NEWS PVT LTD,HRERA-PKL-AMB-137-2019
IMPERIAL DEVELOPER,IMPERIAL DEVELOPERS,1,MM INDRAPRASTH,HRERA-PKL-AMB-668-2025
M SURYANASH BUILDER DEVELOPER,M/S SURYANASH BUILDERS AND DEVELOPERS PVT LTD,1,PARK STREET,HRERA-PKL-AMB-608-2024
M AXI INFRABUILD,M/S AXIS INFRABUILD PVT LTD,1,FORTUNE CITY,HRERA-PKL-AMB-635-2024
GANPATI INFRA,GANPATI INFRA,1,ARCADIA INDUSTRIAL PARK,HRERA-PKL-AMB-812-2025
M SIGMA DEVELOPER,M/S SIGMA DEVELOPERS,1,"SIGMA INDUSTRIAL PARK, KAKKAR MAJRA",HRERA-PKL-AMB-800-2025
RCNP BUILDER DEVELOPER,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,1,SAI RESIDENCY  SECTOR 26 AMBALA CITY,HRERA-PKL-AMB-942-2026
HARYANA INDUSTRIAL TOWNSHIP,HARYANA INDUSTRIAL TOWNSHIP,1,HARYANA INDUSTRIAL TOWNSHIP,HRERA-PKL-AMB-943-2026
NAVDESH ASSOCIATE,NAVDESH ASSOCIATES LLP,1,SECTOR 18 AMBALA BUSINESS PARK,HRERA-PKL-AMB-935-2026
