CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-1269,VATIKA AMB-23 RPL (Lic. No. 256 of 2007) (Lic. No. 100 of 2014) (Zoning Plan),07/05/2018 07/05/2018 26/10/2018 14/11/2018 28/11/2018 28/11/2018 11/12/2018 25/11/2018 25/09/2018,16/08/2018 15/10/2025,,LC-1269A,256 OF 2007,07/11/2007,RPL,152.3,Ambala,06/11/2019,23,Vatika Land Base,View Land Schedule,View
LC-1269,VATIKA AMB-23 RPL (Lic. No. 256 of 2007) (Lic. No. 100 of 2014) (Zoning Plan),07/05/2018 07/05/2018 26/10/2018 14/11/2018 28/11/2018 28/11/2018 11/12/2018 25/11/2018 25/09/2018,16/08/2018 15/10/2025,,LC-1269B,100 OF 2014,13/08/2014,RPL,22.07,Ambala,12/08/2019,"21, 22, 23 & 25",Vatika Ltd.,View Land Schedule,View
LC-2273,UNITECH AMB-16 RPL (Zoning Plan),,,,LC-2273A,1 OF 2011,06/01/2011,RPL,60,Ambala,05/01/2029,16,Unitech,View Land Schedule,View
LC-2419,WTM AMB CIR,18/07/2019,"14/7/2016 14/2/2017 25/09/2019 BLOCK-3, CENTRAL PLAZA",01/10/2019,LC-2419A,79 OF 2011,10/09/2011,CIR,3.72,Ambala,09/09/2019,4,WTM Developers,View Land Schedule,View
LC-3299,SAUBHAGYA AMB-4 DDJAY-APHP,,,,LC-3299A,46 OF 2017,13/07/2017,DDJAY-APHP,14.9,Naraingarh,12/07/2026,4,Saubhagya Colonisers Pvt. Ltd.,View Land Schedule,View
LC-3276,ZUKU AMB-27 DDJAY-APHP,,,10/07/2024,LC-3276A,53 OF 2017,22/07/2017,DDJAY-APHP,12.68,Ambala,21/07/2022,27,Zuku Exports Pvt. Ltd.,View Land Schedule,View
LC-3260,INFORMATION AMB-27 DDJAY-APHP,,,18/08/2023,LC-3260A,54 OF 2017,22/07/2017,DDJAY-APHP,11.86,Ambala,21/07/2024,27,Information TV Pvt. Ltd.,View Land Schedule,View
LC-3561,INFORMATION AMB-27 DDJAY-APHP,,,04/06/2024,LC-3561A,85 OF 2017,04/10/2017,DDJAY-APHP,11.6,Ambala,04/10/2024,27,INFORMATION TV PVT. LTD.,View Land Schedule,View
LC-3263,SKYLARK AMB-27 DDJAY-APHP,,,,LC-3263A,5 OF 2018,15/01/2018,DDJAY-APHP,12.0125,Ambala,14/01/2026,27,SKYLARK SOFTWARE TECHNOLOGIES PVT. LTD.,View Land Schedule,View
LC-3632,SAUBHAGYA AMB-4 DDJAY-APHP,,,11/03/2025,LC-3632A,22 OF 2018,21/03/2018,DDJAY-APHP,10.8375,Naraingarh,20/03/2025,4,SAUBHAGYA COLONISERS PVT LTD,View Land Schedule,View
LC-3573,WHITE AMB-26 DDJAY-APHP,,,11/12/2024,LC-3573A,25 OF 2018,18/04/2018,DDJAY-APHP,5.313,Ambala,17/04/2025,27,White House Exports Pvt. Ltd.,View Land Schedule,View
LC-3337,HERMAN AMB-42 DDJAY-APHP Layout Plan,,,,LC-3337A,29 OF 2018,04/05/2018,DDJAY-APHP,13.6,Ambala,03/05/2025,42,ASIAN TOWNSVILLE FARMS LTD,View Land Schedule,View
LC-3306,HERMAN AMB-42 DDJAY-APHP Layout Plan,,,,LC-3306A,30 OF 2018,04/05/2018,DDJAY-APHP,6.24375,Ambala,03/05/2023,42,Herman Properties Pvt. Ltd.,View Land Schedule,View
LC-3423,BONDI AMB-40 DDJAY-APHP,,,,LC-3423A,31 OF 2018,25/05/2018,DDJAY-APHP,14.22,Ambala,24/05/2023,40,Bondi Builders and Developers Pvt. Ltd.,View Land Schedule,View
LC-3271,WHITE AMB-26 DDJAY-APHP,,,,LC-3271A,36 OF 2018,12/06/2018,DDJAY-APHP,9.6125,Ambala,11/06/2023,27,White House Exports Pvt. Ltd.,View Land Schedule,View
LC-3280,DIRECT AMB-26 DDJAY-APHP,,,12/10/2023,LC-3280A,37 OF 2018,18/06/2018,DDJAY-APHP,9.08125,Ambala,17/06/2025,27,DIRECT NEWS PVT. LTD.,View Land Schedule,View
LC-3366,HERMAN AMB-42 DDJAY-APHP,,,,LC-3366A,39 OF 2018,08/06/2018,DDJAY-APHP,13.9135,Ambala,07/06/2025,42,Herman Properties Pvt. Ltd.,View Land Schedule,View
LC-3308,HERMAN AMB-42 DDJAY-APHP Layout Plan,,,,LC-3308A,40 OF 2018,12/06/2018,DDJAY-APHP,13.54375,Ambala,11/06/2025,42,Herman Properties Pvt. Ltd.,View Land Schedule,View
LC-3637,DENIZ AMB-40 DDJAY-APHP,,,,LC-3637A,52 OF 2018,17/07/2018,DDJAY-APHP,14.70625,Ambala,16/07/2023,40,Deniz Builders & Developers Pvt. Ltd.,View Land Schedule,View
LC-5072,SURYANASH AMB-4 CPL,03/04/2024,,,LC-5072A,194 OF 2023,22/09/2023,CPL,1.7875,Ambala,21/09/2028,4,Suryanash Builders and Developers Pvt. Ltd.,View Land Schedule,View
LC-5250,IMPERIAL AMB-25 RGH,16/12/2024,,,LC-5250A,47 OF 2024,12/03/2024,RGH,6.906,Ambala,12/03/2029,25,Imperial Developers,View Land Schedule,View
LC-5250,IMPERIAL AMB-25 RGH,16/12/2024,,,LC-5250B,103 OF 2024,01/08/2024,RGH,3.862,Ambala,31/07/2029,25,Imperial Developers,View Land Schedule,View
LC-5267,AXIS INFRABUILD AMB-42 DDJAY-APHP,,,,LC-5267A,93 OF 2024,23/07/2024,DDJAY-APHP,6.375,Ambala,22/07/2029,42,Axis Infrabuild Private Limited,View Land Schedule,View
LC-5217,GANPATI AMB IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5217A,143 OF 2025,12/08/2025,IPA,19.3625,Ambala,11/08/2030,NA,Ganpati INFRA,View Land Schedule,View
LC-5274,SIGMA  AMB IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5274A,149 OF 2025,14/08/2025,IPA,17.2,Ambala,13/08/2030,NA,Sigma Developers,View Land Schedule,View
LC-5509,HARYANA AMB IPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5509A,178 OF 2025,18/09/2025,IPA,21.593,Ambala,17/09/2030,NA,Haryana Industrial Township,View Land Schedule,View
LC-5474,V&M AMB-26 DDJAY-APHP (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5474A,246 OF 2025,05/12/2025,DDJAY-APHP,11.5,Ambala,04/12/2030,26,V&M Realcon,View Land Schedule,View
LC-5559,JAIGURUJI AMB-16 CPL (Layout Plan) (Layout Plan),,,,LC-5559A,248 OF 2025,12/12/2025,CPL,4,Ambala,11/12/2030,16,Jaiguruji Blessings Pvt. Ltd.,View Land Schedule,View
LC-5802,IMPERIAL AMB-25 CPL (Layout Plan) (Revised Layout Plan),,,,LC-5802A,28 OF 2026,13/02/2026,CPL,4,Ambala,12/02/2031,25,Imperial Developers,View Land Schedule,View
LC-5620,MAHIMA AMB IPL (Layout Plan) (Layout cum Demarcation Plan) (Demarcation cum Zoning Plan),,,,LC-5620A,50 OF 2026,17/03/2026,IPA,28.775,Ambala,16/03/2031,NA,M/s. Mahima Buildtech,View Land Schedule,View
LC-5681,NAVDESH AMB -18B IPL (Layout Plan) (Demarcation Cum Zoning Plan) (Revised Layout Cum Demarcation Plan),,,,LC-5681A,51 OF 2026,17/03/2026,IPL,21.2979,Ambala,16/03/2031,18B,Navdesh Associates LLP,View Land Schedule,View
LC-5801,JAIGURUJI AMB-16 CPL (Zoning Plan),,,,LC-5801A,54 OF 2026,24/03/2026,CIR,2.4875,Ambala,23/03/2031,16,Jaiguruji Blessings Pvt. Ltd.,View Land Schedule,View
LC-4680,Ambala AMB-28 DDJAY-APHP (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-4680A,67 OF 2026,20/04/2026,DDJAY-APHP,5.98125,Ambala,19/04/2031,28,Ambala Home Land Developers Pvt. Ltd.,View Land Schedule,View
LC-5398,WHITE AMB-27 DDJAY-APHP (Layout Plan),,,,LC-5398A,89 OF 2026,08/05/2026,DDJAY-APHP,5.4125,Ambala,07/05/2031,27,White House Exports Pvt. Ltd.,View Land Schedule,View
LC-5466,RCNP AMB-26 DDJAY-APHP (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5466A,97 OF 2026,19/05/2026,DDJAY-APHP,5.05,Ambala,18/05/2031,26,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,View Land Schedule,View
LC-5863,JAIGURUJI AMB-16 CIR (Demarcation cum Zoning Plan),,,,LC-5863A,126 OF 2026,02/07/2026,CIR,2.44375,Ambala,01/07/2031,16,Jaiguruji Blessings Pvt. Ltd.,View Land Schedule,View
