Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,-585-2019,"PLOTTED COLONY ON LAND MEASURING ""11.60 ACRES""","HRERA-PKL-AMB-24-2018 , DATED 13-07-2018",INFORMATION TV PVT. LTD.,"VILLAGE-KANWALA, SECTOR-27, A MBALA CITY",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/675 | https://haryanarera.gov.in/view_project/view_certificate/MjAw | https://haryanarera.gov.in/view_project/project_preview_open/675
2,-534-2019,"""HERMAN CITY AMBALA""UNDER DDJAY ON LAND MEASURING 13.54ACRES","HRERA-PKL-AMB-36-2018 , DATED 09-08-2018",HERMAN PROPERTIES PVT. LTD.,"SECTOR-42, AMBALA CANTT",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/610 | https://haryanarera.gov.in/view_project/view_certificate/MjEy | https://haryanarera.gov.in/view_project/project_preview_open/610
3,-532-2019,"""HERMAN CITY AMBALA"" UNDER DDJAY ON LAND MEASURING 13.91ACRES","HRERA-PKL-AMB-35-2018 , DATED 08-08-2018",HERMAN PROPERTIES PVT. LTD.,"SECTOR-42, AMBALA CANTT",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/608 | https://haryanarera.gov.in/view_project/view_certificate/MjEx | https://haryanarera.gov.in/view_project/project_preview_open/608
4,-536-2019,HERMAN CITY AMBALA UNDER DDJAY ON LAND MEASURING 6.24ACRES,"HRERA-PKL-AMB-34-2018 , DATED 08-08-2018",HERMAN PROPERTIES PVT. LTD.,"SECTOR-42, AMBALA CANTT.",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/612 | https://haryanarera.gov.in/view_project/view_certificate/MjEw | https://haryanarera.gov.in/view_project/project_preview_open/612
5,-530-2019,"""HERMAN CITY AMBALA"" UNDER DDJAY ON LAND MEASURING 13.60ACRES","HRERA-PKL-AMB-37-2018 , DATED 08-08-2018",HERMAN PROPERTIES PVT. LTD.,"SECTOR-42, AMBALA",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/603 | https://haryanarera.gov.in/view_project/view_certificate/MjEz | https://haryanarera.gov.in/view_project/project_preview_open/603
6,-589-2019,AFFORDABLE   PLOTTED  COLONY  ON 11.85 ACRES,211 OF 2017 DATED 18.09.2017,INFORMATION TV PVT. LTD.,"KANWALA. SECTOR 27, AMBALA, H ARYANA",AMBALA,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/681 | https://haryanarera.gov.in/view_project/view_certificate/MTA2 | https://haryanarera.gov.in/view_project/project_preview_open/681
7,-579-2019,PLOTTED COLONY AREA 2.675 ACRES RESIDENTIAL,286 OF 2017 DATED 10-10-2017,M/S ZUKU EXPORTS TV PVT. LTD.,"SECTOR 27, VILLAGE KANAWALA, AMBALA, HARYANA",AMBALA,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/668 | https://haryanarera.gov.in/view_project/view_certificate/MTMz | https://haryanarera.gov.in/view_project/project_preview_open/668
8,RERA-PKL-645-2019,GREEN CIRCLE HOMES-VII,HRERA-PKL-AMB-149-2019,WHITE HOUSE EXPORTS PVT LTD,"VILLAGE KANWALA, SECTOR-27, AMBALA",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/758 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/758
9,RERA-PKL-464-2019,GREEN CIRCLE HOMES-IV,HRERA-PKL-AMB-128-2019,WHITE HOUSE EXPORTS PRIVATE LIMITED,"VILLAGE KANWALA & KANWALI, SECTOR-26, AMBALA CITY",AMBALA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/512 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/512
10,RERA-PKL-2075-2026,JAGGI GRAND,Not Issued Yet,JAIGURUJI BLESSINGS PRIVATE LIMITED,"VILLAGE KHURAMPUR MAJRI, SECTOR 16",AMBALA,HRERA,In-Process,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/4155 | https://haryanarera.gov.in/view_project/project_preview_open/4155
