LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
256 OF 2007,07/11/2007,RPL,152.3,Ambala,23,Vatika Land Base,06/11/2019,False,DEV-MATCH,100,name=100,VATIKA CITY CENTRAL,HRERA-PKL-AMB-84-2018,VATIKA LIMITED
100 OF 2014,13/08/2014,RPL,22.07,Ambala,"21, 22, 23 & 25",Vatika Ltd.,12/08/2019,False,PARCEL-MATCH,100,name=100+sector,VATIKA CITY CENTRAL,HRERA-PKL-AMB-84-2018,VATIKA LIMITED
1 OF 2011,06/01/2011,RPL,60,Ambala,16,Unitech,05/01/2029,True,UNMATCHED,0,,,,
79 OF 2011,10/09/2011,CIR,3.72,Ambala,4,WTM Developers,09/09/2019,False,UNMATCHED,0,,,,
46 OF 2017,13/07/2017,DDJAY-APHP,14.9,Naraingarh,4,Saubhagya Colonisers Pvt. Ltd.,12/07/2026,False,PARCEL-MATCH,100,name=100+sector,MILAP ESTATE II-10.8375,HRERA-PKL-AMB-78-2018,SAUBHAGYA COLONISERS PVT LTD
53 OF 2017,22/07/2017,DDJAY-APHP,12.68,Ambala,27,Zuku Exports Pvt. Ltd.,21/07/2022,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 2.675 ACRES RESIDENTIAL,286 OF 2017 DATED 10-10-2017,M/S ZUKU EXPORTS TV PVT. LTD.
54 OF 2017,22/07/2017,DDJAY-APHP,11.86,Ambala,27,Information TV Pvt. Ltd.,21/07/2024,False,PARCEL-MATCH,100,name=100+sector,"PLOTTED COLONY ON LAND MEASURING ""11.60 ACRES""","HRERA-PKL-AMB-24-2018 , DATED 13-07-2018",INFORMATION TV PVT. LTD.
85 OF 2017,04/10/2017,DDJAY-APHP,11.6,Ambala,27,INFORMATION TV PVT. LTD.,04/10/2024,False,PARCEL-MATCH,100,name=100+area+sector,"PLOTTED COLONY ON LAND MEASURING ""11.60 ACRES""","HRERA-PKL-AMB-24-2018 , DATED 13-07-2018",INFORMATION TV PVT. LTD.
5 OF 2018,15/01/2018,DDJAY-APHP,12.0125,Ambala,27,SKYLARK SOFTWARE TECHNOLOGIES PVT. LTD.,14/01/2026,False,PARCEL-MATCH,100,name=100+sector,GREEN CIRCLE HOMES-5,HRERA-PKL-AMB-67-2018,SKYLARK SOFTWARE TECHNOLOGIES PVT LTD
22 OF 2018,21/03/2018,DDJAY-APHP,10.8375,Naraingarh,4,SAUBHAGYA COLONISERS PVT LTD,20/03/2025,False,PARCEL-MATCH,100,name=100+sector,MILAP ESTATE II-10.8375,HRERA-PKL-AMB-78-2018,SAUBHAGYA COLONISERS PVT LTD
25 OF 2018,18/04/2018,DDJAY-APHP,5.313,Ambala,27,White House Exports Pvt. Ltd.,17/04/2025,False,PARCEL-MATCH,100,name=100+sector,GREEN CIRCLE HOMES-VII,HRERA-PKL-AMB-149-2019,WHITE HOUSE EXPORTS PVT LTD
29 OF 2018,04/05/2018,DDJAY-APHP,13.6,Ambala,42,ASIAN TOWNSVILLE FARMS LTD,03/05/2025,False,UNMATCHED,0,,,,
30 OF 2018,04/05/2018,DDJAY-APHP,6.24375,Ambala,42,Herman Properties Pvt. Ltd.,03/05/2023,False,PARCEL-MATCH,100,name=100+sector,"""HERMAN CITY AMBALA""UNDER DDJAY ON LAND MEASURING 13.54ACRES","HRERA-PKL-AMB-36-2018 , DATED 09-08-2018",HERMAN PROPERTIES PVT. LTD.
31 OF 2018,25/05/2018,DDJAY-APHP,14.22,Ambala,40,Bondi Builders and Developers Pvt. Ltd.,24/05/2023,False,UNMATCHED,0,,,,
36 OF 2018,12/06/2018,DDJAY-APHP,9.6125,Ambala,27,White House Exports Pvt. Ltd.,11/06/2023,False,PARCEL-MATCH,100,name=100+sector,GREEN CIRCLE HOMES-VII,HRERA-PKL-AMB-149-2019,WHITE HOUSE EXPORTS PVT LTD
37 OF 2018,18/06/2018,DDJAY-APHP,9.08125,Ambala,27,DIRECT NEWS PVT. LTD.,17/06/2025,False,PARCEL-MATCH,100,name=100+sector,DIRECT NEWS PVT LTD,HRERA-PKL-AMB-137-2019,DIRECT NEWS PRIVATE LIMITED
39 OF 2018,08/06/2018,DDJAY-APHP,13.9135,Ambala,42,Herman Properties Pvt. Ltd.,07/06/2025,False,PARCEL-MATCH,100,name=100+sector,"""HERMAN CITY AMBALA""UNDER DDJAY ON LAND MEASURING 13.54ACRES","HRERA-PKL-AMB-36-2018 , DATED 09-08-2018",HERMAN PROPERTIES PVT. LTD.
40 OF 2018,12/06/2018,DDJAY-APHP,13.54375,Ambala,42,Herman Properties Pvt. Ltd.,11/06/2025,False,PARCEL-MATCH,100,name=100+area+sector,"""HERMAN CITY AMBALA""UNDER DDJAY ON LAND MEASURING 13.54ACRES","HRERA-PKL-AMB-36-2018 , DATED 09-08-2018",HERMAN PROPERTIES PVT. LTD.
52 OF 2018,17/07/2018,DDJAY-APHP,14.70625,Ambala,40,Deniz Builders & Developers Pvt. Ltd.,16/07/2023,False,UNMATCHED,0,,,,
194 OF 2023,22/09/2023,CPL,1.7875,Ambala,4,Suryanash Builders and Developers Pvt. Ltd.,21/09/2028,True,PARCEL-MATCH,100,name=100+sector,PARK STREET,HRERA-PKL-AMB-608-2024,M/S SURYANASH BUILDERS AND DEVELOPERS PVT LTD
47 OF 2024,12/03/2024,RGH,6.906,Ambala,25,Imperial Developers,12/03/2029,True,PARCEL-MATCH,100,name=100+sector,MM INDRAPRASTH,HRERA-PKL-AMB-668-2025,IMPERIAL DEVELOPERS
103 OF 2024,01/08/2024,RGH,3.862,Ambala,25,Imperial Developers,31/07/2029,True,PARCEL-MATCH,100,name=100+sector,MM INDRAPRASTH,HRERA-PKL-AMB-668-2025,IMPERIAL DEVELOPERS
93 OF 2024,23/07/2024,DDJAY-APHP,6.375,Ambala,42,Axis Infrabuild Private Limited,22/07/2029,True,PARCEL-MATCH,100,name=100+sector,FORTUNE CITY,HRERA-PKL-AMB-635-2024,M/S AXIS INFRABUILD PVT LTD
143 OF 2025,12/08/2025,IPA,19.3625,Ambala,NA,Ganpati INFRA,11/08/2030,True,DEV-MATCH,100,name=100,ARCADIA INDUSTRIAL PARK,HRERA-PKL-AMB-812-2025,GANPATI INFRA
149 OF 2025,14/08/2025,IPA,17.2,Ambala,NA,Sigma Developers,13/08/2030,True,DEV-MATCH,100,name=100,"SIGMA INDUSTRIAL PARK, KAKKAR MAJRA",HRERA-PKL-AMB-800-2025,M/S SIGMA DEVELOPERS
178 OF 2025,18/09/2025,IPA,21.593,Ambala,NA,Haryana Industrial Township,17/09/2030,True,DEV-MATCH,100,name=100,HARYANA INDUSTRIAL TOWNSHIP,HRERA-PKL-AMB-943-2026,HARYANA INDUSTRIAL TOWNSHIP
246 OF 2025,05/12/2025,DDJAY-APHP,11.5,Ambala,26,V&M Realcon,04/12/2030,True,PARCEL-MATCH,100,name=100+sector,MAHIRA UTSAV,HRERA-PKL-AMB-852-2026,V & M REALCON
248 OF 2025,12/12/2025,CPL,4,Ambala,16,Jaiguruji Blessings Pvt. Ltd.,11/12/2030,True,PARCEL-MATCH,100,name=100+sector,JAGGI GRAND,Not Issued Yet,JAIGURUJI BLESSINGS PRIVATE LIMITED
28 OF 2026,13/02/2026,CPL,4,Ambala,25,Imperial Developers,12/02/2031,True,PARCEL-MATCH,100,name=100+sector,MM INDRAPRASTH,HRERA-PKL-AMB-668-2025,IMPERIAL DEVELOPERS
50 OF 2026,17/03/2026,IPA,28.775,Ambala,NA,M/s. Mahima Buildtech,16/03/2031,True,UNMATCHED,0,,,,
51 OF 2026,17/03/2026,IPL,21.2979,Ambala,18B,Navdesh Associates LLP,16/03/2031,True,PARCEL-MATCH,100,name=100+sector,SECTOR 18 AMBALA BUSINESS PARK,HRERA-PKL-AMB-935-2026,NAVDESH ASSOCIATES LLP
54 OF 2026,24/03/2026,CIR,2.4875,Ambala,16,Jaiguruji Blessings Pvt. Ltd.,23/03/2031,True,PARCEL-MATCH,100,name=100+sector,JAGGI GRAND,Not Issued Yet,JAIGURUJI BLESSINGS PRIVATE LIMITED
67 OF 2026,20/04/2026,DDJAY-APHP,5.98125,Ambala,28,Ambala Home Land Developers Pvt. Ltd.,19/04/2031,True,UNMATCHED,0,,,,
89 OF 2026,08/05/2026,DDJAY-APHP,5.4125,Ambala,27,White House Exports Pvt. Ltd.,07/05/2031,True,PARCEL-MATCH,100,name=100+sector,GREEN CIRCLE HOMES-VII,HRERA-PKL-AMB-149-2019,WHITE HOUSE EXPORTS PVT LTD
97 OF 2026,19/05/2026,DDJAY-APHP,5.05,Ambala,26,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,18/05/2031,True,PARCEL-MATCH,100,name=100+sector,SAI RESIDENCY  SECTOR 26 AMBALA CITY,HRERA-PKL-AMB-942-2026,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED
126 OF 2026,02/07/2026,CIR,2.44375,Ambala,16,Jaiguruji Blessings Pvt. Ltd.,01/07/2031,True,PARCEL-MATCH,100,name=100+sector,JAGGI GRAND,Not Issued Yet,JAIGURUJI BLESSINGS PRIVATE LIMITED
