developer_key,promoter_names,n_projects,projects,reg_numbers
AARCITY BUILDER,AARCITY BUILDERS PVT LTD | AARCITY BUILDERS PVT. LTD.,2,REGENCY PARK,295 OF 2017 DATED 13.10.2017 | Not Issued Yet
RAJDARBAR BUILDCON,RAJDARBAR BUILDCON PRIVATE LIMITED | RAJDARBAR BUILDCON PVT. LTD.,2,RAJDARBAR SPACES,HRERA-PKL-HSR-168-2019 | HRERA-PKL-HSR-638-2024
MAA BHAGWATI ASSOCIATE,MAA BHAGWATI ASSOCIATES,2,GOKUL DHAM | GOKUL DHAM PHASE II,HRERA-PKL-HSR-581-2024 | HRERA-PKL-HSR-856-2026
VISHVADHARAM ESTATE,VISHVADHARAM ESTATE LLP,2,GREEN CITY PHASE II | VDL GREEN CITY,HRERA-PKL-HSR-661-2025 | HRERA-PKL-HSR-820-2026
HARYANA SEHRI VIKA PRADHIKARAN,HARYANA SEHRI VIKAS PRADHIKARAN,1,"""AUTO MARKET HANSI"" ON LAND MEASURING 30.58 ACRES",HRERA-PKL-HSR-41-2018
GULAB SINGH GREWAL,GULAB SINGH GREWAL,1,SECTOR 24 RAIPUR ROAD HISAR,HRERA-PKL-HSR-125-2019
RAJDARBAR BUILDCON FORMERLY KNOWN A DAFFODIL BUILDCON,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED,1,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019
MK ENTERPRISE,MKS ENTERPRISES,1,MKS UDYOG CITY,HRERA-PKL-HSR-492-2023
PARK CITY DEVELOPER,PARK CITY DEVELOPERS,1,PARK AVENUE,HRERA-PKL-HSR-455-2023
RAJESH LAMBA,RAJESH LAMBA,1,INDRAVATI ENCLAVE,HRERA-PKL-HSR-514-2023
TULSI TUBE,TULSI TUBES LIMITED,1,ROYAL ENCLAVE,HRERA-PKL-HSR-265-2021
DCM IN JOINT DEVELOPMENT WITH GCD PRIME LC NO 179 OF 2022,"DCM LTD. (IN JOINT DEVELOPMENT WITH GCD PRIME, LC NO. 179 OF 2022)",1,GULMOHAR PARK,HRERA-PKL-HSR-427-2023
M VAIBHAVLAXMI ASSOCIATE,M/S VAIBHAVLAXMI ASSOCIATES,1,GREEN ENCLAVE,HRERA-PKL-HSR-316-2022
M AGROHA DEVELOPER PROMOTER,M/S. AGROHA DEVELOPERS AND PROMOTERS,1,AGROHA ENCLAVE,HRERA-PKL-HSR-404-2023
SIDHI VINAYAK ASSOCIATE,SIDHI VINAYAK ASSOCIATES,1,SHREE KRISHNA ENCLAVE,HRERA-PKL-HSR-587-2024
OPAL DEVELOPER CONSTRUCTION,OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.,1,THE GREEN CITY,HRERA-PKL-HSR-660-2025
M AEREN GOLDSOUK PROJECT HISSAR,M/S AERENS GOLDSOUK PROJECTS HISSAR PVT LTD,1,CONNAUGHT PLACE,HRERA-PKL-HSR-729-2025
V INFRATECH,VS INFRATECH,1,VS INDUSTRIAL PARK,HRERA-PKL-HSR-770-2025
OM ESTATE,OM ESTATES,1,OM ESTATES,HRERA-PKL-HSR-625-2024
AGROHA DEVELOPR,AGROHA DEVELOPRS,1,UKLANA ENCLAVE,HRERA-PKL-HSR-656-2025
DIGANTIKA INFRASTRUCTURE,DIGANTIKA INFRASTRUCTURE LLP,1,DIGANTIKA RESIDENCY,HRERA-PKL-HSR-784-2025
SAHIL VERMA,SAHIL VERMA,1,TIRUPATI BALAJI UDYOG VIHAR,HRERA-PKL-HSR-838-2026
GIRDHAR GOPAL BUILDER DEVELOPER,GIRDHAR GOPAL BUILDER AND DEVELOPER LLP,1,RAMESHWARAM GREENS,HRERA-PKL-HSR-860-2026
BABA JODH DEVELOPER,BABA JODH DEVELOPERS LLP,1,ROYAL CITY BARWALA,HRERA-PKL-HSR-734-2025
MITTAL RATHEE LAND DEVELOPER,MITTAL RATHEE LAND DEVELOPERS LLP,1,URBAN VISTA,HRERA-PKL-HSR-916-2026
THE OPAL DEVELOPER CONSTRUCTION,THE OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.,1,THE GREEN CITY,HRERA-PKL-HSR-359-2022
HOUSING BOARD HARYANA,HOUSING BOARD HARYANA,1,"CONST. OF 756 NOS. EWS FLATS SEC-5, HANSI",HRERA-PKL-HSR-580-2024
