CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-31,HISAR GAZZ HIS RPL,,,,LC-31A,10 OF 1987,18/05/1987,RPL,34,HISSAR,,,Haryana Govt. Gazetted Officers,View Land Schedule,View
LC-515,RADHA KISHAN HAN RPL,,,,LC-515A,123 OF 2004,02/10/2004,RPL,8.394,HANSI,01/10/2029 Renewal of license 123 OF 2004 vide order dated 09/01/2024,,Radha Enclave,View Land Schedule,View
LC-872,DAFFODIL HIS-24 RPL,,01/06/2018 Grant of Occupation Certificate for Residential Building Plot No. 448 Global Space Sector - 24 Hisar ( Sh. Naresh Kumar S/o Sh. Dharampal) 24/05/2018 Grant of Occupation Certificate for Residential Plot no. 332 Global Space Sector 24 Hisar ( Smt. Kavita Chhabra W/o Sh. Rakesh Chhabra) 28/06/2018 Occupation Certificate of Residential Building  of plot No. 568 at Global Sapce Sector-24 Hisar ( Owner Smt. Reena W/o Sh. Yashpal),,LC-872A,1284-1298 OF 2006,25/11/2006,RPL,65.66,Hisar,24/11/2026,24,Daffodil Buildcon,View Land Schedule,View
LC-732,"HISAR REAL HIS-11A,17 RGH HISAR REAL HIS-11A,17 RGH (Layout Plan)",,29/10/2018 (Low Storey Flats Type-1 & 2 and EWS Block) 21/06/2023 21/06/2023,,LC-732A,262 OF 2007,01/12/2007,RGH,12.08,Hisar,30/11/2027,17,Hisar Real Estate,View Land Schedule,View
LC-2084,AERENS HIS CIR,,,,LC-2084A,54 OF 2009,28/08/2009,CIR,6.075,HISSAR,19/02/2028 Revocation of order dated 31.08.2016,25,Aerens Goldsouk Projects (Hissar)  Pvt. Ltd.,View Land Schedule,View
LC-1920,LEELA HIS-1 CIR (Transfer of licence & Change in Dev. Order-11/01/2018),,,,LC-1920A,9 OF 2014,24/05/2014,CIR,4,HISSAR,23/05/2019,1,LEELA INTERCONTINENTAL PRIVATE LTD.,View Land Schedule,View
LC-3660,MDJAIN HIS CPL,22/01/2019,,,LC-3660A,26 OF 2018,25/04/2018,CPL,3.47,HISSAR,24/04/2023,,M.D. Jain HUF,View Land Schedule,View
LC-3322,DAFFODIL HIS-24 DDJAY-APHP DAFFODIL HIS-24 DDJAY-APHP (Layout Plan),,,,LC-3322A,51 OF 2018,17/07/2018,DDJAY-APHP,6.65625,HISSAR,16/07/2026,24,Daffodil Buildcon Pvt Ltd,View Land Schedule,View
LC-3903,DAFF HIS-24 DDJAY-RPL DAFF HIS-24 DDJAY-RPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-3903A,107 OF 2019,10/09/2019,DDJAY-APHP,11.64375,HISSAR,09/09/2026,24,Daffodil Buildcon Pvt Ltd,View Land Schedule,View
LC-3903,DAFF HIS-24 DDJAY-RPL DAFF HIS-24 DDJAY-RPL (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-3903B,23 OF 2022,11/03/2022,DDJAY-APHP,2.1125,HISSAR,10/03/2027,24,Daffodil Buildcon Pvt Ltd,View Land Schedule,View
LC-3902,RAJDARBAR HIS-24 DDJAY-APHP,,,,LC-3902A,13 OF 2020,15/05/2020,DDJAY-APHP,10.0875,HISSAR,14/05/2027,24,Rajdarbar Buildcon Pvt. Ltd.,View Land Schedule,View
LC-3902,RAJDARBAR HIS-24 DDJAY-APHP,,,,LC-3902B,145 OF 2022,27/09/2022,DDJAY-APHP,2,HISSAR,26/09/2027,24,Rajdarbar Buildcon Pvt. Ltd.,View Land Schedule,View
LC-4042,PREMIUM HIS-MC DDJAY-APHP,,,,LC-4042A,35 OF 2020,04/11/2020,DDJAY-APHP,5.34375,HISSAR,03/11/2025,,Premium Infracon Pvt. Ltd.,View Land Schedule,View
LC-4418,TULSI HIS-38 DDJAY-APHP,,,,LC-4418A,46 OF 2021,11/08/2021,DDJAY-APHP,9.43125,HISSAR,02/06/2026,38,TULSI TULES LIMITED,View Land Schedule,View
LC-4582,VAIBHAV HAN-9 DDJAY-APHP,,,,LC-4582A,119 OF 2021,24/12/2021,DDJAY-APHP,5.05625,HANSI,23/12/2026,9,VAIBHAV LAXMI ASSOCIATES,View Land Schedule,View
LC-4591,HICHBS HAN-10 CPL,,,,LC-4591A,24 OF 2022,11/03/2022,CPL,1,HANSI,10/03/2027,17,The Hisar Indian Co-operative House Building Socie,View Land Schedule,View
