Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,-841-2020,REGENCY PARK,295 OF 2017 DATED 13.10.2017,AARCITY BUILDERS PVT. LTD.,"VILLAGE SATROD KHURD , SECTOR 11A & 17,TEHSIL & DISTRICT HISAR, HARYANA",HISAR,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1344 | https://haryanarera.gov.in/view_project/view_certificate/ODQ= | https://haryanarera.gov.in/view_project/project_preview_open/1344
2,-586-2019,"""AUTO MARKET HANSI"" ON LAND MEASURING 30.58 ACRES",HRERA-PKL-HSR-41-2018,HARYANA SEHRI VIKAS PRADHIKARAN,"SECTOR-13 P, HISAR",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/677 | https://haryanarera.gov.in/view_project/view_certificate/NDc3 | https://haryanarera.gov.in/view_project/project_preview_open/677
3,RERA-PKL-837-2020,REGENCY PARK,Not Issued Yet,AARCITY BUILDERS PVT LTD,"VILLAGE SATROD KHURD, SECTOR 11 A & 17",HISAR,HRERA,In-Process,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1330 | https://haryanarera.gov.in/view_project/project_preview_open/1330
5,RERA-PKL-574-2019,SECTOR 24 RAIPUR ROAD HISAR,HRERA-PKL-HSR-125-2019,GULAB SINGH GREWAL,"SECTOR 24 RAIPUR ROAD,  HISAR",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/659 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/659
7,RERA-PKL-324-2018,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED,SECTOR 24 HISAR,HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/221 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/221
10,RERA-PKL-1272-2023,MKS UDYOG CITY,HRERA-PKL-HSR-492-2023,MKS ENTERPRISES,"BEER, BAGLA ROAD, HISAR, HARYANA - 125001",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2455 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2455
11,RERA-PKL-1273-2023,PARK AVENUE,HRERA-PKL-HSR-455-2023,PARK CITY DEVELOPERS,"VILLAHE - DHANA, SECTOR - 1, HANSI, DISTRICT - HISAR",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2459 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2459
12,RERA-PKL-1274-2023,INDRAVATI ENCLAVE,HRERA-PKL-HSR-514-2023,RAJESH LAMBA,"VILLAGE SHEKHPURA, SECTOR-4, HANSI",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2461 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2461
14,RERA-PKL-956-2021,ROYAL ENCLAVE,HRERA-PKL-HSR-265-2021,TULSI TUBES LIMITED,"SECTOR - 38, HISAR",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1698 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1698
15,RERA-PKL-1166-2022,GULMOHAR PARK,HRERA-PKL-HSR-427-2023,"DCM LTD. (IN JOINT DEVELOPMENT WITH GCD PRIME, LC NO. 179 OF 2022)","SECTOR 23 IN REVENUE ESTATE OF VILLAGE BIR, HISAR",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2202 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2202
16,RERA-PKL-1011-2022,GREEN ENCLAVE,HRERA-PKL-HSR-316-2022,M/S VAIBHAVLAXMI ASSOCIATES,"RAILWAY ROAD, OPP. HUKAM CHAND  PARK SECTOR 9,HANSI",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1844 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/1844
18,RERA-PKL-720-2019,RAJDARBAR SPACES,HRERA-PKL-HSR-168-2019,RAJDARBAR BUILDCON PVT. LTD.,"SECTOR - 24, HISAR",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/868 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/868
19,RERA-PKL-1182-2022,AGROHA ENCLAVE,HRERA-PKL-HSR-404-2023,M/S. AGROHA DEVELOPERS AND PROMOTERS,"SECTOR - 2, AGROHA",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2245 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2245
20,RERA-PKL-1439-2024,SHREE KRISHNA ENCLAVE,HRERA-PKL-HSR-587-2024,SIDHI VINAYAK ASSOCIATES,"SECTOR - 1, HANSI, VILLAGE - DHANA",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2853 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2853
21,RERA-PKL-1420-2024,GOKUL DHAM,HRERA-PKL-HSR-581-2024,MAA BHAGWATI ASSOCIATES,"VILLAGE - DHANA, SECTOR -1 HANSI",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2801 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2801
22,RERA-PKL-1577-2024,THE GREEN CITY,HRERA-PKL-HSR-660-2025,OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.,"SECTOR - 2, HANSI",HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3216 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3216
26,RERA-PKL-1542-2024,CONNAUGHT PLACE,HRERA-PKL-HSR-729-2025,M/S AERENS GOLDSOUK PROJECTS HISSAR PVT LTD,SECTOR 25,HISAR,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/3112 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/3112
