LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
10 OF 1987,18/05/1987,RPL,34,HISSAR,,Haryana Govt. Gazetted Officers,,,WEAK,70,name=70,"CONST. OF 756 NOS. EWS FLATS SEC-5, HANSI",HRERA-PKL-HSR-580-2024,HOUSING BOARD HARYANA
123 OF 2004,02/10/2004,RPL,8.394,HANSI,,Radha Enclave,01/10/2029 Renewal of license 123 OF 2004 vide order dated 09/01/2024,True,UNMATCHED,0,,,,
1284-1298 OF 2006,25/11/2006,RPL,65.66,Hisar,24,Daffodil Buildcon,24/11/2026,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED
262 OF 2007,01/12/2007,RGH,12.08,Hisar,17,Hisar Real Estate,30/11/2027,True,UNMATCHED,0,,,,
54 OF 2009,28/08/2009,CIR,6.075,HISSAR,25,Aerens Goldsouk Projects (Hissar)  Pvt. Ltd.,19/02/2028 Revocation of order dated 31.08.2016,True,PARCEL-MATCH,100,name=100+sector,CONNAUGHT PLACE,HRERA-PKL-HSR-729-2025,M/S AERENS GOLDSOUK PROJECTS HISSAR PVT LTD
9 OF 2014,24/05/2014,CIR,4,HISSAR,1,LEELA INTERCONTINENTAL PRIVATE LTD.,23/05/2019,False,UNMATCHED,0,,,,
26 OF 2018,25/04/2018,CPL,3.47,HISSAR,,M.D. Jain HUF,24/04/2023,False,UNMATCHED,0,,,,
51 OF 2018,17/07/2018,DDJAY-APHP,6.65625,HISSAR,24,Daffodil Buildcon Pvt Ltd,16/07/2026,False,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED
107 OF 2019,10/09/2019,DDJAY-APHP,11.64375,HISSAR,24,Daffodil Buildcon Pvt Ltd,09/09/2026,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED
23 OF 2022,11/03/2022,DDJAY-APHP,2.1125,HISSAR,24,Daffodil Buildcon Pvt Ltd,10/03/2027,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED
13 OF 2020,15/05/2020,DDJAY-APHP,10.0875,HISSAR,24,Rajdarbar Buildcon Pvt. Ltd.,14/05/2027,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED
145 OF 2022,27/09/2022,DDJAY-APHP,2,HISSAR,24,Rajdarbar Buildcon Pvt. Ltd.,26/09/2027,True,PARCEL-MATCH,100,name=100+sector,RAJDARBAR SPACES,HRERA-PKL-HSR-87-2019,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED
35 OF 2020,04/11/2020,DDJAY-APHP,5.34375,HISSAR,,Premium Infracon Pvt. Ltd.,03/11/2025,False,UNMATCHED,0,,,,
46 OF 2021,11/08/2021,DDJAY-APHP,9.43125,HISSAR,38,TULSI TULES LIMITED,02/06/2026,False,PARCEL-MATCH,90,name=90+sector,ROYAL ENCLAVE,HRERA-PKL-HSR-265-2021,TULSI TUBES LIMITED
119 OF 2021,24/12/2021,DDJAY-APHP,5.05625,HANSI,9,VAIBHAV LAXMI ASSOCIATES,23/12/2026,True,PARCEL-MATCH,81,name=81+sector,GREEN ENCLAVE,HRERA-PKL-HSR-316-2022,M/S VAIBHAVLAXMI ASSOCIATES
24 OF 2022,11/03/2022,CPL,1,HANSI,17,The Hisar Indian Co-operative House Building Socie,10/03/2027,True,UNMATCHED,0,,,,
97 OF 2022,15/07/2022,RPL,13.2,HANSI,2,Opal Developers and Construction Pvt. Ltd.,14/07/2027,True,PARCEL-MATCH,100,name=100+sector,THE GREEN CITY,HRERA-PKL-HSR-660-2025,OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.
72 OF 2024,28/06/2024,RPL,9.72,HANSI,2,Opal Developers and Construction Pvt. Ltd.,27/06/2029,True,PARCEL-MATCH,100,name=100+sector,THE GREEN CITY,HRERA-PKL-HSR-660-2025,OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.
179 OF 2022,07/11/2022,DDJAY-APHP,67.275,HISSAR,23,DCM Limited,06/11/2027,True,PARCEL-MATCH,100,name=100+sector,GULMOHAR PARK,HRERA-PKL-HSR-427-2023,"DCM LTD. (IN JOINT DEVELOPMENT WITH GCD PRIME, LC NO. 179 OF 2022)"
71 OF 2023,06/04/2023,IPA,15.4375,HISSAR,NA,MKS Enterprises,05/04/2028,True,DEV-MATCH,100,name=100,MKS UDYOG CITY,HRERA-PKL-HSR-492-2023,MKS ENTERPRISES
73 OF 2023,06/04/2023,DDJAY-APHP,16.39375,HANSI,4,Sh. Rajesh Lamba,05/04/2028,True,PARCEL-MATCH,100,name=100+sector,INDRAVATI ENCLAVE,HRERA-PKL-HSR-514-2023,RAJESH LAMBA
75 OF 2023,06/04/2023,DDJAY-APHP,7.375,HANSI,1,Park City Developers,05/04/2028,True,PARCEL-MATCH,100,name=100+sector,PARK AVENUE,HRERA-PKL-HSR-455-2023,PARK CITY DEVELOPERS
126 OF 2023,15/06/2023,DDJAY-APHP,12.05625,HISSAR,39,Vishvadharam Estate LLP,14/06/2028,True,PARCEL-MATCH,100,name=100+sector,GREEN CITY PHASE II,HRERA-PKL-HSR-820-2026,VISHVADHARAM ESTATE LLP
177 OF 2025,18/09/2025,DDJAY-APHP,17.2875,HISSAR,39,Vishvadharam Estate LLP,17/09/2030,True,PARCEL-MATCH,100,name=100+sector,GREEN CITY PHASE II,HRERA-PKL-HSR-820-2026,VISHVADHARAM ESTATE LLP
195 OF 2023,25/09/2023,DDJAY-APHP,7.91875,HANSI,1,Sidhi Vinayak Associates,24/09/2028,True,PARCEL-MATCH,100,name=100+sector,SHREE KRISHNA ENCLAVE,HRERA-PKL-HSR-587-2024,SIDHI VINAYAK ASSOCIATES
204 OF 2023,09/10/2023,DDJAY-APHP,36.6125,HANSI,1,Maa Bhagwati Associates,08/10/2028,True,PARCEL-MATCH,100,name=100+sector,GOKUL DHAM,HRERA-PKL-HSR-581-2024,MAA BHAGWATI ASSOCIATES
215 OF 2025,31/10/2025,DDJAY-APHP,8.59375,HANSI,1,Maa Bhagwati Associates,30/10/2030,True,PARCEL-MATCH,100,name=100+sector,GOKUL DHAM,HRERA-PKL-HSR-581-2024,MAA BHAGWATI ASSOCIATES
91 OF 2024,18/07/2024,DDJAY-APHP,11.03125,Uklana,,Agroha Developers,17/07/2029,True,DEV-MATCH,100,name=100,AGROHA ENCLAVE,HRERA-PKL-HSR-404-2023,M/S. AGROHA DEVELOPERS AND PROMOTERS
117 OF 2024,14/08/2024,IPA,19.725,HISSAR,NA,OM ESTATES,13/08/2029,True,DEV-MATCH,100,name=100,OM ESTATES,HRERA-PKL-HSR-625-2024,OM ESTATES
20 OF 2025,17/02/2025,DDJAY-APHP,5.66875,HISSAR,5,Baba Jodh Developers,16/02/2030,True,PARCEL-MATCH,100,name=100+sector,ROYAL CITY BARWALA,HRERA-PKL-HSR-734-2025,BABA JODH DEVELOPERS LLP
