FileNo,ReceiptDate,Purpose,Area_acre,DevPlanRaw,Sector,Developer
LC-3554A,06/01/2017,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.17,HISAR,24,Daffodil Buildcon Pvt. Ltd.
LC-4319A,30/07/2020,COMMERCIAL LICENCE IN COMMERCIAL ZONE,1,HANSI,17,THE HISAR INDIAN COOPERTIVE HOUSE BUILDING SOCIETY
LC-4395A,10/12/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.95625,HISSAR,36,SHYAM SUNDER GOYAL & VIVEK GOYAL
LC-4563A,25/06/2021,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.106,HISSAR,43,Skycourt Estates private Limited
LC-4591B,25/03/2022,COMMERCIAL PLOTTED COLONY,1,HANSI,17,The Hisar Indian Co-op. House Building Society Ltd
LC-4650A,28/10/2021,COMMERCIAL PLOTTED COLONY,2.25625,HISSAR,24,CJ Darcl Logistics Limited
LC-4716C,27/04/2026,RESIDENTIAL PLOTTED COLONY,5.1236,HANSI,2,Opal Developers and Construction Pvt. Ltd.
LC-5106B,15/07/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,2.91562,HANSI,1,Sidhi Vinayak Associates
LC-5133B,08/05/2026,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,9,HISSAR,NA,Monarch Farms
LC-5160A,14/07/2023,COMMERCIAL PLOTTED COLONY,2.08125,HANSI,NA,Imarti Devi Buildcon Pvt Ltd
LC-5339B,12/09/2025,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,25.26041,HANSI,18,V.S. Infratech
LC-5385A,29/05/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.56875,HANSI,13,S Y Buildcon Private Limited
LC-5479A,15/07/2024,COMMERCIAL PLOTTED COLONY,2.25625,HISSAR,24,TCG APEX LLP
LC-5585A,19/02/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.6125,HISSAR,NA,Smt. Sushila wo Sh. Jaswant Singh and others
LC-5668A,14/05/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.60625,HANSI,13,Bala Ji Enclave
LC-5732A,28/07/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,22.89375,HANSI,13,Tanya Real Estate
LC-5756A,14/08/2025,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,26.9187,HISSAR,NA,J Estates Private Limited
LC-5784A,30/09/2025,INDUSTRIAL PLOTTED COLONY IN INDUSTRIAL ZONE,28.35,HANSI,18,Ultima Real Estate
LC-5874A,11/02/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.78125,HISSAR,16,Maa Durga Associates
LC-5930A,20/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.0875,HANSI,4,Badrinath Dham Associates
LC-5954A,13/05/2026,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,21.58125,HISSAR,NA,MD ERA Developers LLP
LC-6025A,05/08/2026,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,10.95625,HISSAR,NA,M/s Balaji Landmark Developer LLP
LC-6031A,21/08/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.76875,HISSAR,3,Pahaada Ram Zaildaar Estate LLP
