developer_key,promoter_names,n_projects,projects,reg_numbers
ALPHA CORP DEVELOPMENT,ALPHA CORP DEVELOPMENT PRIVATE LIMITED | ALPHA CORP DEVELOPMENT PVT LTD,9,ALPHA ATULYAM | ALPHA PLAZA | ALPHA PLAZA ANNEX 1 | ALPHA PLAZA ANNEX 2 | ALPHACORP HANU ENCLAVE | AREA 4.1055 ACRES COMMERCIAL COLONY | AVENUE 29 | YET TO BE DECIDED,369 OF 2017 DATED 24-11-2017 | HRERA-PKL-KNL-80-2018 | HRERA-PKL-KNL-81-2018 | HRERA-PKL-KRL-247-2021 | HRERA-PKL-KRL-300-2022 | HRERA-PKL-KRL-335-2022 | HRERA-PKL-KRL-336-2022 | HRERA-PKL-KRL-428-2023 | HRERA-PKL-KRL-469-2023
M CHD DEVELOPER,M/S CHD DEVELOPERS LTD,5,"AFFORDABLE PLOTTED COLONY, AREA 14.388 | PLOTTED COLONY AREA 0.8937 RESIDENTIAL | PLOTTED COLONY AREA 11.906 ACRES | PLOTTED COLONY AREA 13.294 RESIDENTIAL | PLOTTED COLONY AREA 2.725 RESIDENTIAL",07 OF 2017 DATED 23.06.2017 | 08 OF 2017 DATED | 176 OF 2017 DATED 31-08-2017 | 191 OF 2017 DATED 14.09.2017 | 33 OF 2017 DATED 07-08-2017
ANSAL HOUSING CONSTRUCTION,ANSAL HOUSING & CONSTRUCTION LTD. | ANSAL HOUSING AND CONSTRUCTION LTD.,3,ANSAL TOWN KARNAL (DDJAY SCH-1) | ANSAL TOWN KARNAL (DDJAY SCH-3) | ANSAL TOWN KARNAL DDAY AREA 6.63 ACRES,HRERA-PKL-KNL-32-2018 | HRERA-PKL-KNL-43-2018 | HRERA-PKL-KNL-44-2018
RA DEVELOPMENT,RAS DEVELOPMENT PVT LTD | RAS DEVELOPMENTS PVT LTD | RAS DEVELOPMENTS PVT. LTD.,3,"GROUP HOUSING COLONY, AREA 7.006 ACRES RESIDENTIAL | RAS RESIDENCY 2 | RAS RESIDENCY-I, LAND MEASURING 5.1875","283 OF 2017 DATED 10-10-2017 | HRERA-PKL-KNL-23-2018 , DATED 13-07-2018 | HRERA-PKL-KRL-326-2022"
ANSAL LANDMARK KARNAL TOWNSHIP,ANSAL LANDMARK(KARNAL) TOWNSHIP PVT. LTD,3,"PLOTTED COLONY AREA 57.654 RESIDENTIAL | PLOTTED COLONY AREA 71.01 ACRES RESIDENTIAL | SUSHANT  ROYALE, AREA 11.239 ACRES",134 OF 2017 DATED 28.08.2017 | 140 OF DATED 28-08-2017 | 338 OF 2017 DATED 17-10-2017
ARV BUILDER,ARV BUILDERS,3,ALAKNANDA AVENUE | KARNAL SHOPPING ARCADE | KARNAL SHOPPING ARCADE-2,HRERA-PKL-KRL-306-2022 | HRERA-PKL-KRL-486-2023 | HRERA-PKL-KRL-745-2025
RAJDARBAR BUILDER,RAJDARBAR BUILDERS PRIVATE LIMITED,3,RAJDARBAR GREEN VALLEY | RAJDARBAR SPACES,HRERA-PKL-KNL-166-2019 | HRERA-PKL-KRL-669-2025 | HRERA-PKL-KRL-906-2026
MAA VAISHNO NET TECH,MAA VAISHNO NET-TECH PVT. LTD.,2,"SIGNATURE GLOBAL CITY-I, LAND MEASURING ""15 ACRES"" | SIGNATURE GLOBAL CITY-II, LAND MEASURING ""15 ACRES""","HRERA-PKL-KNL-26-2018 , DATED 20-07-2018 | HRERA-PKL-KNL-27-2018 , DATED 20-07-2018"
LEVITY ENTERPRISE,LEVITY ENTERPRISES PRIVATE LIMITED,2,GOLF LINKS | GOLF LINKS (PHASE-II),HRERA-PKL-KNL-177-2019 | HRERA-PKL-KNL-178-2019
M MADHUBAN COLONIZER,M/S MADHUBAN COLONIZERS PVT LTD,2,ORANGE PRIME CITY | ORANGE THE FORT,HRERA-PKL-KRL-649-2025 | HRERA-PKL-KRL-754-2025
