CaseNo,Colony,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,ValidUpto,Sector,Developer
LC-489 Map View,TRUEZONE KAR-33 RPL,LC-489A,286-290 OF 2005,25/11/2005,RPL,26.05,Karnal,24/11/2026,33,True Zone Builders
LC-632 Map View,ALPHA KAR-28-29 RPL,LC-632A,296-301 OF 2005,16/12/2005,RPL,62.098,KARNAL,15/12/2029,29,ALPHA CORP DEVELOPMENT LIMITED
,,LC-632B,948-955 OF 2006,15/05/2006,RPL,79.35,KARNAL,14/04/2029,"28,29",ALPHA CORP DEVELOPMENT LIMITED
,,LC-632D,29 OF 2011,05/04/2011,RPL,85.37,KARNAL,04/04/2029 (0.10 Acres Migrated into Licence No. 222 of 2025),29,ALPHA CORP DEVELOPMENT LIMITED
LC-536 Map View,TRUEZONE KAR-32 RPL (Layout Plan-06/07/2007) TRUEZONE KAR-32 RPL (Layout Plan-06/07/2007),LC-536A,401-405 OF 2006,12/01/2006,RPL,55.18,Karnal,11/01/2027,32,True Zone Builders
LC-634 Map View,SUNNIVA KAR-36 RGH,LC-634A,456 OF 2006,10/02/2006,RGH,5.03,Karnal,09/02/2030,36,Sunniva Promoters
LC-744 Map View,API KAR-36 RGH,LC-744A,458-461 OF 2006,15/02/2006,RGH,11.24,Karnal,14/02/2017,36,Ansal Properties & Infrastructure
LC-854 Map View,RAS KAR-36 RGH,LC-854A,1203-1204 OF 2006,05/10/2006,RGH,5.19,Karnal,04/10/2027,36,RAS Developers
LC-1137 Map View,CHD KAR-45 RPL,LC-1137A,11-24 OF 2007,04/01/2007,RPL,73.06,Karnal,03/01/2019,45,CHD Developers
,,LC-1137B,168 OF 2008,08/09/2008,RPL,50.82,Karnal,07/09/2018,45,CHD Developers
,,LC-1137C,71 OF 2011,21/07/2011,RPL,23.71,Karnal,20/07/2019,45,CHD Developers
,,LC-1137D,125 OF 2012,20/12/2012,RPL,14.61,Karnal,19/12/2018,45,CHD Developers Ltd.
,,LC-1137E,65 OF 2014,12/07/2014,RPL,1.54,Karnal,11/07/2019,45,CHD Developers Ltd.
,,LC-1137F,16 OF 2017,03/05/2017,RPL,0.8937,KARNAL,02/05/2022 Cancelled vide order dated 12/07/2018 & Licence restored vide order dated 03/10/2018,45,CHD Developers Ltd
LC-981 Map View,ANSAL KAR-36 RPL,LC-981A,183 OF 2007,31/05/2007,RPL,97.77,KARNAL,30/05/2029,36,Ansal Housing & Construction Pvt. Ltd
LC-958 Map View,SUSCIY KAR-36 RPL (Revised Zoning Plan ),LC-958A,264 OF 2007,03/12/2007,RPL,57.65,Karnal,02/12/2017,36,Ansal Properties & Infrastructure
LC-953 Map View,JBB KAR-35 RGH (earlier approved on 06/09/2010) JBB KAR-35 RGH (in-principle approval on 15/10/2015 & Revised BP approved on 27/1/2016),LC-953A,95 OF 2008,12/05/2008,RGH,5,Karnal,11/05/2023,35,JBB Infrastructure
LC-1886 Map View,ANSAL API KAR RPL (Layout Plan),LC-1886A,60 OF 2009,26/10/2009,RPL,71.01,Karnal,25/10/2027,,Ansal Properties & Infrastructure
LC-2443 Map View,HABITAT KAR-28 CIC,LC-2443A,30 OF 2011,05/04/2011,CIC,4.11,Karnal,04/04/2024,28,Habitat Buildcon
LC-2479 Map View,ULTRA KAR-32 RGH,LC-2479A,46 OF 2011,23/05/2011,RGH,6.36,Karnal,22/05/2024,32,Ultratech Township Developer
LC-2436 Map View,SONI KAR-32-32A RPL,LC-2436A,52 OF 2011,10/06/2011,RPL,50.41,Karnal,09/06/2026,32,Soni Realtors
LC-2040 Map View,OP LATHER KAR-33 RPL (Zoning Plan),LC-2040A,74 OF 2011,23/08/2011,RPL,5.969,KARNAL,22/08/2015,33,OP Lathar
LC-2549 Map View,SKYHIGH KAR-32 CIR,LC-2549A,108 OF 2011,11/12/2011,CIR,2.06,Karnal,10/12/2027,32,Sky High Landcon
,,LC-2549B,108 OF 2013,26/12/2013,CIR,0.48,Karnal,25/12/2027,32,Skyhigh Landcon Pvt. Ltd.
LC-2563 Map View,SKYHIGH KAR-32 RGH (Order dtd. 14/01/2025),LC-2563A,109 OF 2011,11/12/2011,RGH,5.2,KARNAL,10/12/2015,32,Sky High Landcon
LC-1157 Map View,RAS KAR-36 RGH,LC-1157A,112 OF 2011,17/12/2011,RGH,3.83,Karnal,16/12/2029,36,RAS Developers
LC-1226 Map View,PARSVNATH KAR-35 RPL (Demarcation cum Zoning Plan),LC-1226A,73 OF 2012,11/07/2012,RPL,50.56,Karnal,10/07/2016,35,Parsavnath Developers
,,LC-1226B,141 OF 2014,29/08/2014,RPL,30.57,Karnal,28/08/2019,35,Parsvnath Developers Ltd.
LC-2893 Map View,VAASTU KAR-35 RGH (Demarcation cum Zoning Plan),LC-2893A,99 OF 2013,21/11/2013,RGH,6.2,Karnal,20/11/2028,35,Vaastu Infratech Pvt. Ltd.
LC-3163 Map View,SANTUR KAR-35 AHP,LC-3163A,4 OF 2015,31/07/2015,AHP,9.51,KARNAL,30/07/2020,35,SANTUR SPACES PVT. LTD.
LC-3070 Map View,AEGIS KAR-32A AHP,LC-3070A,2 OF 2016,05/03/2016,AHP,5.65,Karnal,04/03/2025,32A,AEGIS Value Homes Ltd. (JD Universal)
LC-3128 Map View,AEGIS KAR-32 CIR,LC-3128A,16 OF 2016,10/10/2016,CIR,2.68,Karnal,09/10/2021,32,AEGIS Value Homes Ltd.
LC-3512 Map View,CHD KAR-45 RPL,LC-3512A,17 OF 2017,04/05/2017,RPL,2.725,KARNAL,03/05/2022 Cancelled vide order dated 12/07/2018 & Licence Restored vide order dated 03/10/2018,45,CHD Developers Ltd
LC-3555 Map View,CHD KAR-45 DDJAY-APHP,LC-3555A,19 OF 2017,15/05/2017,DDJAY-APHP,13.29,Karnal,14/05/2022,45,CHD Developers Ltd.
LC-3557 Map View,CHD KAR-45 DDJAY-APHP,LC-3557A,20 OF 2017,15/05/2017,DDJAY-APHP,11.91,Karnal,14/05/2022,45,CHD Developers Ltd.
LC-3556 Map View,CHD KAR-45 DDJAY-APHP,LC-3556A,22 OF 2017,23/05/2017,DDJAY-APHP,14.39,Karnal,22/05/2022,45,CHD Developers Ltd.
LC-3265 Map View,VATIKA KAR-36 DDJAY-APHP,LC-3265A,38 OF 2017,29/06/2017,DDJAY-APHP,6.83,Karnal,28/06/2022,36,Vatika Colonizers Pvt. Ltd.
LC-3279 Map View,SKYHIGH KAR-32 DDJAY-APHP,LC-3279A,44 OF 2017,10/07/2017,DDJAY-APHP,7.09,Karnal,09/07/2024,32,Skyhigh Propbuild Pvt. Ltd.
LC-3488 Map View,SANTUR KAR-35 DDJAY-APHP,LC-3488A,56 OF 2017,24/07/2017,DDJAY-APHP,9.51,Karnal,23/07/2024,35,Santur Spaces Pvt. Ltd.
LC-3396 Map View,ROSE KAR-10 DDJAY-APHP.,LC-3396A,77 OF 2017,14/09/2017,DDJAY-APHP,6.5104,KARNAL,13/09/2022,35,Rose Building Solutions Pvt. Ltd.
LC-3361 Map View,ANSAL KAR-36 DDJAY-APHP,LC-3361A,99 OF 2017,16/11/2017,DDJAY-APHP,7.739,KARNAL,15/11/2022,36,Ansal Housing & Construction Pvt. Ltd
LC-3429 Map View,ALPHA KAR-29 DDJAY-APHP,LC-3429A,7 OF 2018,29/01/2018,DDJAY-APHP,11.80625,KARNAL,28/01/2027,29,ALPHACORP DEVELOPMENT PVT. LTD.
,,LC-3429B,30 OF 2021,25/06/2021,DDJAY-APHP,2.8,KARNAL,22/06/2026,29,Alpha Corp. Development Pvt. Ltd.
