Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,-492-2019,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD,"VILLAGE UCHANA, SECTOR 45, KA RNAL HARYANA",KARNAL,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/551 | https://haryanarera.gov.in/view_project/view_certificate/MTMx | https://haryanarera.gov.in/view_project/project_preview_open/551
2,-365-2018,ANSAL TOWN KARNAL (DDJAY SCH-1),HRERA-PKL-KNL-44-2018,ANSAL HOUSING & CONSTRUCTION LTD.,"SECTOR-36, KARNAL",KARNAL,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/315 | https://haryanarera.gov.in/view_project/view_certificate/NTgz | https://haryanarera.gov.in/view_project/project_preview_open/315
3,-501-2019,"AFFORDABLE PLOTTED COLONY, AREA 8.818 SRES",289 OF 2017 DATED 11.10.2017,EDEN SLF RESIDENCY,"VILLAGE DODWA, SECTOR-1, TARA ORI- NILOKHERI, DISTRICT KARNAL, HARYANA.",KARNAL,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/561 | https://haryanarera.gov.in/view_project/view_certificate/MTI5 | https://haryanarera.gov.in/view_project/project_preview_open/561
4,-552-2019,ANAND VATIKA,302 OF 2017 DATED: 13.10.2017,KN COLONISERS PVT LTD,"SECTOR-36 VILLAGE KASBA-KARNA L,TEHSIL AND DISTRICT KARNAL",KARNAL,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/631 | https://haryanarera.gov.in/view_project/view_certificate/Mzg= | https://haryanarera.gov.in/view_project/project_preview_open/631
5,Not Available,PLOTTED COLONY AREA 2.725 RESIDENTIAL,08 OF 2017 DATED,M/S CHD DEVELOPERS LTD,"VILLAGE JHINJHARI TEHSIL JHIN JHARI, KARNAL",KARNAL,INTERIM RERA,,Not Available,1,https://haryanarera.gov.in/view_project/view_certificate/NjI=
6,Not Available,PLOTTED COLONY AREA 0.8937 RESIDENTIAL,07 OF 2017 DATED 23.06.2017,M/S CHD DEVELOPERS LTD,"VILLAGE JHINJHARI TEHSIL JHIN JHARI, KARNAL",KARNAL,INTERIM RERA,,Not Available,1,https://haryanarera.gov.in/view_project/view_certificate/NTU=
7,-525-2019,"AFFORDABLE PLOTTED COLONY, AREA 14.388",191 OF 2017 DATED 14.09.2017,M/S CHD DEVELOPERS LTD,"VILLAGE UCHANA, SECTOR 45, KA RNAL, HARYANA",KARNAL,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/598 | https://haryanarera.gov.in/view_project/view_certificate/NTE= | https://haryanarera.gov.in/view_project/project_preview_open/598
8,-516-2019,ANSAL TOWN KARNAL DDAY AREA 6.63 ACRES,HRERA-PKL-KNL-32-2018,ANSAL HOUSING AND CONSTRUCTION LTD.,"SECTOR 36, KARNAL",KARNAL,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/582 | https://haryanarera.gov.in/view_project/view_certificate/MTg2 | https://haryanarera.gov.in/view_project/project_preview_open/582
9,-486-2019,SMART  HOMES KARNAL AREA 5.6534 ACRES,265 OF 2017 DATED 09-10-2017,AEGIS VALUE HOMES LTD.,"SECTOR 32, KARNAL, HARYANA",KARNAL,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/545 | https://haryanarera.gov.in/view_project/view_certificate/MTUw | https://haryanarera.gov.in/view_project/project_preview_open/545
10,-725-2019,"SIGNATURE GLOBAL CITY-II, LAND MEASURING ""15 ACRES""","HRERA-PKL-KNL-26-2018 , DATED 20-07-2018",MAA VAISHNO NET-TECH PVT. LTD.,"VILLAGE-KAILASH, SECTOR-28-A, KARNAL",KARNAL,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/876 | https://haryanarera.gov.in/view_project/view_certificate/MTkw | https://haryanarera.gov.in/view_project/project_preview_open/876
