LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
286-290 OF 2005,25/11/2005,RPL,26.05,Karnal,33,True Zone Builders,24/11/2026,True,UNMATCHED,0,,,,
296-301 OF 2005,16/12/2005,RPL,62.098,KARNAL,29,ALPHA CORP DEVELOPMENT LIMITED,15/12/2029,True,PARCEL-MATCH,100,name=100+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
948-955 OF 2006,15/05/2006,RPL,79.35,KARNAL,"28,29",ALPHA CORP DEVELOPMENT LIMITED,14/04/2029,True,PARCEL-MATCH,100,name=100+sector,AREA 4.1055 ACRES COMMERCIAL COLONY,369 OF 2017 DATED 24-11-2017,ALPHA CORP DEVELOPMENT PVT LTD
29 OF 2011,05/04/2011,RPL,85.37,KARNAL,29,ALPHA CORP DEVELOPMENT LIMITED,04/04/2029 (0.10 Acres Migrated into Licence No. 222 of 2025),True,PARCEL-MATCH,100,name=100+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
401-405 OF 2006,12/01/2006,RPL,55.18,Karnal,32,True Zone Builders,11/01/2027,True,UNMATCHED,0,,,,
456 OF 2006,10/02/2006,RGH,5.03,Karnal,36,Sunniva Promoters,09/02/2030,True,DEV-MATCH,92,name=92,PALM RESIDENCY,HRERA-PKL-KNL-75-2018,SUNIVA PROMOTERS PVT LTD
458-461 OF 2006,15/02/2006,RGH,11.24,Karnal,36,Ansal Properties & Infrastructure,14/02/2017,False,PARCEL-MATCH,100,name=100+sector,ANSAL TOWN KARNAL (DDJAY SCH-1),HRERA-PKL-KNL-44-2018,ANSAL HOUSING & CONSTRUCTION LTD.
1203-1204 OF 2006,05/10/2006,RGH,5.19,Karnal,36,RAS Developers,04/10/2027,True,PARCEL-MATCH,85,name=85+sector,RAS RESIDENCY 2,HRERA-PKL-KRL-326-2022,RAS DEVELOPMENTS PVT LTD
11-24 OF 2007,04/01/2007,RPL,73.06,Karnal,45,CHD Developers,03/01/2019,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
168 OF 2008,08/09/2008,RPL,50.82,Karnal,45,CHD Developers,07/09/2018,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
71 OF 2011,21/07/2011,RPL,23.71,Karnal,45,CHD Developers,20/07/2019,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
125 OF 2012,20/12/2012,RPL,14.61,Karnal,45,CHD Developers Ltd.,19/12/2018,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
65 OF 2014,12/07/2014,RPL,1.54,Karnal,45,CHD Developers Ltd.,11/07/2019,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
16 OF 2017,03/05/2017,RPL,0.8937,KARNAL,45,CHD Developers Ltd,"02/05/2022 Cancelled vide order dated 12/07/2018 &
Licence restored vide order dated 03/10/2018",False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
183 OF 2007,31/05/2007,RPL,97.77,KARNAL,36,Ansal Housing & Construction Pvt. Ltd,30/05/2029,True,PARCEL-MATCH,100,name=100+sector,ANSAL TOWN KARNAL (DDJAY SCH-1),HRERA-PKL-KNL-44-2018,ANSAL HOUSING & CONSTRUCTION LTD.
264 OF 2007,03/12/2007,RPL,57.65,Karnal,36,Ansal Properties & Infrastructure,02/12/2017,False,PARCEL-MATCH,100,name=100+sector,ANSAL TOWN KARNAL (DDJAY SCH-1),HRERA-PKL-KNL-44-2018,ANSAL HOUSING & CONSTRUCTION LTD.
67 OF 2008,19/03/2008,RPL,49.51,Nilokheri-Taraori,1,EDEN Projects,18/03/2025,False,PARCEL-MATCH,100,name=100+sector,"AFFORDABLE PLOTTED COLONY, AREA 8.818 SRES",289 OF 2017 DATED 11.10.2017,EDEN SLF RESIDENCY
95 OF 2008,12/05/2008,RGH,5,Karnal,35,JBB Infrastructure,11/05/2023,False,PARCEL-MATCH,100,name=100+sector,"GROUP HOUSING COLONY, AREA 3026.817 SQ. MTRS. RESIDENTIAL",293 OF 2017 DATED 13.10.2017,JBB INFRASTRUCTURES PVT LTD.
188 OF 2008,08/11/2008,RPL,50.543,GHARAUNDA,9,Crown Promoters & Developers,07/11/2020,False,UNMATCHED,0,,,,
60 OF 2009,26/10/2009,RPL,71.01,Karnal,,Ansal Properties & Infrastructure,25/10/2027,True,PARCEL-MATCH,100,name=100+area,PLOTTED COLONY AREA 71.01 ACRES RESIDENTIAL,140 OF DATED 28-08-2017,ANSAL LANDMARK(KARNAL) TOWNSHIP PVT. LTD
30 OF 2011,05/04/2011,CIC,4.11,Karnal,28,Habitat Buildcon,04/04/2024,False,UNMATCHED,0,,,,
46 OF 2011,23/05/2011,RGH,6.36,Karnal,32,Ultratech Township Developer,22/05/2024,False,PARCEL-MATCH,100,name=100+area+sector,"GROUP HOUSING COLONY, AREA 6.356 SQ. MTRS. RESIDENTIAL",248 OF 2017 DATED 26-09-2017,ULTRATECH TOWNSHIP DEVELOPERS PVT. LTD.
52 OF 2011,10/06/2011,RPL,50.41,Karnal,32,Soni Realtors,09/06/2026,False,UNMATCHED,0,,,,
74 OF 2011,23/08/2011,RPL,5.969,KARNAL,33,OP Lathar,22/08/2015,False,UNMATCHED,0,,,,
77 OF 2011,10/09/2011,RPL,26.44,Assandh,11-A,Cititech Township,09/09/2029,True,PARCEL-MATCH,100,name=100+area,CITITECH TOWNSHIP 26.443 ACERS,HRERA-PKL-KNL-17-2018 DATED: 20-06-2018,CITITECH TOWNSHIPS (P) LTD.
108 OF 2011,11/12/2011,CIR,2.06,Karnal,32,Sky High Landcon,10/12/2027,True,UNMATCHED,0,,,,
108 OF 2013,26/12/2013,CIR,0.48,Karnal,32,Skyhigh Landcon Pvt. Ltd.,25/12/2027,True,PARCEL-MATCH,100,name=100+sector,AEGIS SKYHIGH HOUSING CORPORATION PRIVATE LIMITED,HRERA-PKL-KNL-188-2020,AEGIS SKYHIGH HOUSING CORPORATION PRIVATE LIMITED
109 OF 2011,11/12/2011,RGH,5.2,KARNAL,32,Sky High Landcon,10/12/2015,False,UNMATCHED,0,,,,
112 OF 2011,17/12/2011,RGH,3.83,Karnal,36,RAS Developers,16/12/2029,True,PARCEL-MATCH,85,name=85+sector,RAS RESIDENCY 2,HRERA-PKL-KRL-326-2022,RAS DEVELOPMENTS PVT LTD
73 OF 2012,11/07/2012,RPL,50.56,Karnal,35,Parsavnath Developers,10/07/2016,False,PARCEL-MATCH,95,name=95+sector,PARSVNATH CITY KARNAL,HRERA-PKL-KRL-270-2021,PARSVNATH DEVELOPERS LIMITED
141 OF 2014,29/08/2014,RPL,30.57,Karnal,35,Parsvnath Developers Ltd.,28/08/2019,False,PARCEL-MATCH,100,name=100+sector,PARSVNATH CITY KARNAL,HRERA-PKL-KRL-270-2021,PARSVNATH DEVELOPERS LIMITED
99 OF 2013,21/11/2013,RGH,6.2,Karnal,35,Vaastu Infratech Pvt. Ltd.,20/11/2028,True,PARCEL-MATCH,100,name=100+sector,GREEN VILLE,HRERA-PKL-KNL-181-2019,VAASTU INFRATECH PVT LTD
6 OF 2014,07/02/2014,RGH,47.437,NILOKHERI AND TARAORI,1,MG Estate Pvt. Ltd.,06/02/2018,False,UNMATCHED,0,,,,
4 OF 2015,31/07/2015,AHP,9.51,KARNAL,35,SANTUR SPACES PVT. LTD.,30/07/2020,False,PARCEL-MATCH,100,name=100+sector,SANTUR SILVER SPRINGS,HRERA-PKL-KNL-7-2018,SANTUR SPACES PVT. LTD.
7 OF 2015,31/08/2015,AHP,7.01,NILOKHERI AND TARAORI,16,USG Promoters Pvt. Ltd.,30/08/2025,False,UNMATCHED,0,,,,
2 OF 2016,05/03/2016,AHP,5.65,Karnal,32A,AEGIS Value Homes Ltd. (JD Universal),04/03/2025,False,PARCEL-MATCH,100,name=100+area,SMART  HOMES KARNAL AREA 5.6534 ACRES,265 OF 2017 DATED 09-10-2017,AEGIS VALUE HOMES LTD.
16 OF 2016,10/10/2016,CIR,2.68,Karnal,32,AEGIS Value Homes Ltd.,09/10/2021,False,PARCEL-MATCH,100,name=100+sector,SMART  HOMES KARNAL AREA 5.6534 ACRES,265 OF 2017 DATED 09-10-2017,AEGIS VALUE HOMES LTD.
14 OF 2017,02/05/2017,DDJAY-APHP,9.315,NILOKHERI AND TARAORI,4,Sh. Suresh Kumar and others,01/05/2022,False,UNMATCHED,0,,,,
17 OF 2017,04/05/2017,RPL,2.725,KARNAL,45,CHD Developers Ltd,"03/05/2022 Cancelled vide order dated 12/07/2018 &
Licence Restored vide order dated 03/10/2018",False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
19 OF 2017,15/05/2017,DDJAY-APHP,13.29,Karnal,45,CHD Developers Ltd.,14/05/2022,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
20 OF 2017,15/05/2017,DDJAY-APHP,11.91,Karnal,45,CHD Developers Ltd.,14/05/2022,False,PARCEL-MATCH,100,name=100+area+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
22 OF 2017,23/05/2017,DDJAY-APHP,14.39,Karnal,45,CHD Developers Ltd.,22/05/2022,False,PARCEL-MATCH,100,name=100+sector,PLOTTED COLONY AREA 11.906 ACRES,176 OF 2017 DATED 31-08-2017,M/S CHD DEVELOPERS LTD
38 OF 2017,29/06/2017,DDJAY-APHP,6.83,Karnal,36,Vatika Colonizers Pvt. Ltd.,28/06/2022,False,UNMATCHED,0,,,,
44 OF 2017,10/07/2017,DDJAY-APHP,7.09,Karnal,32,Skyhigh Propbuild Pvt. Ltd.,09/07/2024,False,PARCEL-MATCH,100,name=100+sector,AEGIS SKYHIGH HOUSING CORPORATION PRIVATE LIMITED,HRERA-PKL-KNL-188-2020,AEGIS SKYHIGH HOUSING CORPORATION PRIVATE LIMITED
56 OF 2017,24/07/2017,DDJAY-APHP,9.51,Karnal,35,Santur Spaces Pvt. Ltd.,23/07/2024,False,PARCEL-MATCH,100,name=100+sector,SANTUR SILVER SPRINGS,HRERA-PKL-KNL-7-2018,SANTUR SPACES PVT. LTD.
74 OF 2017,08/09/2017,DDJAY-APHP,8.818,NILOKHERI AND TARAORI,1,EDEN SLF RESIDENCY,07/09/2022,False,PARCEL-MATCH,100,name=100+area+sector,"AFFORDABLE PLOTTED COLONY, AREA 8.818 SRES",289 OF 2017 DATED 11.10.2017,EDEN SLF RESIDENCY
77 OF 2017,14/09/2017,DDJAY-APHP,6.5104,KARNAL,35,Rose Building Solutions  Pvt. Ltd.,13/09/2022,False,PARCEL-MATCH,95,name=95+area+sector,"AFFORDABLE RESIDENTIAL PLOTTED COLONY,AREA 6.5104 ACRES",269 OF DATED 09-10-2017,ROSE BUILDINGNSOLUTION PVT. LTD.
99 OF 2017,16/11/2017,DDJAY-APHP,7.739,KARNAL,36,Ansal Housing & Construction Pvt. Ltd,15/11/2022,False,PARCEL-MATCH,100,name=100+sector,ANSAL TOWN KARNAL (DDJAY SCH-1),HRERA-PKL-KNL-44-2018,ANSAL HOUSING & CONSTRUCTION LTD.
7 OF 2018,29/01/2018,DDJAY-APHP,11.80625,KARNAL,29,ALPHACORP DEVELOPMENT PVT. LTD.,28/01/2027,True,PARCEL-MATCH,98,name=98+sector,AVENUE 29,HRERA-PKL-KRL-247-2021,ALPHA CORP DEVELOPMENT PRIVATE LIMITED
