CaseNo,Colony,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,ValidUpto,Sector,Developer,issue_year
LC-4533 Map View,RAS BUILDWELL KAR-45 CPL,LC-4533A,114 OF 2021,23/12/2021,CPL,3.13125,KARNAL,22/12/2026,45,RAS BUILDWELL PVT LTD,2021
LC-5051 Map View,GURDEEP KAR-45 DDJAY-APHP,LC-5051A,142 OF 2023,11/07/2023,DDJAY-APHP,5,KARNAL,10/07/2028,45,Gurdeep Singh,2023
LC-5061 Map View,RAMESHWAR KAR-29 DDJAY-APHP,LC-5061A,146 OF 2023,17/07/2023,DDJAY-APHP,5.625,KARNAL,16/07/2028,29,Sukh Dayal,2023
,,LC-5061B,224 OF 2023,30/10/2023,DDJAY-APHP,3.375,KARNAL,29/10/2028,29,Sukh Dayal,2023
LC-4805 Map View,PARTAP KAR-32 CPL,LC-4805A,236 OF 2023,26/10/2023,CPL,2.94,KARNAL,25/10/2028,32,Partap Infradevelopers Pvt. Ltd.,2023
LC-5291 Map View,APRAMJIT KAR NILP (Demarcation Cum Zoning Plan),LC-5291A,19 OF 2025,04/02/2025,NILP,5.0625,KARNAL,03/02/2030,32 & 32A,Apramjit Virk,2025
LC-5511 Map View,RANBIR KAR-29 CPL ( Layout Plan),LC-5511A,117 OF 2025,10/07/2025,CPL,1,KARNAL,09/07/2030,29,Ranbir Singh,2025
LC-5554 Map View,KNCOLONIZERS KAR-36 RGH (Demarcation cum Zoning Plan),LC-5554A,266 OF 2025,31/12/2025,RGH,3.03125,KARNAL,30/12/2030,36,K.N. Colonizers Pvt. Ltd.,2025
LC-5750 Map View,RNR KAR-28A DDJAY-APHP (Layout Plan),LC-5750A,75 OF 2026,24/04/2026,DDJAY-APHP,16.7585,KARNAL,23/04/2031,NA,RNR Townships Pvt Ltd,2026
LC-5868 Map View,KHATUSHYAM KAR IPL (Layout Plan) (Demarcation cum Zoning Plan),LC-5868A,92 OF 2026,14/05/2026,IPA,21.41875,KARNAL,13/05/2031,NA,Khatushyam Construction LLP,2026
LC-5481 Map View,SATWIK KAR-34 DDJAY-APHP (Layout Plan),LC-5481A,144 OF 2026,14/07/2026,DDJAY-APHP,6.21875,KARNAL,13/07/2031,34,SATWIK INFRASTRUCTURE,2026
LC-5144 Map View,HBPL KAR IPL (Zoning Plan),LC-5144A,190 OF 2023,15/09/2023,IPA,36.325,GHARAUNDA,14/09/2028,NA,Himalayan Builders and Promotors Limited,2023
LC-5036 Map View,WHITE KAR-16 CPL (Layout Plan),LC-5036A,56 OF 2024,16/03/2024,CPL,2,NILOKHERI AND TARAORI,15/03/2029,16,White Stone Habitat,2024
LC-5198 Map View,KCG KAR-16 DDJAY-APHP,LC-5198A,68 OF 2024,19/06/2024,DDJAY-APHP,20.6,NILOKHERI AND TARAORI,18/06/2029,16,KCG Resorts Pvt. Ltd.,2024
LC-5312 Map View,WHITE KAR-16 CPL,LC-5312A,173 OF 2024,05/12/2024,CPL,2,NILOKHERI AND TARAORI,04/12/2029,16,White Stone Habitats Pvt. Ltd.,2024
LC-5322 Map View,ALLIANCE KAR IPL (Proposed Layout Plan,LC-5322A,11 OF 2025,16/01/2025,IPA,12.0125,GHARAUNDA,15/01/2030,NA,AllianceTexofab Pvt. Ltd.,2025
LC-5846 Map View,LANDMARK KAR-5 DDJAY-APHP (Layout Plan),LC-5846A,33 OF 2026,19/02/2026,DDJAY-APHP,9.30625,ASSANDH,18/02/2031,5,Landmark Estate,2026
LC-5580 Map View,RICHMINDS KAR-10 DDJAY-APHP (Layout Plan),LC-5580A,96 OF 2026,18/05/2026,DDJAY-APHP,8.7402,ASSANDH,17/05/2031,10,M/s Richminds Developers Pvt. Ltd.,2026
LC-5866 Map View,VRS KAR IPA (Layout Plan),LC-5866A,103 OF 2026,26/05/2026,IPA,11.7375,GHARAUNDA,25/05/2031,NA,VRS Hopes LLP,2026
LC-5602 Map View,SUPARVESH KAR-16 CPL (Layout Plan),LC-5602A,104 OF 2026,27/05/2026,CPL,5.178,NILOKHERI AND TARAORI,26/05/2031,16,Suparversh Buildwell Pvt. Ltd.,2026
