FileNo,ReceiptDate,Purpose,Area_acre,DevPlanRaw,Sector,Developer
LC-1886B,12/08/2026,RESIDENTIAL PLOTTED COLONY,5.04167,KARNAL,36,Ansal Properties & Infrastructure Ltd
LC-2522B,24/07/2024,RESIDENTIAL PLOTTED COLONY,7.64375,ASSANDH,11A,Cititech Township Pvt Ltd
LC-3616A,08/06/2017,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.96,GHARAUNDA,9,JMD Cititech Pvt. Ltd.
LC-4076A,10/04/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.127,KARNAL,35,RAJDARBAR BUILDERS PRIVATE LIMITED
LC-4112A,09/08/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.65,NILOKHERI AND TARAORI,1,MG Estate Pvt. Ltd.
LC-4460A,20/01/2021,COMMERCIAL PLOTTED COLONY,1.075,KARNAL,45,RAS BUILDWELL PVT LTD
LC-4703B,27/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,4,KARNAL,45,ARV Builders
LC-4743A,23/02/2022,COMMERCIAL PLOTTED COLONY,2.15,KARNAL,32,Rajdarbar Village Pvt. Ltd.
LC-4807A,20/04/2022,COMMERCIAL PLOTTED COLONY,4.863,NILOKHERI AND TARAORI,16,White Stone Habitat
LC-4890B,27/03/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.18,KARNAL,34,Golf Link Projects Pvt. Ltd.
LC-4890C,07/10/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.821,KARNAL,34,Golf Link Projects Pvt. Ltd.
LC-5027B,04/09/2025,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,13.79375,GHARAUNDA,NA,Privado Infra Private Limited
LC-5144B,10/04/2026,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,12.91875,GHARAUNDA,NA,Himalayan Builders and Promotors Limited
LC-5162B,06/09/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.35625,ASSANDH,5,Metropole Buildtech Pvt. Ltd.
LC-5262A,25/10/2023,COMMERCIAL PLOTTED COLONY,2,NILOKHERI AND TARAORI,1,H1H INFRATECH LLP
LC-5306A,15/01/2024,COMMERCIAL PLOTTED COLONY,3.03125,KARNAL,NA,K. N. Colonizers Pvt Ltd
LC-5313A,16/01/2024,COMMERCIAL PLOTTED COLONY,0.79,KARNAL,5,SANTUR SPACES PVT. LTD.
LC-5333B,12/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,4.243,KARNAL,29,ALPHA CORP DEVELOPMENT LIMITED
LC-5341A,29/02/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.1,KARNAL,36,MKR Buildwell Pvt Ltd.
LC-5373A,16/04/2024,COMMERCIAL PLOTTED COLONY,1.885,KARNAL,36,Vyis Developers Private Limited
LC-5395A,14/06/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,29.962,KARNAL,NA,Akshardham Industrial Park
LC-5429A,15/07/2024,COMMERCIAL PLOTTED COLONY,1.3468,NILOKHERI AND TARAORI,13,Anant Kripa Developers Pvt Ltd
LC-5556A,16/01/2025,RESIDENTIAL GROUP HOUSING,1.35414,KARNAL,36,Vyis Developers Private Limited
LC-5583A,11/02/2025,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,26.05625,KARNAL,NA,Shree Shyam Real Estate Private Limited
LC-5684A,03/06/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.46562,INDRI,6,NEW ERA REALTY
LC-5705B,21/08/2026,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,15.34,KARNAL,NA,OPS Realty Pvt. Ltd.
LC-5767A,04/09/2025,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,26.625,GHARAUNDA,NA,Gaps Lifespaces LLP
LC-5797A,30/10/2025,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,35.35,KARNAL,NA,PARDESI BDPL LLP
LC-5813A,27/10/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,21.332,NILOKHERI AND TARAORI,NA,KCG Resorts Pvt. Ltd.
LC-5842A,19/12/2025,INDUSTRIAL PLOTTED COLONY IN INDUSTRIAL ZONE,31.4,KARNAL,NA,Emperium Builders Private Limited
LC-5872A,02/02/2026,RESIDENTIAL GROUP HOUSING,2.036,KARNAL,29,Alpha Corp Development Ltd.
LC-5875A,12/02/2026,RESIDENTIAL PLOTTED COLONY,4.15,KARNAL,NA,Nu-Chem Oils Pvt. Ltd.
LC-5881A,02/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.514,KARNAL,28A,DEEP INFRA
LC-5907A,18/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.00625,NILOKHERI,9,Shree Ji Developers
LC-5949A,11/05/2026,COMMERCIAL PLOTTED COLONY,7.4,NILOKHERI AND TARAORI,6A,KSVR Realty
LC-5971A,03/06/2026,COMMERCIAL PLOTTED COLONY,0.925,KARNAL,45,ARV Builders
LC-5973A,09/06/2026,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,56.1375,KARNAL,NA,Amaris Developers
LC-5989A,06/07/2026,COMMERCIAL PLOTTED COLONY,1.375,KARNAL,29,RCNP Builders & Developers Pvt. Ltd.
LC-6028A,12/08/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.15938,KARNAL,36,Eterna Living Pvt. Ltd.
LC-632E,12/03/2026,RESIDENTIAL PLOTTED COLONY,4.243,KARNAL,29,ALPHA CORP DEVELOPMENT LIMITED
