developer_key,promoter_names,n_projects,projects,reg_numbers
JAGRAN DEVELOPER,JAGRAN DEVELOPERS LIMITED | JAGRAN DEVELOPERS PRIVATE LIMITED | JAGRAN DEVELOPERS PVT. LTD.,3,"KURUKSHETRA GLOBAL CITY, KURUKSHETRA PHASE-II | THE GALLERIA KURUKSHETRA GLOBAL CITY | UDYANAM",304 OF 2017 DATED 16.10.2017 | HRERA-PKL-KRK-236-2021 | HRERA-PKL-KRK-944-2026
SAMSUNG OVERSEA,SAMSUNG OVERSEAS LIMITED,3,MRSHI MARCNDEY ENCLAVE | SATIIJA SMART COLONY - I | SATIIJA SMART COLONY - II,HRERA-PKL-KRK-337-2022 | HRERA-PKL-KUK-142-2019 | HRERA-PKL-KUK-182-2019
LANDMARK INFONET,LANDMARK INFONET PVT. LTD.,3,AREA 27.6655 ACRES | LANDMARK CITY,HRERA-PKL-KUK-110-2019 | HRERA-PKL-KUK-111-2019 | Not Issued Yet
GREEN HOME INFRA DEVELOPER,GREEN HOMES INFRA DEVELOPERS PVT LTD,3,GREEN HOMES | GREEN HOMES 2 | GREENHOMES ROYAL,HRERA-PKL-KRK-295-2022 | HRERA-PKL-KRK-479-2023 | HRERA-PKL-KRK-636-2024
BRAHAM VATIKA REAL ESTATE,BRAHAM VATIKA REAL ESTATE PRIVATE LIMITED | BRAHAM VATIKA REAL ESTATE PVT. LTD.,2,AFFORDABLE RESIDENTIAL PLOTTED COLONY UNDER DDJAY OVER 7.506 ACRES | SRI KRISHNA RESIDENCY,HRERA-PKL-KRK-443-2023 | HRERA-PKL-KUK-45-2018
SHREE VARDHMAN TOWNSHIP,SHREE VARDHMAN TOWNSHIP PRIVATE LIMITED,2,SHREE VARDHMAN CITY (PLOTS) & SHREE VARDHMAN MY HOMES (FLOORS) | SHREE VARDHMAN CITY (UNDER DEEN DAYAL JAN AWAS YOJNA),HRERA-PKL-KUK-143-2019 | HRERA-PKL-KUK-147-2019
SVSJ BUILDCON,SVSJ BUILDCON PRIVATE LIMITED,2,NIRVANA CITY,HRERA-PKL-KRK-381-2022 | HRERA-PKL-KRK-732-2025
AGGARSAIN LAND DEVELOPER,AGGARSAIN LAND DEVELOPERS | AGGARSAIN LAND DEVELOPERS PVT LTD,2,DREAM CITY | NEW SATYAM ENCLAVE,HRERA-PKL-KRK-725-2025 | HRERA-PKL-KRK-934-2026
DAA HOME REALTOR,DAA HOME REALTORS PRIVATE LIMITED,1,DAA HOME RESIDENCY,HRERA-PKL-KRK-289-2022
M SHAMISHA LAND DEVELOPER,M/S SHAMISHA LAND DEVELOPERS PVT. LTD.,1,GARDEN CITY,HRERA-PKL-KRK-520-2023
ES GEE DEVELOPER PROMOTER,ESS GEE DEVELOPERS AND PROMOTERS,1,ANANDA HOMES,HRERA-PKL-KRK-453-2023
DECENT INFRAHEIGHT,DECENT INFRAHEIGHTS PRIVATE LIMITED,1,THE FLOWER CITY,HRERA-PKL-KRK-333-2022
GODREJ PROJECT DEVELOPMENT,GODREJ PROJECTS DEVELOPMENT LIMITED,1,GODREJ PARKLAND ESTATE,HRERA-PKL-KRK-483-2023
DRV REALESTATE,DRVS REALESTATE PVT LTD,1,DD CITY ( THE DREAM DESTINATION),HRERA-PKL-KRK-407-2023
BAHADURGARH TOWNSHIP,BAHADURGARH TOWNSHIPS PVT. LTD.,1,GLOBAL GREENS,HRERA-PKL-KRK-358-2022
ARNIKA DEVELOPER,ARNIKA DEVELOPERS LLP,1,VINAYAK CITY,HRERA-PKL-KRK-437-2023
M SHAMISHA HOME,M/S SHAMISHA HOMES PVT LTD.,1,THE FLOWER CITY,HRERA-PKL-KRK-535-2024
NISCHAY HOUSING,NISCHAY HOUSING PRIVATE LIMITED,1,LOTUS ENCLAVE,HRERA-PKL-KRK-738-2025
SUN SKY DEVELOPER,SUN AND SKY DEVELOPERS PRIVATE LIMITED,1,GREEN HOMES PRIME,HRERA-PKL-KRK-758-2025
SPARV REALTOR,SPARV REALTORS PRIVATE LIMITED,1,KOHINOOR CITY PHASE  II,HRERA-PKL-KRK-799-2025
DECENT INFRA RETAIL,DECENT INFRA RETAIL LLP,1,THE FLOWER CITY PHASE II,HRERA-PKL-KRK-839-2026
BOX HIVE INNOVATION,BOX HIVE INNOVATION PVT. LTD.,1,GREEN HOMES B R,HRERA-PKL-KRK-834-2026
M SHARVIL BUILDTECH,M/S SHARVIL BUILDTECH LLP,1,THE FLOWER CITY,HRERA-PKL-KRK-713-2025
GREENHOME INFRA DEVELOPER,GREENHOMES INFRA DEVELOPERS PVT LTD,1,GREENHOMES ELITE,HRERA-PKL-KRK-728-2025
ANTIQUE IN COLLABORATION WITH SULTAN SINGH MULTAN SINGH KEHAR SINGH,"ANTIQUE INDIA PVT LTD IN COLLABORATION WITH SULTAN SINGH, MULTAN SINGH, KEHAR SINGH",1,KRISHNA KUNJ,HRERA-PKL-KUK-113-2019
HOMESHETRA REALTOR,HOMESHETRA  REALTORS PRIVATE LIMITED,1,KOHINOOR CITY,HRERA-PKL-KRK-543-2024
