CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-827,SUS CITY API KUR-32 RPL (Zoning Plan) (Zoning Plan),,,,LC-827A,196 OF 2007,20/07/2007,RPL,118.57,Kurukshetra,19/07/2015,32,Ansal Properties & Infrastructure,View Land Schedule,View
LC-827,SUS CITY API KUR-32 RPL (Zoning Plan) (Zoning Plan),,,,LC-827B,289 OF 2007,31/12/2007,RPL,6.41,Kurukshetra,30/12/2015,32,Ansal Properties & Infrastructure,View Land Schedule,View
LC-779,SUMITRA KUR-9 RPL,,,,LC-779A,210 OF 2007,20/08/2007,RPL,54.88,Kurukshetra,19/08/2019,9,Sumitra Builders,View Land Schedule,View
LC-1548,JAGRAN KUR-29 RPL,,,11/12/2017,LC-1548A,288 OF 2007,29/12/2007,RPL,88.79,Kurukshetra,21/08/2027,29,Jagran Agents,View Land Schedule,View
LC-1548,JAGRAN KUR-29 RPL,,,11/12/2017,LC-1548B,126 OF 2014,22/08/2014,RPL,1,Kurukshetra,21/08/2027,"29, 30",Jagran Agents Pvt. Ltd.,View Land Schedule,View
LC-727,HERMAN KUR-31 & 32 RPL,,,,LC-727A,189 OF 2008,08/11/2008,RPL,51.082,Kurukshetra,07/11/2021,"32,31",Herman Fin Properties,View Land Schedule,View
LC-1618,DIVINE KUR-11 CIR,,29/12/2021 (Block-A & B),,LC-1618A,7 OF 2009,28/02/2009,CIR,2.619,Kurukshetra,27/02/2024,11,Divine Vision Infraestate Pvt. Ltd.,View Land Schedule,View
LC-1618,DIVINE KUR-11 CIR,,29/12/2021 (Block-A & B),,LC-1618B,87 OF 2018,14/12/2018,CIR,0.10625,Kurukshetra,13/12/2023,11,Divine Vision Infraestate Pvt. Ltd.,View Land Schedule,View
LC-2590,SHREE KUR-30 RPL,,,,LC-2590A,15 OF 2012,29/02/2012,RPL,50.13,Kurukshetra,28/02/2020,30,Shree Vardhman Township,View Land Schedule,View
LC-3570,SHREE KUR-30 DDJAY-APHP,,,,LC-3570A,102 OF 2017,29/11/2017,DDJAY-APHP,5.0055,Kurukshetra,28/11/2022,30,Shree Vardhman Township Pvt. Ltd.,View Land Schedule,View
LC-3409,ANTIQUE KUR-46 DDJAY-APHP (Revised Layout Plan) (Demarcation Cum Zoning Plan) (Revised Demarcation cum Zoning Plan),,,,LC-3409A,10 OF 2018,02/02/2018,DDJAY-APHP,15,Kurukshetra,01/02/2027,46,ANTIQUE INDIA PVT. LTD.,View Land Schedule,View
LC-3670,BRAHAMVATIKA KUR-32 DDJAY-APHP,,,,LC-3670A,35 OF 2018,08/06/2018,DDJAY-APHP,7.50625,Kurukshetra,07/06/2023,32,Braham Vatika Real Estate Pvt. Ltd.,View Land Schedule,View
LC-3670,BRAHAMVATIKA KUR-32 DDJAY-APHP,,,,LC-3670B,50 OF 2023,10/03/2023,DDJAY-APHP,4.03437,Kurukshetra,09/03/2028,32,Braham Vatika Real Estate Pvt. Ltd.,View Land Schedule,View
LC-4583,GREEN KUR-29 DDJAY-APHP,,,,LC-4583A,96 OF 2021,16/11/2021,DDJAY-APHP,9.25,Kurukshetra,15/11/2026,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,View Land Schedule,View
LC-4570,DAAHOME KUR-32 DDJAY-APHP Layout Plan,,,,LC-4570A,105 OF 2021,10/12/2021,DDJAY-APHP,7.0875,Kurukshetra,09/12/2026,32,MS DAA HOME REALTORS PVT LTD,View Land Schedule,View
LC-4589,DECENT KUR-32 DDJAY-APHP,,,,LC-4589A,59 OF 2022,13/05/2022,DDJAY-APHP,40.20625,Kurukshetra,12/05/2027,32,DECENT INFRAHEIGHTS PRIVATE LIMITED,View Land Schedule,View
LC-4542,BAHADURGARH KUR-41 DDJAY-APHP,,,,LC-4542A,101 OF 2022,25/07/2022,DDJAY-APHP,9.11875,Kurukshetra,24/07/2027,41,BAHADURGARH TOWNSHIPS PVT. LTD.,View Land Schedule,View
LC-4934,DRVS KUR-46 DDJAY-APHP,,,,LC-4934A,186 OF 2022,14/11/2022,DDJAY-APHP,36.23125,Kurukshetra,13/11/2027,46,DRVS Real Estate Pvt. Ltd.,View Land Schedule,View
LC-4891,GREENHOMES KUR-29 DDJAY-APHP,,,,LC-4891A,69 OF 2023,29/03/2023,DDJAY-APHP,7.6375,Kurukshetra,28/03/2028,29,Greenhomes Infra Developers Pvt. Ltd.,View Land Schedule,View
LC-5046,GODREJ KUR-41 DDJAY-APHP,,,21/10/2024,LC-5046A,118 OF 2023,05/06/2023,DDJAY-APHP,59.9659,Kurukshetra,04/06/2028,41,Godrej Projects Development Pvt. Ltd.,View Land Schedule,View
LC-5102,SHAMISHA KUR-2 RPL (Zoning Plan),,,,LC-5102A,192 OF 2023,21/09/2023,RPL,22.75,Pehowa,20/09/2028,2,SHAMISHA HOME PVT. LTD,View Land Schedule,View
LC-5122,SHAMISHA KUR-30 RPL (Zoning Plan),,,,LC-5122A,201 OF 2023,09/10/2023,RPL,15.04375,Kurukshetra,08/10/2028,30,Shamisha Land Developers Pvt. Ltd.,View Land Schedule,View
LC-5109,HOMESHETRA KUR-32 DDJAY-APHP,,,,LC-5109A,205 OF 2023,11/10/2023,DDJAY-APHP,20.03125,Kurukshetra,10/10/2028,32,Homeshetra Realtors Pvt. Ltd.,View Land Schedule,View
LC-5111,GREENHOMES KUR-29 RPL (Demarcation cum Zoning Plan),,,,LC-5111A,220 OF 2023,26/10/2023,RPL,16.19375,Kurukshetra,25/10/2028,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,View Land Schedule,View
LC-5111,GREENHOMES KUR-29 RPL (Demarcation cum Zoning Plan),,,,LC-5111B,97 OF 2024,25/07/2024,RPL,17.49375,Kurukshetra,24/07/2029,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,View Land Schedule,View
LC-5346,GREENHOMES KUR DDJAY-APHP (Demarcation Cum Zoning Plan),,,,LC-5346A,6 OF 2025,10/01/2025,DDJAY-APHP,20.2375,Kurukshetra,09/01/2030,28,GREEN HOMES INFRA DEVELOPERS PVT. LTD,View Land Schedule,View
LC-5196,AGGARSAIN LAD-1 DDJAY-APHP (Demarcation Cum Zoning Plan),,,,LC-5196A,43 OF 2025,28/03/2025,DDJAY-APHP,16.08125,Ladwa,27/03/2030,1,Aggarsain Land Developers Pvt. Ltd.,View Land Schedule,View
LC-5475,SUN KUR-29&30 DDJAY -APHP (Layout Cum Demarcation ),,,,LC-5475A,97 OF 2025,13/06/2025,DDJAY-APHP,21.8625,Kurukshetra,12/06/2030,30,Sun and Sky Developers Pvt. Ltd.,View Land Schedule,View
LC-5589,SPARV KUR-32 DDJAY-APHP (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5589A,145 OF 2025,13/08/2025,DDJAY-APHP,12.71875,Kurukshetra,12/08/2030,32,M/s Sparv Realtors Pvt. Ltd.,View Land Schedule,View
LC-5551,BOXHIVE KUR-11 DDJAY-APHP (Layout Plan) (Demarcation cum Zoning Plan),,,,LC-5551A,156 OF 2025,27/08/2025,DDJAY-APHP,6.9375,Kurukshetra,26/08/2030,11,Box Hive Innovation Private Limited,View Land Schedule,View
LC-5462,DECENT PEH-2 DDJAY-APHP (Layout Plan),,,,LC-5462A,205 OF 2025,15/10/2025,DDJAY-APHP,11.6375,Pehowa,14/10/2030,2,Decent Infra Retail LLP,View Land Schedule,View
LC-5692,AGGARSAIN KUR-3 RPL (Layout Plan) (Demarcation Cum Zoning Plan),,,,LC-5692A,264 OF 2025,30/12/2025,RPL,10.54375,Ladwa,29/12/2030,3,Aggarsain Land Developers,View Land Schedule,View
LC-5491,JAGRAN KUR-41 RPL (Layout Plan) (Revised Layout Cum Demarcation Plan) (Demarcation Cum Zoning Plan) (Demarcation Cum Zoning Plan) (Demarcation Cum Zoning Plan) (Demarcation Cum Zoning Plan) (Layout Plan),,,,LC-5491A,25 OF 2026,12/02/2026,RPL,56.16875,Kurukshetra,11/02/2031,41,Jagran Developers Limited,View Land Schedule,View
