Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,-518-2019,AFFORDABLE RESIDENTIAL PLOTTED COLONY UNDER DDJAY OVER 7.506 ACRES,HRERA-PKL-KUK-45-2018,BRAHAM VATIKA REAL ESTATE PVT. LTD.,"SECTOR-32, KURUKSHETRA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/585 | https://haryanarera.gov.in/view_project/view_certificate/NTc3 | https://haryanarera.gov.in/view_project/project_preview_open/585
2,-682-2019,THE GALLERIA KURUKSHETRA GLOBAL CITY,304 OF 2017 DATED 16.10.2017,JAGRAN DEVELOPERS PVT. LTD.,"SECTOR 29, THANESAR , KURUKSH ETRA, HARYANA",KURUKSHETRA,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/811 | https://haryanarera.gov.in/view_project/view_certificate/NTg= | https://haryanarera.gov.in/view_project/project_preview_open/811
3,RERA-PKL-403-2019,SATIIJA SMART COLONY - II,HRERA-PKL-KUK-182-2019,SAMSUNG OVERSEAS LIMITED,"SECTOR-5, VILLAGE RATTANGARH AND JHAMBRA PATTI, TEHSIL SHAHBAD",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/403 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/403
4,RERA-PKL-654-2019,SHREE VARDHMAN CITY (UNDER DEEN DAYAL JAN AWAS YOJNA),HRERA-PKL-KUK-143-2019,SHREE VARDHMAN TOWNSHIP PRIVATE LIMITED,"VILLAGE UMRI, SECTOR 30, G. T. ROAD",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/771 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/771
5,RERA-PKL-432-2019,LANDMARK CITY,HRERA-PKL-KUK-111-2019,LANDMARK INFONET PVT. LTD.,"VILLAGE SHAHABAD, SECTOR 9, SHAHABAD, DISTT. KURUKSHETRA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/464 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/464
6,RERA-PKL-109-2018,AREA 27.6655 ACRES,Not Issued Yet,LANDMARK INFONET PVT. LTD.,"SECTOR-9, SHAHABAD, KURUKSHETRA",KURUKSHETRA,HRERA,In-Process,Not Available,1,https://haryanarera.gov.in/view_project/searchprojectDetail/131
7,RERA-PKL-656-2019,SHREE VARDHMAN CITY (PLOTS) & SHREE VARDHMAN MY HOMES (FLOORS),HRERA-PKL-KUK-147-2019,SHREE VARDHMAN TOWNSHIP PRIVATE LIMITED,"VILLAGE UMRI, SECTOR 30, G. T. ROAD",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/774 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/774
8,RERA-PKL-408-2019,SATIIJA SMART COLONY - I,HRERA-PKL-KUK-142-2019,SAMSUNG OVERSEAS LIMITED,"SECTOR 5, VILLAGE RATTANGARH, TEHSIL SHAHBAD",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/419 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/419
9,RERA-PKL-426-2019,LANDMARK CITY,HRERA-PKL-KUK-110-2019,LANDMARK INFONET PVT. LTD.,"VILLAGE SHAHABAD, SECTOR 9, SHAHABAD DISTT. KURUKSHETRA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/452 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/452
11,RERA-PKL-1085-2022,MRSHI MARCNDEY ENCLAVE,HRERA-PKL-KRK-337-2022,SAMSUNG OVERSEAS LIMITED,"SECTOR 5 & 6, VILLAGES RATTANGARH & JHAMRA, TEHSIL SHAHABAD, KURUKSHETRA - 136135, HARYANA",KURUKSHETRA,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2017 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/2017
