LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
196 OF 2007,20/07/2007,RPL,118.57,Kurukshetra,32,Ansal Properties & Infrastructure,19/07/2015,False,UNMATCHED,0,,,,
289 OF 2007,31/12/2007,RPL,6.41,Kurukshetra,32,Ansal Properties & Infrastructure,30/12/2015,False,UNMATCHED,0,,,,
210 OF 2007,20/08/2007,RPL,54.88,Kurukshetra,9,Sumitra Builders,19/08/2019,False,UNMATCHED,0,,,,
288 OF 2007,29/12/2007,RPL,88.79,Kurukshetra,29,Jagran Agents,21/08/2027,True,PARCEL-MATCH,100,name=100+sector,THE GALLERIA KURUKSHETRA GLOBAL CITY,304 OF 2017 DATED 16.10.2017,JAGRAN DEVELOPERS PVT. LTD.
126 OF 2014,22/08/2014,RPL,1,Kurukshetra,"29, 30",Jagran Agents Pvt. Ltd.,21/08/2027,True,PARCEL-MATCH,100,name=100+sector,THE GALLERIA KURUKSHETRA GLOBAL CITY,304 OF 2017 DATED 16.10.2017,JAGRAN DEVELOPERS PVT. LTD.
189 OF 2008,08/11/2008,RPL,51.082,Kurukshetra,"32,31",Herman Fin Properties,07/11/2021,False,UNMATCHED,0,,,,
7 OF 2009,28/02/2009,CIR,2.619,Kurukshetra,11,Divine Vision Infraestate Pvt. Ltd.,27/02/2024,False,UNMATCHED,0,,,,
87 OF 2018,14/12/2018,CIR,0.10625,Kurukshetra,11,Divine Vision Infraestate Pvt. Ltd.,13/12/2023,False,UNMATCHED,0,,,,
15 OF 2012,29/02/2012,RPL,50.13,Kurukshetra,30,Shree Vardhman Township,28/02/2020,False,PARCEL-MATCH,100,name=100+sector,SHREE VARDHMAN CITY (UNDER DEEN DAYAL JAN AWAS YOJNA),HRERA-PKL-KUK-143-2019,SHREE VARDHMAN TOWNSHIP PRIVATE LIMITED
102 OF 2017,29/11/2017,DDJAY-APHP,5.0055,Kurukshetra,30,Shree Vardhman Township Pvt. Ltd.,28/11/2022,False,PARCEL-MATCH,100,name=100+sector,SHREE VARDHMAN CITY (UNDER DEEN DAYAL JAN AWAS YOJNA),HRERA-PKL-KUK-143-2019,SHREE VARDHMAN TOWNSHIP PRIVATE LIMITED
10 OF 2018,02/02/2018,DDJAY-APHP,15,Kurukshetra,46,ANTIQUE INDIA PVT. LTD.,01/02/2027,True,PARCEL-MATCH,100,name=100+sector,KRISHNA KUNJ,HRERA-PKL-KUK-113-2019,"ANTIQUE INDIA PVT LTD IN COLLABORATION WITH SULTAN SINGH, MULTAN SINGH, KEHAR SINGH"
35 OF 2018,08/06/2018,DDJAY-APHP,7.50625,Kurukshetra,32,Braham Vatika Real Estate Pvt. Ltd.,07/06/2023,False,PARCEL-MATCH,100,name=100+area+sector,AFFORDABLE RESIDENTIAL PLOTTED COLONY UNDER DDJAY OVER 7.506 ACRES,HRERA-PKL-KUK-45-2018,BRAHAM VATIKA REAL ESTATE PVT. LTD.
50 OF 2023,10/03/2023,DDJAY-APHP,4.03437,Kurukshetra,32,Braham Vatika Real Estate Pvt. Ltd.,09/03/2028,True,PARCEL-MATCH,100,name=100+sector,AFFORDABLE RESIDENTIAL PLOTTED COLONY UNDER DDJAY OVER 7.506 ACRES,HRERA-PKL-KUK-45-2018,BRAHAM VATIKA REAL ESTATE PVT. LTD.
96 OF 2021,16/11/2021,DDJAY-APHP,9.25,Kurukshetra,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,15/11/2026,True,PARCEL-MATCH,100,name=100+sector,GREEN HOMES,HRERA-PKL-KRK-295-2022,GREEN HOMES INFRA DEVELOPERS PVT LTD
105 OF 2021,10/12/2021,DDJAY-APHP,7.0875,Kurukshetra,32,MS DAA HOME REALTORS PVT LTD,09/12/2026,True,PARCEL-MATCH,100,name=100+sector,DAA HOME RESIDENCY,HRERA-PKL-KRK-289-2022,DAA HOME REALTORS PRIVATE LIMITED
59 OF 2022,13/05/2022,DDJAY-APHP,40.20625,Kurukshetra,32,DECENT INFRAHEIGHTS PRIVATE LIMITED,12/05/2027,True,PARCEL-MATCH,100,name=100+sector,THE FLOWER CITY,HRERA-PKL-KRK-333-2022,DECENT INFRAHEIGHTS PRIVATE LIMITED
101 OF 2022,25/07/2022,DDJAY-APHP,9.11875,Kurukshetra,41,BAHADURGARH TOWNSHIPS PVT. LTD.,24/07/2027,True,PARCEL-MATCH,100,name=100+sector,GLOBAL GREENS,HRERA-PKL-KRK-358-2022,BAHADURGARH TOWNSHIPS PVT. LTD.
186 OF 2022,14/11/2022,DDJAY-APHP,36.23125,Kurukshetra,46,DRVS Real Estate Pvt. Ltd.,13/11/2027,True,PARCEL-MATCH,73,name=73+sector,DD CITY ( THE DREAM DESTINATION),HRERA-PKL-KRK-407-2023,DRVS REALESTATE PVT LTD
69 OF 2023,29/03/2023,DDJAY-APHP,7.6375,Kurukshetra,29,Greenhomes Infra Developers Pvt. Ltd.,28/03/2028,True,PARCEL-MATCH,71,name=71+sector,GREEN HOMES,HRERA-PKL-KRK-295-2022,GREEN HOMES INFRA DEVELOPERS PVT LTD
118 OF 2023,05/06/2023,DDJAY-APHP,59.9659,Kurukshetra,41,Godrej Projects Development Pvt. Ltd.,04/06/2028,True,PARCEL-MATCH,100,name=100+sector,GODREJ PARKLAND ESTATE,HRERA-PKL-KRK-483-2023,GODREJ PROJECTS DEVELOPMENT LIMITED
192 OF 2023,21/09/2023,RPL,22.75,Pehowa,2,SHAMISHA HOME PVT. LTD,20/09/2028,True,PARCEL-MATCH,100,name=100+sector,THE FLOWER CITY,HRERA-PKL-KRK-535-2024,M/S SHAMISHA HOMES PVT LTD.
201 OF 2023,09/10/2023,RPL,15.04375,Kurukshetra,30,Shamisha Land Developers Pvt. Ltd.,08/10/2028,True,PARCEL-MATCH,100,name=100+sector,GARDEN CITY,HRERA-PKL-KRK-520-2023,M/S SHAMISHA LAND DEVELOPERS PVT. LTD.
205 OF 2023,11/10/2023,DDJAY-APHP,20.03125,Kurukshetra,32,Homeshetra Realtors Pvt. Ltd.,10/10/2028,True,PARCEL-MATCH,100,name=100+sector,KOHINOOR CITY,HRERA-PKL-KRK-543-2024,HOMESHETRA  REALTORS PRIVATE LIMITED
220 OF 2023,26/10/2023,RPL,16.19375,Kurukshetra,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,25/10/2028,True,PARCEL-MATCH,100,name=100+sector,GREEN HOMES,HRERA-PKL-KRK-295-2022,GREEN HOMES INFRA DEVELOPERS PVT LTD
97 OF 2024,25/07/2024,RPL,17.49375,Kurukshetra,29,GREEN HOMES INFRA DEVELOPERS PVT. LTD,24/07/2029,True,PARCEL-MATCH,100,name=100+sector,GREEN HOMES,HRERA-PKL-KRK-295-2022,GREEN HOMES INFRA DEVELOPERS PVT LTD
