developer_key,promoter_names,n_projects,projects,reg_numbers
UTTIRNA INFRAPROJECT,UTTIRNA INFRAPROJECTS PRIVATE LIMITED,5,COMMERCIALS IN M3M CITY OF DREAMS I | COMMERCIALS IN M3M CITY OF DREAMS II | M3M CITY OF DREAMS I | M3M CITY OF DREAMS II | M3M TERRACES I,HRERA-PKL-PNP-446-2023 | HRERA-PKL-PNP-523-2023 | HRERA-PKL-PNP-687-2025 | HRERA-PKL-PNP-688-2025 | HRERA-PKL-PNP-704-2025
ELDECO INFRASTRUCTURE PROPERTIE,ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED,4,ELDECO ESTATE ONE PINNACLE | ELDECO ESTATE ONE PRESTIGE | ELDECO ESTATE ONE- PHASE THREE | ELDECO PLAZA,HRERA-PKL-PNP- 12-2018 DATED 04.06.2018 | HRERA-PKL-PNP-439-2023 | HRERA-PKL-PNP-613-2024 | HRERA-PKL-PNP-827-2026
ANSAL PROPERTIE INFRASTRUCTURE,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,3,"GALAXY COURT, PANIPAT AREA 12100.08 SQ MTRS. | SUSHANT CITY ZONE-2 (2.1375 ACRE) | SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",342 OF 2017 DATED 27-10-2017 | 355 OF 2017 DATED 17-11-2017 | Not Issued Yet
EMPERIUM REALTY,EMPERIUM REALTY PRIVATE LIMITED | EMPERIUM REALTY PVT LTD,2,"EMPERIUM CITY | GROUP HOUSING COLONY, AREA 5.08339 SQ. MTRS. RESIDENTIAL",374 OF 2017 DATED 28-11-2017 | HRERA-PKL-PNP-279-2021
TDI INFRACORP,TDI INFRACORP(INDIA) LTD.,2,AREA 70.328 ACRES | PANIPAT TOWN CENTRE,40 OF 2017 DATED 10-08-2017 | 48 OF 2017 DATED 11-08-2017
SUNBREEZE BUILDER DEVELOPER,SUNBREEZE BUILDERS AND DEVELOPERS PRIVATE LIMITED,2,SHUBHANGAN | SHUBHANGAN 2,HRERA-PKL-PNP-129-2019 | HRERA-PKL-PNP-885-2026
M GODREJ PROJECT DEVELOPMENT,M/S GODREJ PROJECTS DEVELOPMENT LTD,2,EVORA ESTATE A | EVORA ESTATE B,HRERA-PKL-PNP-807-2025 | HRERA-PKL-PNP-808-2025
CEREMONYHOME,CEREMONYHOMES PRIVATE LIMITED,2,CEREMONY AVENUE | CEREMONY ENTHIA,HRERA-PKL-PNP-510-2023 | HRERA-PKL-PNP-753-2025
REAL HEIGHT DEVELOPER,REAL HEIGHTS DEVELOPERS PVT. LTD.,1,HARMONY HOMES,HRERA-PKL-PNP-4-2018
ASTRUM VALUE HOME STANZA DEVELOPER INFRASTRUCTURE,ASTRUM VALUE HOMES PVT. LTD. AND STANZA DEVELOPERS & INFRASTRUCTURE PVT. LTD.,1,LA REGENCIA PHASE-II,HRERA-PKL-PNP-46-2018
ANSAL RROPERTIE INFRASTRUCTURE,ANSAL RROPERTIES AND INFRASTRUCTURE LTD,1,SUSHANT GREENS,HRERA-PKL-PNP-48-2018
TDI INFRASTRUCTURE,TDI INFRASTRUCTURE LTD.,1,CONNAUGHT ESTATE AREA,321 OF 2017 DATED 17-10-2017
SPLENDER LANDBASE,SPLENDER LANDBASE LTD.,1,"GROUP HOUSING COLONY, AREA 6.73. RESIDENTIAL",362 OF 2017 DATED 17-11-2017
