CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-89,NFL PANIPAT RPL (Zoning Plan),,,3/17/2017,LC-89A,30 OF 1985,19/09/1985,RPL,32.606,Panipat,18/09/2019,"17,13",National Fertilizers Employees Co-op. House Bldg.,View Land Schedule,View
LC-89,NFL PANIPAT RPL (Zoning Plan),,,3/17/2017,LC-89B,47 OF 1997,20/07/1997,RPL,0.3125,Panipat,19/07/2019,"17,13",National Fertilizers Employees Co-op. House Bldg.,View Land Schedule,View
LC-89,NFL PANIPAT RPL (Zoning Plan),,,3/17/2017,LC-89C,146 OF 2005,29/08/2005,RPL,18.547,Panipat,28/08/2019,"17,13",National Fertilizers Employees Co-op. House Bldg.,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585A,17-28 OF 2005,25/07/2005,RPL,108.57,Panipat,24/07/2017,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585C,466-473 OF 2006,27/02/2006,RPL,55.28,Panipat,26/02/2008,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585D,1178-1184 OF 2006,25/09/2006,RPL,20.53,Panipat,24/09/2017,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585G,106-117 OF 2007,12/02/2007,RPL,59.72,Panipat,11/02/2014,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585F,119-124 OF 2007,19/02/2007,RPL,30.13,Panipat,18/02/2018,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585H,118 OF 2008,04/06/2008,RPL,34.54,Panipat,03/06/2018,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585i,20 OF 2009,30/05/2009,RPL,5.229,Panipat,29/05/2019,19,Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585J,118 OF 2012,23/11/2012,RPL,2.14,Panipat,22/11/2018,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-585,SUS CITY API PAN-19 RPL,,,,LC-585K,80 OF 2017,06/10/2017,RPL,22.63,Panipat,05/10/2022,19,Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-672,ELDECO PAN-40 RPL (Demarcation Cum Zoning Plan),,,02/02/2018,LC-672A,407-412 OF 2006,18/01/2006,RPL,65.4,Panipat,17/01/2020,40,ELDECO Infrastructure & Properties,View Land Schedule,View
LC-672,ELDECO PAN-40 RPL (Demarcation Cum Zoning Plan),,,02/02/2018,LC-672B,36 OF 2008,28/02/2008,RPL,55.8,Panipat,27/02/2027,40,ELDECO Infrastructure & Properties Pvt. Ltd.,View Land Schedule,View
LC-672,ELDECO PAN-40 RPL (Demarcation Cum Zoning Plan),,,02/02/2018,LC-672C,47 OF 2017,18/07/2017,RPL,29.18,Panipat,17/07/2026,19A,Eldeco Infrastructure & Properties Ltd.,View Land Schedule,View
LC-672,ELDECO PAN-40 RPL (Demarcation Cum Zoning Plan),,,02/02/2018,LC-672E,24 OF 2024,13/02/2024,RPL,2.90625,Panipat,12/02/2029,40,ELDECO Infrastructure & Properties Ltd,View Land Schedule,View
LC-672,ELDECO PAN-40 RPL (Demarcation Cum Zoning Plan),,,02/02/2018,LC-672F,67 OF 2025,09/05/2025,RPL,2.9167,Panipat,08/05/2030,40,ELDECO Infrastructure & Properties Ltd,View Land Schedule,View
LC-675,BADWAL PAN-19 RPL,,,,LC-675A,463 OF 2006,18/02/2006,CIR,3.6,Panipat,17/02/2016,19,Baderwals Infraprojects Pvt. Ltd,View Land Schedule,View
LC-826,STANZA PAN-19 RGH (Earlier approved on 13/12/2012) STANZA PAN-19 RGH (In-principle approval on 01/12/2016),,27/7/2016 25/10/2023,,LC-826A,997 OF 2006,16/06/2006,RGH,10.01,Panipat,15/06/2026,19,Stanza Developers & Infrastructure,View Land Schedule,View
LC-817,JAISHIVA PAN-40 RGH,,,,LC-817A,1198-1202 OF 2006,29/09/2006,RGH,10.19,Panipat,28/09/2019,40,Jai Shiva Earth Movers & Construction,View Land Schedule,View
LC-805,"TDI INFRATECH PAN-36,38,39 RPL (Earlier approved on 13/12/2012) TDI INFRATECH PAN-36,38,39 RPL (In-principle approval on 07/02/2017) 1. Dem-cum-Layout plan-249.364 acr Zoning Plans: 2. Residential Plotted-27.918 acres Zoning Plans: 3. Nursing Home, Block-D-1031.43 sqm. Zoning Plans: 4. Nursing Home, Block-D-1397.157 sqm. Zoning Plans: 5. Nursing Home, Block-D-1013.65 sqm. Zoning Plans: 6. Nursing Home, Block-F-1062.407 sqm. Zoning Plans: (Layout cum Demarcation Plan)",,,,LC-805A,63-105(Except 88 of 2007 as cancelled) OF 2007,11/02/2007,RPL,221.446,Panipat,10/02/2018,39,Taneja Developers and Infrastructure ltd,View Land Schedule,View
LC-936,NAVJYOTI PAN-38 CIR,5/5/2016 12/07/2022,,,LC-936A,139-141 OF 2007,17/03/2007,CIR,3.73,Panipat,16/03/2018,38,Navjyoti Overseas,View Land Schedule,View
LC-1113,PARSA PAN 38-39 RPL PARSA PAN 38-39 RPL (Layout Plan),,,,LC-1113A,163-171 OF 2007,31/03/2007,RPL,162.48,Panipat,30/03/2021,"38,39",ParsvnathDevelopers,View Land Schedule,View
LC-1110,HERMAN PAN-40 CIR,,,,LC-1110A,218 OF 2007,07/09/2007,CIR,5.75,Panipat,06/09/2024,40,Herman Fin Properties,View Land Schedule,View
LC-1109,HERMAN PAN-40 CIR,,,,LC-1109A,276 OF 2007,10/12/2007,CIR,2.59,Panipat,09/12/2024,40,Herman Fin Properties,View Land Schedule,View
LC-1173,SPLENDOR PAN-19 RGH,"22/07/2019 Tower-T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, EWS Tower-1, Convenient shopping, Puja Space, Community Building and Basement",26/04/2024,,LC-1173A,37 OF 2008,25/02/2008,RGH,16.31,Panipat,24/02/2025,19,Splendor Land Base ltd,View Land Schedule,View
LC-1145,PAT INF PAN-40 CIR,,,,LC-1145A,139 OF 2008,08/07/2008,CIR,4.23,Panipat,06/07/2022,40,Pat Infrastructure,View Land Schedule,View
LC-1456,"AMBIENCE PAN-36, 38 RPL",,,,LC-1456A,6 OF 2010,14/01/2010,RGH,62.908,Panipat,13/01/2014 (251.90 acres migrated into L.No. 257 of 2023),38,Ambience Projects & Infrastructure Ltd.,View Land Schedule,View
LC-1278,CROWN PAN-40 CIS (Demarcation-Cum-Zoning Plan) (Demarcation-Cum-Zoning Plan),,,,LC-1278A,32 OF 2010,20/04/2010,CIS,10.219,Panipat,19/04/2014,40,Crown Buildestate LLP,View Land Schedule,View
LC-834,"LOTUS PAN-40, 19A RPL",,,,LC-834A,40 OF 2011,29/04/2011,RPL,103.24,Panipat,28/04/2015,"40,19-A",Lotus Buildtech,View Land Schedule,View
LC-1830,ANSAL API PAN-19 RPL,,,,LC-1830A,82 OF 2011,17/09/2011,RPL,7.26,Panipat,16/09/2017,19,Ansal Properties & Infrastructure,View Land Schedule,View
LC-2230,"1. Dem-cum-Layout plan-249.364 acr Zoning Plans: 2. Residential Plotted-27.918 acres Zoning Plans: 3. Nursing Home, Block-D-1031.43 sqm. Zoning Plans: 4. Nursing Home, Block-D-1397.157 sqm. Zoning Plans: 5. Nursing Home, Block-D-1013.65 sqm. Zoning Plans: 6. Nursing Home, Block-F-1062.407 sqm. Zoning Plans: TDI INFRATECH PAN-36,38,39 RPL (Earlier approved on 13/12/2012) TDI INFRATECH PAN-36,38,39 RPL (In-principle approval on 07/02/2017)",,,,LC-2230A,121 OF 2012,10/12/2012,RPL,27.918,Panipat,12/12/2018,"38,39,36",TDI Infratech Ltd.,View Land Schedule,View
LC-2230,"1. Dem-cum-Layout plan-249.364 acr Zoning Plans: 2. Residential Plotted-27.918 acres Zoning Plans: 3. Nursing Home, Block-D-1031.43 sqm. Zoning Plans: 4. Nursing Home, Block-D-1397.157 sqm. Zoning Plans: 5. Nursing Home, Block-D-1013.65 sqm. Zoning Plans: 6. Nursing Home, Block-F-1062.407 sqm. Zoning Plans: TDI INFRATECH PAN-36,38,39 RPL (Earlier approved on 13/12/2012) TDI INFRATECH PAN-36,38,39 RPL (In-principle approval on 07/02/2017)",,,,LC-2230B,5 OF 2017,07/02/2017,RPL,42.41,Panipat,06/02/2022,"36, 38 & 39",TDI Infratech Ltd.,View Land Schedule,View
LC-944,SUNBREEZE PAN-40 RGH,,,,LC-944A,27 OF 2013,17/05/2013,RGH,2.049,Panipat,16/05/2017 (After an area 9.48177 acres migrated into l.no 35 of 2019 dt. 01.03.2019 ),40,Sunbreeze Builders Dev. Ltd.,View Land Schedule,View
LC-1971,STANZA PAN-19 RGH STANZA PAN-19 RGH (Layout Plan),,,,LC-1971A,78 OF 2014,07/08/2014,RGH,1.74,Panipat,06/08/2019,19,Stanza Developers & Infrastructure Pvt Ltd,View Land Schedule,View
LC-3192,MAHESH (TDI) PAN-23 RPL,,,,LC-3192A,30 OF 2016,29/12/2016,RPL,101.88,Panipat,28/12/2021,23,Mahesh Farms Pvt. Ltd.,View Land Schedule,View
LC-3183,REALHEIGHTS PAN-40 AHP,,24/07/2023 24/10/2024,15/10/2025,LC-3183A,34 OF 2017,16/06/2017,AHP,7.73,Panipat,15/09/2024,40,Real Heights Developers Pvt. Ltd.,View Land Schedule,View
LC-3551,EMPERIUM PAN-1A AHP,23/11/2017,,,LC-3551A,71 OF 2017,05/09/2017,AHP,5.08339,Panipat,04/09/2022,1,Emperium Realty Pvt. Ltd.,View Land Schedule,View
LC-3732,SUNBREEZE PAN-40 DDJAY-APHP,,,,LC-3732A,35 OF 2019,01/03/2019,DDJAY-APHP,9.48117,Panipat,28/02/2026,40,Sunbreeze Builders & Developers Pvt. Ltd.,View Land Schedule,View
LC-3221,AALISHAN PAN-1 IPL (Zoning Plan),,,,LC-3221A,42 OF 2019,05/03/2019,IPA,8.125,Panipat,04/03/2029,,AALISHAN ECO TEXTILE PARK PVT. LTD.,View Land Schedule,View
LC-3726,ELDECO PAN-40 DDJAY-APHP,,,23/07/2024,LC-3726A,3 OF 2020,17/01/2020,DDJAY-APHP,10.71875,Panipat,16/01/2025,40,Eldeco Green Park Infrastructure Ltd.,View Land Schedule,View
LC-3728,ELDECO PAN-40 DDJAY-APHP,,,13/01/2025,LC-3728A,4 OF 2020,17/01/2020,DDJAY-APHP,13.65625,Panipat,16/01/2025,40,Eldeco Green Park Infrastructure Ltd.,View Land Schedule,View
