Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,-522-2019,HARMONY HOMES,HRERA-PKL-PNP-4-2018,REAL HEIGHTS DEVELOPERS PVT. LTD.,"SECTOR-40, VILLAGE SIMLI, MUL LANA",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/594 | https://haryanarera.gov.in/view_project/view_certificate/MTc0 | https://haryanarera.gov.in/view_project/project_preview_open/594
2,-316-2018,LA REGENCIA PHASE-II,HRERA-PKL-PNP-46-2018,ASTRUM VALUE HOMES PVT. LTD. AND STANZA DEVELOPERS & INFRASTRUCTURE PVT. LTD.,"SECTOR-19, PANIPAT",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/139 | https://haryanarera.gov.in/view_project/view_certificate/NTg3 | https://haryanarera.gov.in/view_project/project_preview_open/139
3,-760-2019,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,"VILLAGE AZIZULLAPUR, TEHSIL A ND DISTRICT PANIPAT",PANIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/919 | https://haryanarera.gov.in/view_project/view_certificate/MTU0 | https://haryanarera.gov.in/view_project/project_preview_open/919
4,Not Available,SUSHANT GREENS,HRERA-PKL-PNP-48-2018,ANSAL RROPERTIES AND INFRASTRUCTURE LTD,"VILLAGE AJIJUPUR, PANIPAT",PANIPAT,HRERA,,Not Available,1,https://haryanarera.gov.in/view_project/view_certificate/OTA5
5,-496-2019,"GROUP HOUSING COLONY, AREA 5.08339 SQ. MTRS. RESIDENTIAL",374 OF 2017 DATED 28-11-2017,EMPERIUM REALTY PVT LTD,"SECTOR 1A, VILLAGE TARAQF RAJ PUTTAN, PANIPAT",PANIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/555 | https://haryanarera.gov.in/view_project/view_certificate/MTYy | https://haryanarera.gov.in/view_project/project_preview_open/555
6,-764-2019,"GALAXY COURT, PANIPAT AREA 12100.08 SQ MTRS.",342 OF 2017 DATED 27-10-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,PANIPAT,PANIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/923 | https://haryanarera.gov.in/view_project/view_certificate/MTU2 | https://haryanarera.gov.in/view_project/project_preview_open/923
7,-825-2020,CONNAUGHT ESTATE AREA,321 OF 2017 DATED 17-10-2017,TDI INFRASTRUCTURE LTD.,"SECTOR 23, PANIPAT HARYANA",PANIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1287 | https://haryanarera.gov.in/view_project/view_certificate/MTU1 | https://haryanarera.gov.in/view_project/project_preview_open/1287
8,-796-2019,PANIPAT TOWN CENTRE,48 OF 2017 DATED 11-08-2017,TDI INFRACORP(INDIA) LTD.,"SECTOR 33, VILLAGE FARIDPUR & KABRI, PANIPAT",PANIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1157 | https://haryanarera.gov.in/view_project/view_certificate/MTU4 | https://haryanarera.gov.in/view_project/project_preview_open/1157
9,-793-2019,AREA 70.328 ACRES,40 OF 2017 DATED 10-08-2017,TDI INFRACORP(INDIA) LTD.,"SECTOR 36,38 AND 39, VILLAGE KABRI, FARIDPUR AND RETIPUR, PANIPAT",PANIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1142 | https://haryanarera.gov.in/view_project/view_certificate/MTYx | https://haryanarera.gov.in/view_project/project_preview_open/1142
10,-364-2018,ELDECO ESTATE ONE- PHASE THREE,HRERA-PKL-PNP- 12-2018 DATED 04.06.2018,ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED,"201-202, SPLENDOR FORUM, 2ND FLOOR, JASOLA DISTRICT CENTER, NEW DELHI 110025",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/313 | https://haryanarera.gov.in/view_project/view_certificate/MTE5 | https://haryanarera.gov.in/view_project/project_preview_open/313
11,-485-2019,"GROUP HOUSING COLONY, AREA 6.73. RESIDENTIAL",362 OF 2017 DATED 17-11-2017,SPLENDER LANDBASE LTD.,"SECTOR 19, PANIPAT, HARYANA",PANIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/544 | https://haryanarera.gov.in/view_project/view_certificate/MTUx | https://haryanarera.gov.in/view_project/project_preview_open/544
12,RERA-PKL-363-2018,SUSHANT CITY ZONE-2 (2.1375 ACRE),Not Issued Yet,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,VILLAGE AZIZULULLAPUR,PANIPAT,HRERA,In-Process,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/311 | https://haryanarera.gov.in/view_project/project_preview_open/311
13,RERA-PKL-467-2019,THE SKY VIEW CO-OPERATIVE GROUP HOUSING SOCIETY LTD,HRERA-PKL-PNP-144-2019,THE SKY VIEW CO-OPERATIVE GROUP HOUSING SOCIETY LTD,PLOT  NO GH-04 SECTOR-13-17 HUDA PANIPAT -132103  HARYANA,PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/522 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/522
16,RERA-PKL-373-2018,SHUBHANGAN,HRERA-PKL-PNP-129-2019,SUNBREEZE BUILDERS AND DEVELOPERS PRIVATE LIMITED,"VILLAGE- NIZAMPUR, SECTOR 40",PANIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/333 | https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTQxNw== | https://haryanarera.gov.in/view_project/project_preview_open/333
