LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
30 OF 1985,19/09/1985,RPL,32.606,Panipat,"17,13",National Fertilizers Employees Co-op. House Bldg.,18/09/2019,False,UNMATCHED,0,,,,
47 OF 1997,20/07/1997,RPL,0.3125,Panipat,"17,13",National Fertilizers Employees Co-op. House Bldg.,19/07/2019,False,UNMATCHED,0,,,,
146 OF 2005,29/08/2005,RPL,18.547,Panipat,"17,13",National Fertilizers Employees Co-op. House Bldg.,28/08/2019,False,UNMATCHED,0,,,,
17-28 OF 2005,25/07/2005,RPL,108.57,Panipat,19,Ansal Properties & Infrastructure,24/07/2017,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
466-473 OF 2006,27/02/2006,RPL,55.28,Panipat,19,Ansal Properties & Infrastructure,26/02/2008,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
1178-1184 OF 2006,25/09/2006,RPL,20.53,Panipat,19,Ansal Properties & Infrastructure,24/09/2017,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
106-117 OF 2007,12/02/2007,RPL,59.72,Panipat,19,Ansal Properties & Infrastructure,11/02/2014,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
119-124 OF 2007,19/02/2007,RPL,30.13,Panipat,19,Ansal Properties & Infrastructure,18/02/2018,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
118 OF 2008,04/06/2008,RPL,34.54,Panipat,19,Ansal Properties & Infrastructure,03/06/2018,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
20 OF 2009,30/05/2009,RPL,5.229,Panipat,19,Ansal Properties & Infrastructure Ltd,29/05/2019,False,DEV-MATCH,100,name=100,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
118 OF 2012,23/11/2012,RPL,2.14,Panipat,19,Ansal Properties & Infrastructure,22/11/2018,False,PARCEL-MATCH,100,name=100+area,SUSHANT CITY ZONE-2 (2.1375 ACRE),Not Issued Yet,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
80 OF 2017,06/10/2017,RPL,22.63,Panipat,19,Ansal Properties & Infrastructure Ltd,05/10/2022,False,PARCEL-MATCH,100,name=100+area,"SUSHANT GREENS, PANIPAT AREA 22.63 ACRES",355 OF 2017 DATED 17-11-2017,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
407-412 OF 2006,18/01/2006,RPL,65.4,Panipat,40,ELDECO Infrastructure & Properties,17/01/2020,False,PARCEL-MATCH,100,name=100+sector,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED
36 OF 2008,28/02/2008,RPL,55.8,Panipat,40,ELDECO Infrastructure & Properties Pvt. Ltd.,27/02/2027,True,PARCEL-MATCH,100,name=100+sector,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED
47 OF 2017,18/07/2017,RPL,29.18,Panipat,19A,Eldeco Infrastructure & Properties Ltd.,17/07/2026,False,DEV-MATCH,100,name=100,ELDECO ESTATE ONE- PHASE THREE,HRERA-PKL-PNP- 12-2018 DATED 04.06.2018,ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED
24 OF 2024,13/02/2024,RPL,2.90625,Panipat,40,ELDECO Infrastructure & Properties Ltd,12/02/2029,True,PARCEL-MATCH,100,name=100+sector,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED
67 OF 2025,09/05/2025,RPL,2.9167,Panipat,40,ELDECO Infrastructure & Properties Ltd,08/05/2030,True,PARCEL-MATCH,100,name=100+sector,ELDECO PARADISO,HRERA-PKL-PNP-299-2022,ELDECO GREEN PARK INFRASTRUCTURE LIMITED
463 OF 2006,18/02/2006,CIR,3.6,Panipat,19,Baderwals Infraprojects Pvt. Ltd,17/02/2016,False,WEAK,75,name=75,M3M CITY OF DREAMS II,HRERA-PKL-PNP-523-2023,UTTIRNA INFRAPROJECTS PRIVATE LIMITED
997 OF 2006,16/06/2006,RGH,10.01,Panipat,19,Stanza Developers & Infrastructure,15/06/2026,False,PARCEL-MATCH,100,name=100+sector,LA REGENCIA PHASE-II,HRERA-PKL-PNP-46-2018,ASTRUM VALUE HOMES PVT. LTD. AND STANZA DEVELOPERS & INFRASTRUCTURE PVT. LTD.
1198-1202 OF 2006,29/09/2006,RGH,10.19,Panipat,40,Jai Shiva Earth Movers & Construction,28/09/2019,False,PARCEL-MATCH,78,name=78+sector,MAXVEL CEREMONY CITY,HRERA-PKL-PNP-682-2025,JAY SHIVA EARTHMOVERS AND CONSTRUCTION PRIVATE LIMITED
63-105(Except 88 of 2007 as cancelled) OF 2007,11/02/2007,RPL,221.446,Panipat,39,Taneja Developers and Infrastructure ltd,10/02/2018,False,UNMATCHED,0,,,,
