developer_key,promoter_names,n_projects,projects,reg_numbers
FORTEASIA REALTY,FORTEASIA REALTY PRIVATE LIMITED | FORTEASIA REALTY PVT. LTD.,10,44 SCO'S AND 1 CLINIC FORMING PART OF COMMERCIAL SITE-I | AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES | FORTEASIA INDUSTRIAL TOWNSHIP | FORTEASIA MILLIONAIRE RESIDENCES (GROUP HOUSING PROJECT) | FORTEASIA PARK VIEW | FORTEASIA RESORT | FORTEASIA SILICON VALLEY EXTENSION III | FORTEASIA SILICON VALLEY EXTENSION-I | FORTEASIA SILICON VALLEY EXTENSION-II,"HRERA-PKL-ROH-382-2022 | HRERA-PKL-ROH-398-2023 | HRERA-PKL-ROH-402-2023 | HRERA-PKL-ROH-430-2023 | HRERA-PKL-ROH-653-2025 | HRERA-PKL-ROH-694-2025 | HRERA-PKL-ROH-750-2025 | HRERA-PKL-ROH-795-2025 | HRERA-PKL-RTK-25-2018 , DATED 18-07-2018 | HRERA-PKL-RTK-63-2018"
SONIKA PROPERTIE,SONIKA PROPERTIES PRIVATE LIMITED | SONIKA PROPERTIES PRIVATE LTD | SONIKA PROPERTIES PVT LTD. | SONIKA PROPERTIES PVT. LTD.,5,RESIDENTIAL GROUP HOUSING COLONY | SUNCITY HEIGHTS | SUNCITY TOWNHSIP SECTOR 36A ROHTAK | SUNCITY TOWNSHIP SECTOR 36A,HRERA-PKL-ROH-224-2021 | HRERA-PKL-ROH-239-2021 | HRERA-PKL-ROH-255-2021 | HRERA-PKL-ROH-925-2026 | HRERA-PKL-RTK-107-2019
ONE POINT REALTY,ONE POINT REALTY PVT LTD | ONE POINT REALTY PVT. LTD.,4,AFFORTABLE PLOTTED COLONY (ONE CITY) 10.48906 ACRES | AFFORTABLE PLOTTED COLONY(ONE CITY) 5.3906256 ACRES | ONE CITY | RESIDENTIAL PLOTTED COLONY 58.08906 ACRES(ONE CITY),"185/2017, DATED 14-09-2017 | 59/2017, DATED 18.08.2017 | 71/2017 DATED 21.08.2017 | HRERA-PKL-ROH-525-2023"
SHARAD FARM HOLODING,SHARAD FARMS AND HOLODING PVT. LTD.,3,AFFORTABLE PLOTTED COLONY 5.64687 ACRES | RESIDENTIAL PLOTTED COLONY 130.447 ACRES | RESIDENTIAL PLOTTED COLONY 6.72812 ACRES,"123/2017, DATED 28.08.2017 | 128/2017, DATED 28.08.2017 | 172/2017, DATED 29.08.2017"
OMAXE,OMAXE LTD.,2,AFFORTABLE PLOTTED COLONY 5.6125ACRES | AFFORTABLE PLOTTED COLONY 8.46875 ACRES,126/2017 DATED 28.08.2017 | 163/2017 DATED 29.08.2017
OMEX,OMEX LTD.,2,14.80 ACRSE AFFORDABLE RSEIDENTIAL PLOTTED COLONY | AFFORDABLE RESIDENTIAL  PLOTTED  COLONY  ON 13.75 ACRES,195 OF 2017 DATED 15.09.2017 | 217 OF 2017 DATED 18.09.2017
JOP INTERNATIONAL,JOP INTERNATIONAL LIMITED,2,JOP PALMS,HRERA-PKL-ROH-226-2021 | HRERA-PKL-ROH-448-2023
ESTATEOFFICER HSVP ROHTAK,"ESTATEOFFICER,HSVP ROHTAK",2,"SECTOR 27,28,26,PART-I,II,III | SECTOR-27-28-26 PART-I-II-III",HRERA-PKL-ROH-250-2021 | Not Issued Yet
HL RESIDENCY,HL RESIDENCY,2,HL GROUP RESIDENCES | HL GROUP RESIDENCIES,HRERA-PKL-ROH-592-2024 | HRERA-PKL-ROH-670-2025
RAJ DEVELOPER THROUGH PROPRIETOR RAJ KUMARI,RAJ DEVELOPERS THROUGH PROPRIETOR RAJ KUMARI,2,MAK GREEN - TWIN TOWERS | MAK GREENS - TWIN TOWERS,HRERA-PKL-ROH-633-2024 | HRERA-PKL-ROH-634-2024
SHRISHTI INFRADEVELOPER,SHRISHTI INFRADEVELOPERS PRIVATE LIMITED | SHRISHTI INFRADEVELOPERS PVT. LTD.,2,KALP-VATIKA | THE PLANNETS,HRERA-PKL-ROH-788-2025 | HRERA-PKL-RTK-119-2019
