CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-186,"GOV EMPLOYEE ROH RPL



GOV EMPLOYEE ROH RPL (Revised Layout and Demarcation Plan)",,,,LC-186A,1 OF 2003,02/01/2003,RPL,97.91,Rohtak,01/01/2020,,The Government Employee,View Land Schedule,View
LC-587,RAMA ROH-RPL,,,,LC-587A,1DUD OF 2003,24/12/2003,RPL,15.843,Rohtak,23/12/2005,22,Rama Auto Cars,,View
LC-758,RAMESH ROH RPL,,,,LC-758A,1-2 OF 2005,16/06/2005,RPL,4.4,Rohtak,16/06/2007,,Ramesh Chander,View Land Schedule,View
LC-704,"OMAXE ROH 26, 28 RPL 

(New LOP)

OMAXE ROH 26, 28 RPL 

(Previous LOP) (Zoning Plan)",,,,LC-704A,527-542 OF 2006,06/03/2006,RPL,77.48,Rohtak,05/03/2017,"26,28",Omaxe Construction,View Land Schedule,View
LC-636,UDDAR ROH-23-27-28 RPL,,,,LC-636A,1081-1104 OF 2006,01/09/2006,RPL,60.43,Rohtak,31/08/2013,"27,28,23",Uddar Gagan Properties   & Others,View Land Schedule,View
LC-636,UDDAR ROH-23-27-28 RPL,,,,LC-636B,1105-1124 OF 2006,02/09/2006,RPL,51.89,Rohtak,01/09/2013,27,Uddar Gagan Properties   & Others,View Land Schedule,View
LC-636,UDDAR ROH-23-27-28 RPL,,,,LC-636C,96 OF 2012,07/09/2012,RPL,15.8,Rohtak,06/09/2016,27,Uddar Gagan Properties Pvt. Ltd.,View Land Schedule,View
LC-847,SHARADFARMS ROH-34-35-36 RPL Zoning Plan of Part-1 (Drg. No. DTCP-6572-I  Dated-16/08/2018) Zoning Plan of Part-2 (Drg. No. DTCP-6572-II  Dated-16/08/2018) Zoning Plan of Part-3 (Drg. No. DTCP-6572-III  Dated-16/08/2018) (Revised Zoning Plan),3/7/2017,,05/03/2024,LC-847A,1134-1166 OF 2006,22/09/2006,RPL,159.935,Rohtak,21/09/2019,"34,35,36",Sharad Farms and Holdings Pvt Ltd,View Land Schedule,View
LC-847,SHARADFARMS ROH-34-35-36 RPL Zoning Plan of Part-1 (Drg. No. DTCP-6572-I  Dated-16/08/2018) Zoning Plan of Part-2 (Drg. No. DTCP-6572-II  Dated-16/08/2018) Zoning Plan of Part-3 (Drg. No. DTCP-6572-III  Dated-16/08/2018) (Revised Zoning Plan),3/7/2017,,05/03/2024,LC-847B,187 OF 2008,08/11/2008,RPL,168.1,Rohtak,07/11/2020,"34,35,36",Sharad Farms and Holdings Pvt Ltd,View Land Schedule,View
LC-847,SHARADFARMS ROH-34-35-36 RPL Zoning Plan of Part-1 (Drg. No. DTCP-6572-I  Dated-16/08/2018) Zoning Plan of Part-2 (Drg. No. DTCP-6572-II  Dated-16/08/2018) Zoning Plan of Part-3 (Drg. No. DTCP-6572-III  Dated-16/08/2018) (Revised Zoning Plan),3/7/2017,,05/03/2024,LC-847D,17 OF 2009,31/05/2009,RPL,19.97,Rohtak,30/05/2019,"34,35,36",Sharad Farms and Holdings Pvt Ltd,View Land Schedule,View
