Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,-887-2020,ASHA ROHTAK,291 OF 2017 DATED 12.10.2017,DHL INFRATECH PVT. LTD.,"SECTOR 27-A, VILLAGE KHERI SA DH CITY, ROHTAK HARYANA",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1501 | https://haryanarera.gov.in/view_project/view_certificate/Mzk= | https://haryanarera.gov.in/view_project/project_preview_open/1501
2,-445-2019,AFFORTABLE PLOTTED COLONY 8.46875 ACRES,163/2017 DATED 29.08.2017,OMAXE LTD.,"VILLAGE MAINA, SUNARI KALAN, SUNARI KHURD, SECTOR-22D, ROHTAK",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/489 | https://haryanarera.gov.in/view_project/view_certificate/MTYw | https://haryanarera.gov.in/view_project/project_preview_open/489
3,-768-2019,RESIDENTIAL PLOTTED COLONY 58.08906 ACRES(ONE CITY),71/2017 DATED 21.08.2017,ONE POINT REALTY PVT. LTD.,"SECTOR-37, ROHTAK",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/945 | https://haryanarera.gov.in/view_project/view_certificate/MTU3 | https://haryanarera.gov.in/view_project/project_preview_open/945
4,-1232-2023,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.,"VILLAGE-PARA, SECTOR-36, ROHT AK",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2369 | https://haryanarera.gov.in/view_project/view_certificate/MTkz | https://haryanarera.gov.in/view_project/project_preview_open/2369
5,-508-2019,LOTUS ENCLAVE-ROHTAK,HRERA-PKL-RTK-5-2018,KADIAN AGRO,"VILLAGE BOHAR, SECTOR-35, ROH TAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/569 | https://haryanarera.gov.in/view_project/view_certificate/MTc3 | https://haryanarera.gov.in/view_project/project_preview_open/569
6,-514-2019,AFFORTABLE PLOTTED COLONY (ONE CITY) 10.48906 ACRES,"59/2017, DATED 18.08.2017",ONE POINT REALTY PVT. LTD.,"SECTOR-37, ROHTAK",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/578 | https://haryanarera.gov.in/view_project/view_certificate/MTQw | https://haryanarera.gov.in/view_project/project_preview_open/578
7,-468-2019,AFFORTABLE RESIDENTIAL PLOTTED COLONY 11.475 ACRES,"HRERA-PKL-RTK-25-2018 , DATED 18-07-2018",FORTEASIA REALTY PVT. LTD.,"VILLAGE-SUNARI KHURD, SECTOR- 22D, ROHTAK",ROHTAK,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/523 | https://haryanarera.gov.in/view_project/view_certificate/MjAy | https://haryanarera.gov.in/view_project/project_preview_open/523
8,-446-2019,AFFORTABLE PLOTTED COLONY 5.6125ACRES,126/2017 DATED 28.08.2017,OMAXE LTD.,"VILLAGE MAINA SUNARI KALAN, S UNARI KHURD, SECTOR-22 D, ROHTAK",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/490 | https://haryanarera.gov.in/view_project/view_certificate/MTU5 | https://haryanarera.gov.in/view_project/project_preview_open/490
9,-1228-2023,RESIDENTIAL PLOTTED COLONY 6.72812 ACRES,"123/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.,"VILLAGE PARA, SECTOR-36, TEHS IL AND DISTRICT ROHTAK,",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2361 | https://haryanarera.gov.in/view_project/view_certificate/MTM3 | https://haryanarera.gov.in/view_project/project_preview_open/2361
10,-1158-2022,ROHTAK GREEN,238 OF 2017 DATED 20.09.2017,BESTECH DEVELOPERS PVT. LTD.,"SECTOR 25D, VILLAGE PEHRAWAR, TEHSIL & DISTRICT RIHTAK, HARYANA",ROHTAK,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/2184 | https://haryanarera.gov.in/view_project/view_certificate/ODI= | https://haryanarera.gov.in/view_project/project_preview_open/2184
