LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
1 OF 2003,02/01/2003,RPL,97.91,Rohtak,,The Government Employee,01/01/2020,False,UNMATCHED,0,,,,
1DUD OF 2003,24/12/2003,RPL,15.843,Rohtak,22,Rama Auto Cars,23/12/2005,False,UNMATCHED,0,,,,
1-2 OF 2005,16/06/2005,RPL,4.4,Rohtak,,Ramesh Chander,16/06/2007,False,UNMATCHED,0,,,,
527-542 OF 2006,06/03/2006,RPL,77.48,Rohtak,"26,28",Omaxe Construction,05/03/2017,False,DEV-MATCH,100,name=100,AFFORTABLE PLOTTED COLONY 8.46875 ACRES,163/2017 DATED 29.08.2017,OMAXE LTD.
1081-1104 OF 2006,01/09/2006,RPL,60.43,Rohtak,"27,28,23",Uddar Gagan Properties   & Others,31/08/2013,False,UNMATCHED,0,,,,
1105-1124 OF 2006,02/09/2006,RPL,51.89,Rohtak,27,Uddar Gagan Properties   & Others,01/09/2013,False,UNMATCHED,0,,,,
96 OF 2012,07/09/2012,RPL,15.8,Rohtak,27,Uddar Gagan Properties Pvt. Ltd.,06/09/2016,False,UNMATCHED,0,,,,
1134-1166 OF 2006,22/09/2006,RPL,159.935,Rohtak,"34,35,36",Sharad Farms and Holdings Pvt Ltd,21/09/2019,False,PARCEL-MATCH,97,name=97+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
187 OF 2008,08/11/2008,RPL,168.1,Rohtak,"34,35,36",Sharad Farms and Holdings Pvt Ltd,07/11/2020,False,PARCEL-MATCH,97,name=97+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
17 OF 2009,31/05/2009,RPL,19.97,Rohtak,"34,35,36",Sharad Farms and Holdings Pvt Ltd,30/05/2019,False,PARCEL-MATCH,97,name=97+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
04 OF 2014,21/01/2014,RPL,10.556,Rohtak,"34,35,36",Sharad Farms and Holdings Pvt Ltd,20/01/2020,False,PARCEL-MATCH,97,name=97+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
2 OF 2015,19/06/2015,RPL,7.3125,Rohtak,"34,35,36",Sharad Farms and Holdings Pvt Ltd,18/06/2025,False,PARCEL-MATCH,97,name=97+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
9 OF 2009,19/05/2009,RPL,76.81,Rohtak,36A,Sonika Properties Pvt ltd,18/05/2025,False,PARCEL-MATCH,100,name=100+sector,SUNCITY TOWNSHIP SECTOR 36A,HRERA-PKL-ROH-239-2021,SONIKA PROPERTIES PVT LTD.
23 OF 2009,06/06/2009,RPL,41.91,Rohtak,28,Omaxe Construction,05/06/2015,False,DEV-MATCH,100,name=100,AFFORTABLE PLOTTED COLONY 8.46875 ACRES,163/2017 DATED 29.08.2017,OMAXE LTD.
29 OF 2010,25/03/2010,RPL,58.09,Rohtak,37,One Point Realty Pvt. Ltd,24/03/2025,False,PARCEL-MATCH,100,name=100+area+sector,RESIDENTIAL PLOTTED COLONY 58.08906 ACRES(ONE CITY),71/2017 DATED 21.08.2017,ONE POINT REALTY PVT. LTD.
101 OF 2012,06/09/2012,RPL,5.39,Rohtak,37,One Point Realty Pvt. Ltd,05/09/2023,False,PARCEL-MATCH,100,name=100+sector,RESIDENTIAL PLOTTED COLONY 58.08906 ACRES(ONE CITY),71/2017 DATED 21.08.2017,ONE POINT REALTY PVT. LTD.
173 OF 2023,28/08/2023,RPL,0.28125,Rohtak,37,One Point Realty Pvt. Ltd,27/08/2028,True,PARCEL-MATCH,100,name=100+sector,RESIDENTIAL PLOTTED COLONY 58.08906 ACRES(ONE CITY),71/2017 DATED 21.08.2017,ONE POINT REALTY PVT. LTD.
36 OF 2010,07/05/2010,RPL,118.19,Rohtak,"33-A,33",Parsvnath Developers,06/05/2014,False,UNMATCHED,0,,,,
65 OF 2010,21/08/2010,RGH,14.813,Rohtak,36A,Sonika Properties Pvt ltd,20/08/2026,True,PARCEL-MATCH,100,name=100+sector,SUNCITY TOWNSHIP SECTOR 36A,HRERA-PKL-ROH-239-2021,SONIKA PROPERTIES PVT LTD.
91 OF 2012,03/09/2012,RPL,92.73,Rohtak,27-28,Uddar Gagan Properties Pvt. Ltd.,02/09/2016,False,UNMATCHED,0,,,,
99 OF 2012,07/09/2012,RPL,32.45,Rohtak,27,Uddar Gagan Properties Pvt. Ltd.,06/09/2016,False,UNMATCHED,0,,,,
7 OF 2013,04/03/2013,RGH,6.09,Rohtak,28,Jop International Ltd.,03/03/2017,False,PARCEL-MATCH,100,name=100+sector,JOP PALMS,HRERA-PKL-ROH-226-2021,JOP INTERNATIONAL LIMITED
53 OF 2014,20/06/2014,RGH,8.19,Rohtak,27A,DHL Infratech Pvt. Ltd.,19/06/2019,False,DEV-MATCH,100,name=100,ASHA ROHTAK,291 OF 2017 DATED 12.10.2017,DHL INFRATECH PVT. LTD.
3 OF 2016,12/04/2016,RGH,5.18,Rohtak,3,Shrishti Infra Developers Pvt. Ltd.,11/04/2021,False,PARCEL-MATCH,100,name=100+sector,KALP-VATIKA,HRERA-PKL-ROH-788-2025,SHRISHTI INFRADEVELOPERS PVT. LTD.
25 OF 2017,08/06/2017,DDJAY-APHP,5.65,Rohtak,36,Sharad Farms & Holdings Pvt. Ltd.,07/06/2022,False,PARCEL-MATCH,97,name=97+area+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
26 OF 2017,08/06/2017,DDJAY-APHP,6.73,Rohtak,36,Sharad Farms & Holdings Pvt. Ltd.,07/06/2022,False,PARCEL-MATCH,97,name=97+sector,AFFORTABLE PLOTTED COLONY 5.64687 ACRES,"128/2017, DATED 28.08.2017",SHARAD FARMS AND HOLODING PVT. LTD.
