FileNo,ReceiptDate,Purpose,Area_acre,DevPlanRaw,Sector,Developer
LC-1161C,22/04/2013,RESIDENTIAL PLOTTED COLONY,1.16,ROHTAK,37,One Point Realty Pvt. Ltd.
LC-3195A,18/02/2015,AFFORDABLE HOUSING PROJECT,5.34,ROHTAK,19,Mahmia Impex Pvt. Ltd.
LC-3617B,06/06/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.54375,ROHTAK,22D,CNR Leading Softek Pvt. Ltd.
LC-4396A,10/12/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.075,ROHTAK,,Forteasia Realty Pvt. Ltd.
LC-4397A,10/12/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.075,ROHTAK,22D,Forteasia Realty Pvt. Ltd.
LC-4416A,24/12/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.0625,ROHTAK,22D,Forteasia Realty Pvt. Ltd.
LC-5018C,29/12/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,3.89375,ROHTAK,21E,NV Residency LLP
LC-5035A,17/01/2023,COMMERCIAL PLOTTED COLONY,1.2,ROHTAK,27A,Suhag Realty
LC-5040A,23/01/2023,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.7125,ROHTAK,27A,Suhag Realty
LC-5097C,16/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.3,ROHTAK,NA,Rishika Green Global LLP
LC-5166A,14/07/2023,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.961,ROHTAK,7,NPR HEIGHTS
LC-5324B,23/05/2024,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,4,KALANAUR,NA,Forteasia Realty Pvt. Ltd.
LC-5324D,14/11/2024,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,43.69375,KALANAUR,NA,Forteasia Realty Pvt. Ltd.
LC-5324H,25/03/2026,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,31.05,KALANAUR,NA,Forteasia Realty Pvt. Ltd.
LC-5328A,22/02/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.575,ROHTAK,35,Informage Reality Pvt.Ltd.
LC-5480A,12/04/2024,INDUSTRIAL PLOTTED COLONY IN INDUSTRIAL ZONE,32.40625,KALANAUR,NA,Forteasia Realty Pvt. Ltd.
LC-5510A,15/10/2024,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,10.1625,SAMPLA,NA,R S Construction Solutions
LC-5703A,20/06/2025,COMMERCIAL PLOTTED COLONY,1.63125,ROHTAK,35,Ms. Sty Lite Builders  Developers Pvt. Ltd
LC-5837A,12/12/2025,AFFORDABLE HOUSING PROJECT,18.34375,ROHTAK,27A,Haryana Telecom Limited
LC-5931A,16/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.0125,ROHTAK,22D,Forteasia Realty Pvt. Ltd.
LC-5941A,28/04/2026,AFFORDABLE HOUSING PROJECT,13.7125,ROHTAK,21E,VATIKA HEIGHTS RESIDENCY LLP
LC-5979A,16/06/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.3688,ROHTAK,21E,SR Paras Green Developers LLP
LC-6000A,14/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.5,ROHTAK,7,Kuber Homes
LC-6008A,14/07/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.075,ROHTAK,22B,Uday Facility Management Pvt. Ltd.
