developer_key,promoter_names,n_projects,projects,reg_numbers
JINDAL REALTY,JINDAL REALTY LIMITED | JINDAL REALTY PVT. LTD.,8,AADYAM | GLOBAL GREEN RESIDENCY | JINDAL GLOBAL CITY (PHASE-V) | JINDAL SMART CITY | SONEPAT GLOBAL CITY | SONEPAT GLOBAL CITY -PHASE II | SONEPAT GLOBAL CITY -PHASE III | TATVAM,149 OF 2017 DATED 28.08.2017 | 165 OF 2017 DATED 29.08.2017 | 261 OF 2017 DATED 03.10.2017 | HRERA-PKL-SNP-243-2021 | HRERA-PKL-SNP-331-2022 | HRERA-PKL-SNP-499-2023 | HRERA-PKL-SNP-814-2025 | HRERA-PKL-SNP-861-2026
ANSAL PROPERTIE INFRASTRUCTURE,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED | ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED | ANSAL PROPERTIES AND INFRASTRUCTURE LTD.,5,"ANAND LOK (SONIPAT-11.45625 ACRES) DDJAY | GREEN ESCAPE (T-18, 19, 26, 27, 28, 31, 32, 36, 37, 38, 39 AND PARTIAL EWS-224 UNITS) | SECTOR ROAD SCOS | SUSHANT CITY KUNDLI-ZONE 2 | SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",303 OF 2017 DATED 16.10.2017 | HRERA-PKL-SNP-139-2019 | HRERA-PKL-SNP-173-2019 | HRERA-PKL-SNP-201-2020 | HRERA-PKL-SNP-212-2020
PARSVNATH DEVELOPER,PARSVNATH DEVELOPERS LTD.,4,"PARSVNATH CITY , SONEPAT(20.159 ACRES) | PARSVNATH CITY ,(118 ACRES) | PARSVNATH CITY CENTER SONEPAT | PARSVNATH PRESTON SONEPAT",132 OF 2017 DATED 28.08.2017 | 141 OF 2017 DATED 28.08.2017 | 332 OF 2017 DATED 24.10.2017 | 344 OF 2017 DATED 26.10.2017
TDI INFRASTRUCTURE,TDI INFRASTRUCTURE LIMITED | TDI INFRASTRUCTURE LTD.,3,ESPANIA 1 | ESPANIA- 2 | TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017 | HRERA-PKL-SNP-161-2019 | HRERA-PKL-SNP-162-2019
RAMA KRISHNA BUILDWELL,RAMA KRISHNA BUILDWELL PVT LTD | RAMA KRISHNA BUILDWELL PVT. LTD.,3,AFFORDABLE RESIDENTIAL PLOTTED COLONY  ON 14.68 ACRES | PRESIDIA HEIGHTS | RESIDENTIAL TOWNSHIP,371 OF 2017 DATED 27.11.2017 | HRERA-PKL-SNP-258-2021 | HRERA-PKL-SNP-259-2021
MAPSKO BUILDER,MAPSKO BUILDERS PVT LTD,3,"MAPSKO ASPR GREENZ | MAPSKO GALLERIA (PROJECT AREA 1.82 ACRES COMMERCIAL, PART OF RESIDENTIAL PLOTTED COLONY) | MAPSKO GARDEN ESTATE",HRERA-PKL-SNP-343-2022 | HRERA-PKL-SNP-397-2023 | HRERA-PKL-SNP-72-2018
SYSCOM EDUTECH,SYSCOM EDUTECH PRIVATE LIMITED,3,SONIPAT GLOBAL INDUSTRIAL TOWNSHIP | SONIPAT GLOBAL INDUSTRIAL TOWNSHIP - PHASE 3,HRERA-PKL-SNP-280-2021 | HRERA-PKL-SNP-393-2023 | HRERA-PKL-SNP-582-2024
NEXTRA DEVELOPER,NEXTRA DEVELOPERS LLP,2,NEXTRA CITY 2 | NEXTRA DEVELOPERS LLP,35 OF 2017 DATED 07.08.2017 | HRERA-PKL-SNP-465-2023
INDIABULL ESTATE,INDIABULLS ESTATE LTD | INDIABULLS ESTATE LTD.,2,IB CITY | IB CITY SONEPAT,335 OF 2017 DATED 24.10.2017 | HRERA-PKL-SNP-454-2023
MERA BABA REAL ESTATE,MERA BABA REAL ESTATE PVT. LTD.,2,AFFORDABLE RESIDENTIAL  PLOTTED  COLONY  ON 6.14 ACRES | SURAKSHA ENCLAVE,370 OF 2017 DATED 24.11.2017 | Not Issued Yet
SEAGULL BUILDWELL,SEAGULL BUILDWELL PRIVATE LIMITED | SEAGULL BUILDWELL PVT. LTD.,2,NRI- MURTHAL INDUSTRIAL TOWNSHIP | SEAGULL BUILDWELL PVT. LTD.,HRERA-PKL-SNP-138-2019 | HRERA-PKL-SNP-884-2026
CREATIVE BUILDWELL,CREATIVE BUILDWELL PRIVATE LIMITED | CREATIVE BUILDWELL PVT. LTD.,2,TULIP CITY | TULIP CITY SONIPAT PHASE-II,HRERA-PKL-SNP-230-2021 | HRERA-PKL-SNP-408-2023
NUGRAJ DREAM BUILDER,NUGRAJ DREAM BUILDERS PRIVATE LIMITED,2,MAJESTIC GREENS-1 | MAJESTIC GREENS-2,HRERA-PKL-SNP-654-2025 | HRERA-PKL-SNP-655-2025
ELDECO INFRACON REALTOR,ELDECO INFRACON REALTORS LIMITED,2,ELDECO AMOR | ELDECO AMOR VILLA,HRERA-PKL-SNP-527-2023 | HRERA-PKL-SNP-643-2024
ELDECO GREEN PARK INFRSTRUCTURE,ELDECO GREEN PARK INFRSTRUCTURE LIMITED,2,ELDECO AMAYA | ELDECO AMAYA VILLA,HRERA-PKL-SNP-496-2023 | HRERA-PKL-SNP-629-2024
SIDDHARTHA DEVELOPER,SIDDHARTHA DEVELOPERS,2,SIDDHARTHA DEVELOPERS | SIDDHARTHA RESIDENCY,HRERA-PKL-SNP-648-2025 | HRERA-PKL-SNP-891-2026
RAM SETU BUILDWELL,RAM SETU BUILDWELL PRIVATE LIMITED,2,ORANGE CITY | ORANGE PRIMIA FLOOR,HRERA-PKL-SNP-491-2023 | HRERA-PKL-SNP-774-2025
Y P INFRATECH,Y P INFRATECH PRIVATE LIMITED | Y P INFRATECH PVT. LTD.,2,ELITE HOMES+O2 HOME | GLOBUS INDUSTRIAL TOWNSHIP,HRERA-PKL-SNP-431-2023 | HRERA-PKL-SNP-548-2024
MANSHA BUILDCON,MANSHA BUILDCON PVT. LTD.,2,AAGMAN | MANSHA HERITAGE,HRERA-PKL-SNP-588-2024 | HRERA-PKL-SNP-775-2025
