CaseNo,Colony,BR3,BR7,LC9,FileID,LicenseNo,IssueDate,Purpose,Area_acre,DevPlanRaw,ValidUpto,Sector,Developer,LandSchedule1,LandSchedule2
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411A,48-55 OF 2003,10/12/2003,RPL,51.6,Sonipat,09/12/2015,"61,62",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411B,4-11 OF 2004,21/01/2004,RPL,37.53,Sonipat,20/01/2016,"61,62",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411C,86-97 OF 2004,21/07/2004,RPL,45.41,Sonipat,20/07/2017,"61,62",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411D,128-131 OF 2004,18/10/2004,RPL,13.71,Sonipat,17/10/2015,"61,62",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411E,447 OF 2006,27/01/2006,RPL,7,Sonipat,26/01/2016,62,Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411F,448-454 OF 2006,27/01/2006,RPL,26.12,Sonipat,26/01/2018,"61,62",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411O,"760-765, 769, 776, 778, 780, 781, 783, 788, 789 OF 2006",21/04/2006,RPL,20.47,Sonipat,20/04/2015,"61,62,63,35",Ansal Properties & Infrastructure Ltd,,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411I,1129-1132 OF 2006,15/09/2006,RPL,6.92,Sonipat,14/09/2017,"61,62",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411J,39 OF 2008,02/03/2008,RPL,27.31,Sonipat,01/03/2018,"62,63",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411K,181 OF 2008,24/10/2008,RPL,5.81,Sonipat,03/10/2016,"61,62,63,35",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411M,31 OF 2012,07/04/2012,RPL,20.08,Sonipat,06/04/2018,"61, 62, 63",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411L,2 OF 2014,03/01/2014,RPL,26.74,Sonipat,02/01/2018,35-36,Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-411,SUS CITY SON 61-62-63-35 RPL RGH Area 5.85 Acres (Earlier approved on 02/11/2012) RGH Area 5.85 Acres (In-principle approval on 21/05/2015) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 24/10/2008) SUS CITY SON 61-62-63-35 RPL (Earlier issued on 19/03/2010) SUS CITY SON 61-62-63-35 RPL (Layout Plan),,,,LC-411N,10 OF 2020,18/03/2020,RPL,3.4187,Sonipat,17/03/2025 (File also Known as LC-1672C),"61,62,63,35",Ansal Properties & Infrastructure Ltd,View Land Schedule,View
LC-533,GH Colony (Area 11.46) GH Colony (Area 18.430) INTIME SON 58-69 RPL (Drg. No. D.T.C.P.-2273 Dated: 02/11/2010) INTIME SON 58-69 RPL (Revised LOP approved on 20/08/2014) INTIME SON 58-69 RPL (Lic. No. 101-144 of 2005 dt. 05/08/2005) INTIME SON 58-69 RPL (Lic. No. 729-872 of 2006 dt. 21/04/2006) (Revised Layout cum Demarcation Plan) (Revised Layout cum Demarcation Plan),,15/12/2017 15/12/2017 12/06/2019 (Commercial Building Block),,LC-533A,153-167 OF 2004,15/12/2004,RPL,37.738,Sonipat,14/12/2017,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,View Land Schedule,View
LC-533,GH Colony (Area 11.46) GH Colony (Area 18.430) INTIME SON 58-69 RPL (Drg. No. D.T.C.P.-2273 Dated: 02/11/2010) INTIME SON 58-69 RPL (Revised LOP approved on 20/08/2014) INTIME SON 58-69 RPL (Lic. No. 101-144 of 2005 dt. 05/08/2005) INTIME SON 58-69 RPL (Lic. No. 729-872 of 2006 dt. 21/04/2006) (Revised Layout cum Demarcation Plan) (Revised Layout cum Demarcation Plan),,15/12/2017 15/12/2017 12/06/2019 (Commercial Building Block),,LC-533B,183-228 OF 2004,17/12/2004,RPL,123.04,Sonipat,16/12/2017,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,View Land Schedule,View
LC-533,GH Colony (Area 11.46) GH Colony (Area 18.430) INTIME SON 58-69 RPL (Drg. No. D.T.C.P.-2273 Dated: 02/11/2010) INTIME SON 58-69 RPL (Revised LOP approved on 20/08/2014) INTIME SON 58-69 RPL (Lic. No. 101-144 of 2005 dt. 05/08/2005) INTIME SON 58-69 RPL (Lic. No. 729-872 of 2006 dt. 21/04/2006) (Revised Layout cum Demarcation Plan) (Revised Layout cum Demarcation Plan),,15/12/2017 15/12/2017 12/06/2019 (Commercial Building Block),,LC-533C,101-144 OF 2005,05/08/2005,RPL,108.723,Sonipat,04/08/2017,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,View Land Schedule,View
LC-533,GH Colony (Area 11.46) GH Colony (Area 18.430) INTIME SON 58-69 RPL (Drg. No. D.T.C.P.-2273 Dated: 02/11/2010) INTIME SON 58-69 RPL (Revised LOP approved on 20/08/2014) INTIME SON 58-69 RPL (Lic. No. 101-144 of 2005 dt. 05/08/2005) INTIME SON 58-69 RPL (Lic. No. 729-872 of 2006 dt. 21/04/2006) (Revised Layout cum Demarcation Plan) (Revised Layout cum Demarcation Plan),,15/12/2017 15/12/2017 12/06/2019 (Commercial Building Block),,LC-533D,200-285 OF 2005,18/11/2005,RPL,304.83,Sonipat,17/11/2017,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,View Land Schedule,View
LC-533,GH Colony (Area 11.46) GH Colony (Area 18.430) INTIME SON 58-69 RPL (Drg. No. D.T.C.P.-2273 Dated: 02/11/2010) INTIME SON 58-69 RPL (Revised LOP approved on 20/08/2014) INTIME SON 58-69 RPL (Lic. No. 101-144 of 2005 dt. 05/08/2005) INTIME SON 58-69 RPL (Lic. No. 729-872 of 2006 dt. 21/04/2006) (Revised Layout cum Demarcation Plan) (Revised Layout cum Demarcation Plan),,15/12/2017 15/12/2017 12/06/2019 (Commercial Building Block),,LC-533E,652-722 OF 2006,13/04/2006,RPL,159.75,Sonipat,11/04/2017,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,View Land Schedule,View
LC-533,GH Colony (Area 11.46) GH Colony (Area 18.430) INTIME SON 58-69 RPL (Drg. No. D.T.C.P.-2273 Dated: 02/11/2010) INTIME SON 58-69 RPL (Revised LOP approved on 20/08/2014) INTIME SON 58-69 RPL (Lic. No. 101-144 of 2005 dt. 05/08/2005) INTIME SON 58-69 RPL (Lic. No. 729-872 of 2006 dt. 21/04/2006) (Revised Layout cum Demarcation Plan) (Revised Layout cum Demarcation Plan),,15/12/2017 15/12/2017 12/06/2019 (Commercial Building Block),,LC-533F,729-759 & 790-872 OF 2006,21/04/2006,RPL,252.74,Sonipat,20/04/2017,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,View Land Schedule,View
