Sr. No.,Project Temp-ID,Project Name,Project Registration Number,Promoter Name,Project Address,Project District,Registered With,View Certificate,View A-H,bench_path,links
1,Not Available,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.,"SECTOR 58, 59, 60, 61, AND 64 , DISTRICT SONIPAT, HARYANA",SONIPAT,INTERIM RERA,,Not Available,1,https://haryanarera.gov.in/view_project/view_certificate/NTk=
2,-594-2019,NEXTRA DEVELOPERS LLP,35 OF 2017 DATED 07.08.2017,NEXTRA DEVELOPERS LLP,"VILLAGE KHARKHODA, SEC-2, PEE PLI, SONEPAT",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/690 | https://haryanarera.gov.in/view_project/view_certificate/NDE= | https://haryanarera.gov.in/view_project/project_preview_open/690
3,-380-2018,"PARSVNATH CITY ,(118 ACRES)",344 OF 2017 DATED 26.10.2017,PARSVNATH DEVELOPERS LTD.,"SECTOR 8, NH 1, SONEPAT, HARY ANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/342 | https://haryanarera.gov.in/view_project/view_certificate/OTE= | https://haryanarera.gov.in/view_project/project_preview_open/342
4,-581-2019,METRO VIEW,314 OF 2017 DATED 17.10.2017,MAXHEIGHTS TOWNSHIP AND PROJECTS PVT. LTD.,"SECTOR 35, TEHSIL RAI, SONEPA T , HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/670 | https://haryanarera.gov.in/view_project/view_certificate/NDI= | https://haryanarera.gov.in/view_project/project_preview_open/670
5,-765-2019,SUSHANT CITY KUNDLI-ZONE 2,303 OF 2017 DATED 16.10.2017,ANSAL PROPERTIES AND INFRASTRUCTURE LTD.,"TEHSIL RAI, DISTRICT SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/924 | https://haryanarera.gov.in/view_project/view_certificate/NjQ= | https://haryanarera.gov.in/view_project/project_preview_open/924
6,-833-2020,AFFORDABLE GROUP HOUSING PROJECT   ON 5 ACRES,334 OF 2017 DATED 24.10.2017,MAXHEIGHTS PROMETERS  PVT. LTD.,"SECTOR 61, VILLAGE NAGAL KALA N , SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1316 | https://haryanarera.gov.in/view_project/view_certificate/OTM= | https://haryanarera.gov.in/view_project/project_preview_open/1316
7,-374-2018,PARSVNATH PRESTON SONEPAT,132 OF 2017 DATED 28.08.2017,PARSVNATH DEVELOPERS LTD.,"VILLAGE SHAHPUR TURK, SECTOR 9/18, DISTRICT SONEPAT , HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/335 | https://haryanarera.gov.in/view_project/view_certificate/ODY= | https://haryanarera.gov.in/view_project/project_preview_open/335
8,-378-2018,PARSVNATH CITY CENTER SONEPAT,141 OF 2017 DATED 28.08.2017,PARSVNATH DEVELOPERS LTD.,"NEW PWD GUEST HOUSE, RAILWAY ROAD, SONEPAT, HARYANA",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/339 | https://haryanarera.gov.in/view_project/view_certificate/ODk= | https://haryanarera.gov.in/view_project/project_preview_open/339
9,-797-2019,"WATER SIDE LFLOORS, LAKE DRIVE, LAKE SIDE HEIGHTS, EWS",43 OF 2017 DATED 11.08.2017,TDI INFRACORP(INDIA) LIMITED,"SECTOR 64 VILLAGE PATLA, TEHS IL SONEPAT,",SONIPAT,INTERIM RERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/1161 | https://haryanarera.gov.in/view_project/view_certificate/NDY= | https://haryanarera.gov.in/view_project/project_preview_open/1161
10,-601-2019,WHITE LILY,HRERA-PKL-SNP-2-2018,AAKARSHAK REALATORS PVT. LTD.,"SECTOR-8, VILLAGE KAMASPUR, N EAR TAU DEVI LAL PAR, MAIN NH -1, SONEPAT",SONIPAT,HRERA,,,1,https://haryanarera.gov.in/view_project/searchprojectDetail/697 | https://haryanarera.gov.in/view_project/view_certificate/MTY2 | https://haryanarera.gov.in/view_project/project_preview_open/697
