LicenseNo,IssueDate,Purpose,Area_acre,DevPlan,Sector,Developer,ValidUpto,licence_active,match_status,match_score,match_why,rera_project,rera_reg_no,rera_promoter
48-55 OF 2003,10/12/2003,RPL,51.6,Sonipat,"61,62",Ansal Properties & Infrastructure Ltd,09/12/2015,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
4-11 OF 2004,21/01/2004,RPL,37.53,Sonipat,"61,62",Ansal Properties & Infrastructure Ltd,20/01/2016,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
86-97 OF 2004,21/07/2004,RPL,45.41,Sonipat,"61,62",Ansal Properties & Infrastructure Ltd,20/07/2017,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
128-131 OF 2004,18/10/2004,RPL,13.71,Sonipat,"61,62",Ansal Properties & Infrastructure Ltd,17/10/2015,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
447 OF 2006,27/01/2006,RPL,7,Sonipat,62,Ansal Properties & Infrastructure Ltd,26/01/2016,False,DEV-MATCH,100,name=100,SUSHANT CITY KUNDLI-ZONE 2,303 OF 2017 DATED 16.10.2017,ANSAL PROPERTIES AND INFRASTRUCTURE LTD.
448-454 OF 2006,27/01/2006,RPL,26.12,Sonipat,"61,62",Ansal Properties & Infrastructure Ltd,26/01/2018,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
"760-765, 769, 776, 778, 780, 781, 783, 788, 789 OF 2006",21/04/2006,RPL,20.47,Sonipat,"61,62,63,35",Ansal Properties & Infrastructure Ltd,20/04/2015,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
1129-1132 OF 2006,15/09/2006,RPL,6.92,Sonipat,"61,62",Ansal Properties & Infrastructure Ltd,14/09/2017,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
39 OF 2008,02/03/2008,RPL,27.31,Sonipat,"62,63",Ansal Properties & Infrastructure Ltd,01/03/2018,False,PARCEL-MATCH,100,name=100+sector,SECTOR ROAD SCOS,HRERA-PKL-SNP-139-2019,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED
181 OF 2008,24/10/2008,RPL,5.81,Sonipat,"61,62,63,35",Ansal Properties & Infrastructure Ltd,03/10/2016,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
31 OF 2012,07/04/2012,RPL,20.08,Sonipat,"61, 62, 63",Ansal Properties & Infrastructure Ltd,06/04/2018,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
2 OF 2014,03/01/2014,RPL,26.74,Sonipat,35-36,Ansal Properties & Infrastructure Ltd,02/01/2018,False,DEV-MATCH,100,name=100,SUSHANT CITY KUNDLI-ZONE 2,303 OF 2017 DATED 16.10.2017,ANSAL PROPERTIES AND INFRASTRUCTURE LTD.
10 OF 2020,18/03/2020,RPL,3.4187,Sonipat,"61,62,63,35",Ansal Properties & Infrastructure Ltd,17/03/2025 (File also Known as LC-1672C),False,PARCEL-MATCH,100,name=100+area+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
153-167 OF 2004,15/12/2004,RPL,37.738,Sonipat,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,14/12/2017,False,PARCEL-MATCH,100,name=100+sector,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.
183-228 OF 2004,17/12/2004,RPL,123.04,Sonipat,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,16/12/2017,False,PARCEL-MATCH,100,name=100+sector,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.
101-144 OF 2005,05/08/2005,RPL,108.723,Sonipat,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,04/08/2017,False,PARCEL-MATCH,100,name=100+sector,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.
200-285 OF 2005,18/11/2005,RPL,304.83,Sonipat,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,17/11/2017,False,PARCEL-MATCH,100,name=100+sector,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.
652-722 OF 2006,13/04/2006,RPL,159.75,Sonipat,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,11/04/2017,False,PARCEL-MATCH,100,name=100+sector,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.
729-759 & 790-872 OF 2006,21/04/2006,RPL,252.74,Sonipat,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,20/04/2017,False,PARCEL-MATCH,100,name=100+sector,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.
199 OF 2007,27/07/2007,RPL,6.75,Sonipat,"61,58,59,60,64,69",TDI INFRASTRUCTURE LTD,16/12/2011,False,PARCEL-MATCH,100,name=100+sector,TUSCAN CITY(PHASE 3),368 OF 2017 DATED 24.11.2017,TDI INFRASTRUCTURE LTD.
42-60 OF 2005,26/07/2005,RPL,75.17,Sonipat,61,Ansal Properties & Infrastructure,25/07/2017,False,PARCEL-MATCH,100,name=100+sector,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",HRERA-PKL-SNP-212-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
65-98 OF 2005,05/08/2005,RPL,113.363,Sonipat,16,Rangoli Buildtech Private Limited,04/08/2029,True,PARCEL-MATCH,100,name=100+sector,RANGOLI GREEN,HRERA-PKL-SNP-268-2021,RANGOLI BUILDTECH PVT LTD
347-399 OF 2005,25/12/2005,RPL,182.087,Sonipat,"8,9,17,18,19,7",Omaxe Construction Ltd,24/12/2019,False,UNMATCHED,0,,,,
613-649 OF 2006,28/03/2006,RPL,147.7,Sonipat,"8,9,17,19,7",Omaxe Construction,27/03/2026,False,UNMATCHED,0,,,,
474-482 OF 2006,28/02/2006,RGH,10.12,Sonipat,8,Apex Buildtech,27/02/2027,True,PARCEL-MATCH,100,name=100+sector,APEX GREEN TOWER 9 & 10,HRERA-PKL-SNP-324-2022,APEX BUILDTECH LIMITED
651 OF 2006,30/03/2006,RGH,7.38,Sonipat,61,Parker Estate,29/03/2015,False,PARCEL-MATCH,100,name=100+sector,PARKER NIKETAN,HRERA-PKL-SNP-877-2026,PARKER INFRASTRUCTURE PRIVATE LIMITED
878-894 OF 2006,25/04/2006,RPL,118.31,Sonipat,"9,17,10",ParsvnathDevelopers,24/04/2019,False,SPV-MATCH?,67,name=67+area,"PARSVNATH CITY ,(118 ACRES)",344 OF 2017 DATED 26.10.2017,PARSVNATH DEVELOPERS LTD.
915-945 OF 2006,08/05/2006,RPL,84.16,Sonipat,8,ParsvnathDevelopers,07/05/2019,False,UNMATCHED,0,,,,
956-991 OF 2006,15/05/2006,RPL,70.69,Sonipat,"18,19",Maksad Estate and Hardware,14/05/2026,False,PARCEL-MATCH,100,name=100+sector,ELDECO HISTREET-1,HRERA-PKL-SNP-83-2018,MAKSAD ESTATE AND HARDWARE LIMITED
994-996 OF 2006,14/06/2006,RGH,12.53,Sonipat,63,Ansal Properties & Infrastructure,13/06/2017,False,PARCEL-MATCH,100,name=100+sector,SECTOR ROAD SCOS,HRERA-PKL-SNP-139-2019,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED
999-1001 OF 2006,16/06/2006,CIR,4.43,Sonipat,19,Intime promoters,15/06/2019,False,UNMATCHED,0,,,,
1002 OF 2006,16/06/2006,CIR,3.88,Sonipat,19,Intime promoters,15/06/2019,False,UNMATCHED,0,,,,
1041 OF 2006,27/07/2006,RGH,13.17,Sonipat,35,Tulip Infratech,26/07/2029,True,PARCEL-MATCH,100,name=100+sector,TULIP GRAND ON LAND MEASURING 15.055 ACRES,HRERA-PKL-SNP-93-2019,TULIP INFRATECH PVT LTD
52 OF 2013,22/06/2013,RGH,1.89,Sonipat,35,Tulip Infratech Pvt. Ltd.,21/06/2029,True,PARCEL-MATCH,100,name=100+sector,TULIP GRAND ON LAND MEASURING 15.055 ACRES,HRERA-PKL-SNP-93-2019,TULIP INFRATECH PVT LTD
1065-1068 OF 2006,07/08/2006,RGH,12.64,Sonipat,19,Intime promoters pvt. Ltd,06/08/2024 Renewal rejected vide orders dt. 10.06.2019,False,UNMATCHED,0,,,,
1078 OF 2006,28/08/2006,RGH,10.01,Sonipat,10,Primordial Buildcon Pvt ltd,27/08/2029,True,UNMATCHED,0,,,,
1125-1126 OF 2006,02/09/2006,RGH,19.194,Sonipat,35,Ansal Properties & Infrastructure Ltd,01/09/2019 part area migrated from total area 30.65 acre into 120 of 2019 dt. 14.09.2019,False,PARCEL-MATCH,100,name=100+sector,ANAND LOK (SONIPAT-11.45625 ACRES) DDJAY,HRERA-PKL-SNP-201-2020,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED
1127 OF 2006,02/09/2006,CIR,4.316,Sonipat,17,Design Promoter Pvt. Ltd,02/09/2026,True,UNMATCHED,0,,,,
1185 OF 2006,27/09/2006,CIR,2.05,Sonipat,61,Prestige Associates,26/09/2017,False,UNMATCHED,0,,,,
