applicant_raw,purpose,area_acre,dev_plan,sector,status,status_date,detail
Sun and Sand Developers,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.6,AMBALA,,Returned,27/10/2016,LC-3399A
MM Infratech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.45,AMBALA,43,Returned,27/07/2016,LC-3272A
MM Infratech Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,6.06,AMBALA,43,Returned,27/07/2016,LC-3273A
KPS Promoters Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,15.99,AMBALA,36,Returned,22/02/2017,LC-3502A
PAN Infratech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.04,AMBALA,40,Returned,20/04/2017,LC-3381A
Deniz Builders and Developers Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,14.78,AMBALA,40,Returned,17/02/2017,LC-3427A
Unitech Ltd,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.856,AMBALA,16,Rejected,15/04/2021,LC-3708A
Octane Developments and Infrastructure Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.28,AMBALA,42,Returned,12/08/2016,LC-3424A
Vatika Ltd,COMMERCIAL LICENCE IN COMMERCIAL ZONE,2.83125,AMBALA,25,Rejected,12/01/2018,LC-3186A
Pan Infratech Pvt. Ltd.,RESIDENTIAL PLOTTED COLONY,68.39,AMBALA,Sec-40,Rejected,10/10/2017,LC-2877A
Shivom Cotspin Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.7,AMBALA,40,Rejected,09/03/2018,LC-3404A
Pratap Spintex Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,14.92,AMBALA,40,Returned,05/05/2017,LC-3419A
Unitech Ltd,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.944,AMBALA,16,Returned,01/04/2021,LC-3709A
KPS Promotors Pvt. Ltd.,RESIDENTIAL PLOTTED COLONY,50.21,AMBALA,36,Returned,,LC-3111A
