file_no,receipt_date,purpose,area_acre,dev_plan,sector,developer_raw
LC-6001A,15/07/2026,RESIDENTIAL GROUP HOUSING,5.7375,AMBALA,16,Bigleaf Farms Pvt.Ltd.
LC-5984A,22/06/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,16.075,AMBALA,43,M/S Pinaki Multihub PVT.LTD
LC-5956A,14/05/2026,RESIDENTIAL GROUP HOUSING,5.35,AMBALA,16,Bigleaf Farms Pvt.Ltd.
LC-5922A,08/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.00625,AMBALA,NA,M/s Riverwell Infra
LC-5935A,16/04/2026,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,4.0,AMBALA,15,M/s Ark City Developers
LC-5731A,15/07/2025,RESIDENTIAL GROUP HOUSING,1.79376,AMBALA,23,Aadiv Infraheights LLP
LC-5617A,01/04/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.325,AMBALA,13,M/s RRK Buildtech LLP
LC-5636A,15/04/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.776,AMBALA,36,Axis Infrabuild Private Limited
LC-5590A,04/03/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,15.0,AMBALA,27,Kuber Residency
LC-5586A,24/02/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.9125,AMBALA,27,INFORMATION TV PVT. LTD.
LC-5484A,16/08/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.48125,AMBALA,26,INFORMATION TV PVT. LTD.
LC-5175A,21/07/2023,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.205,AMBALA,36,ASIAN TOWNSVILLE FARMS PVT LTD
LC-1269D,21/06/2021,RESIDENTIAL PLOTTED COLONY,4.5125,AMBALA,25,Vatika Land Base Pvt. Ltd
LC-3707A,05/02/2018,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.99,AMBALA,16,Unitech Ltd
LC-2132A,21/11/2008,RESIDENTIAL PLOTTED COLONY,95.43,AMBALA,Sec-43,Maharishi Markandeshwar/ M.M. Developers Pvt. Ltd.
