developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
V & M Realcon,C,V & M REALCON,4,bansaldevelopers@gmail.com; chanderguptbansal12@gmail.com; crmvmrealcon@gmail.com; sudershananubhav@gmail.com; theurbanvillage124@gmail.com; vardaanremedies12@gmail.com; vmrealconacc@gmail.com,8571804585; 9049704023; 9239200000; 9254038572; 9254066192; 9355502555; 9355925155; 9812033088; 9992229318,"256 OF 2007,100 OF 2014,100 OF 2014; 256 OF 2007,246 OF 2025",,1
Herman Properties Pvt. Ltd.,C,HERMAN PROPERTIES PVT. LTD.,4,hemanproperties@gmail.com; hermanproperties@gmail.com,8168034366; 9312837225; 9811282829; 9999034111,"40 OF 2018,39 OF 2018,30 OF 2018,29 OF 2018",,0
White House Exports Private Limited,C,"WHITE HOUSE EXPORTS PVT LTD,WHITE HOUSE EXPORTS PRIVATE LIMITED",2,dadwal_textchem@yahoo.com; rajneesh64@gmail.com; rajneesh_64@yahoo.com,9810411227; 9896092979,"36 OF 2018,25 OF 2018",,0
Saubhagya Colonisers Pvt Ltd,C,SAUBHAGYA COLONISERS PVT LTD,2,munishbudhiraja35@live.in; navinmalik09@gmail.com; ramanahuja2712@gmail.com; saubhagyacolonisersddjay@gmail.com,9416021500; 9416900646; 9812153300; 9878373233; 9878673233,"22 OF 2018,46 OF 2017",,0
Information Tv Pvt. Ltd.,C,INFORMATION TV PVT. LTD.,2,dadwal_textchem@yahoo.com,9810411227,"85 OF 2017,54 OF 2017",,0
Vatika Limited,C,VATIKA LIMITED,1,vatika.rera@vatikagroup.com,9810566938,100 OF 2014; 256 OF 2007,,0
Skylark Software Technologies Pvt Ltd,C,SKYLARK SOFTWARE TECHNOLOGIES PVT LTD,1,dadwal_textchem@yahoo.com; rajneesh_64@yahoo.com,9810411227; 9896092979,05 OF 2018,,0
RCNP / JAP Developers,C+,RCNP BUILDERS & DEVELOPERS PRIVATE LIMITED,1,info@rcnpdevelopers.com; na@gmail.com; neerajpahwa5876@gmail.com; rajivchouhan8640@gmail.com,9034864567; 9896009191; 9999999999,97 OF 2026,Karnal,1
Navdesh Associates Llp,C,NAVDESH ASSOCIATES LLP,1,asmeeco@yahoo.co.in; manchanda.dravit@gmail.com; mdnavdesh@gmail.com; navdeshllp@gmail.com; rg0981@gmail.com; vgmeeco@yahoo.co.in,9814297054; 9876000201; 9876000202; 9896674742; 9896674743; 9991222220,51 OF 2026,,1
MAHIMA BUILDTECH,,MAHIMA BUILDTECH,1,gsinghchandigarh@gmail.com; mahimabuildtech@gmail.com; sanjum@mahimaexim.com; smgroup0777@gmail.com,9031211000; 9466110009; 9811009248; 9811032541; 9896505911,50 OF 2026,,
M/S Zuku Exports Tv Pvt. Ltd.,C,M/S ZUKU EXPORTS TV PVT. LTD.,1,dadwal_textchem@yahoo.com; rajneesh_64@yahoo.com,9810411227; 9896092979,53 OF 2017,,
M/S Suryanash Builders And Developers Pvt Ltd,C,M/S SURYANASH BUILDERS AND DEVELOPERS PVT LTD,1,abc@xyz.com; poojasarees@gmail.com,9988874730,194 OF 2023,,
M/S Sigma Developers,C,M/S SIGMA DEVELOPERS,1,sigmadeveloperspkl@gmail.com,9031211000,149 OF 2025,,
M/S Axis Infrabuild Pvt Ltd,C,M/S AXIS INFRABUILD PVT LTD,1,abc@xyz.com; axisinfrabuildpvtltd@gmail.com,8400240042; 9996186666,93 OF 2024,,
Jaiguruji Blessings Private Limited,C,JAIGURUJI BLESSINGS PRIVATE LIMITED,1,jaigurujiblessingsamb@gmail.com,9416252430; 9475094750,248 OF 2025,,1
Imperial Developers,C,IMPERIAL DEVELOPERS,1,imperialdevelopers22@gmail.com; info@imperialdevelopers.in,7419494511; 7419494512; 8059880598,103 OF 2024; 47 OF 2024,,1
Haryana Industrial Township,C,HARYANA INDUSTRIAL TOWNSHIP,1,ajayjindal597@gmail.com; deepaksingla0033@gmail.com; hitsaha2024@gmail.com; mittals5959@gmail.com; mittalsahil11@gmail.com; punjabroadcargo@gmail.com; rajivmadaan75@gmail.com; vipan.garg17@gmail.com,9216812028; 9592721122; 9872460959; 9872533033; 9876357766; 9878883585; 9888053434,178 OF 2025,,1
Ganpati Infra,C,GANPATI INFRA,1,asthaenclave@gmail.com,8968969996; 9814360588,143 OF 2025,,1
Direct News Private Limited,C,DIRECT NEWS PRIVATE LIMITED,1,dadwal_textchem@yahoo.com,9810411227,37 OF 2018,,0
