file_no,receipt_date,purpose,area_acre,dev_plan,sector,developer_raw
LC-6031A,21/08/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.76875,HISSAR,3,Pahaada Ram Zaildaar Estate LLP
LC-4716C,27/04/2026,RESIDENTIAL PLOTTED COLONY,5.1236,HANSI,2,Opal Developers and Construction Pvt. Ltd.
LC-5930A,20/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.0875,HANSI,4,Badrinath Dham Associates
LC-5874A,11/02/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.78125,HISSAR,16,Maa Durga Associates
LC-5106B,15/07/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,2.91562,HANSI,1,Sidhi Vinayak Associates
LC-5732A,28/07/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,22.89375,HANSI,13,Tanya Real Estate
LC-5668A,14/05/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.60625,HANSI,13,Bala Ji Enclave
LC-5585A,19/02/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.6125,HISSAR,NA,Smt. Sushila wo Sh. Jaswant Singh and others
LC-5385A,29/05/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.56875,HANSI,13,S Y Buildcon Private Limited
LC-4563A,25/06/2021,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.106,HISSAR,43,Skycourt Estates private Limited
LC-4395A,10/12/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.95625,HISSAR,36,SHYAM SUNDER GOYAL & VIVEK GOYAL
LC-3554A,06/01/2017,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.17,HISAR,24,Daffodil Buildcon Pvt. Ltd.
