developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Vishvadharam Estate Llp,C,VISHVADHARAM ESTATE LLP,2,sanjaysatrodia31@gmail.com; vdlgreencity@gmail.com,9215700221; 9812300221,"177 OF 2025,126 OF 2023",,1
Sidhi Vinayak Associates,C,SIDHI VINAYAK ASSOCIATES,2,caresidhivinayak@gmail.com; maheshsolath@gmail.com; sahil.bhayana007@gmail.com; surjeetdhana0474@gmail.com; surjeetyadav01@gmail.com,7015495292; 9812877127; 9871826000,"195 OF 2023,236 OF 2025; 88 OF 2025",,1
Rajdarbar Buildcon Private Limited,C,"RAJDARBAR BUILDCON PVT. LTD.,RAJDARBAR BUILDCON PRIVATE LIMITED",2,abcd@gmail.com; akhilesh@rajdarbarrelty.com; akshatagarwal@rajdarbarrealty.com; arungupta@rajdarbarrealty.com; arunverma@rajdarbarrealty.com; ashokkapoor@rajdarbarrealty.com; crm@rajdarbarrealty.com; daffodillbuildcon65@gmail.com; dhirendra@rajdarbarrealty.com; project.hissar@rajdarbarrealty.com; ram@rajdarbarrealty.com,7822418479; 8373912274; 9024893178; 9466344651; 9810403577; 9871194800; 9871394194; 9871964948; 9996834195; 9999121889; 9999986619; 9999999999,"107 OF 2019,13 OF 2020; 145 OF 2022",,1
Maa Bhagwati Associates,C,MAA BHAGWATI ASSOCIATES,2,ajayyadav_1964@yahoo.co.in; gokuldhamhansi@gmail.com; hariomsingh88@gmail.com; kublirahlawat1458@gmail.com; kulbirahlawat1458@gmail.com; mittaldhruv21@gmail.com; rahul@yadavs.in; raju23239@gmail.com; sharmavishnu0806@gmail.com; sk423703@gmail.com,7015657443; 7293444445; 8222000022; 9811386665; 9811847520; 9812066164; 9812835644; 9891230031,"204 OF 2023,215 OF 2025",,1
Vs Infratech,C,VS INFRATECH,1,gauravbhatia.in@gmail.com; sumituthra@gmail.com,9812053400; 9812590727,90 OF 2025,,1
Tulsi Tubes Limited,C,TULSI TUBES LIMITED,1,malikanil1611@gmail.com; rohitjain1970@gmail.com; sanjayjainhisar@gmail.com; tulsitubeshisar@gmail.com,9255174447; 9416027367; 9416169072; 9416927367,46 OF 2021,,
The Opal Developers And Construction Pvt. Ltd.,C,THE OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.,1,aroravaibhav325@gmail.com; lovkeshbhayana@gmail.com; rajpalyadav0018@gmail.com,9467532220; 9812335644; 9868012374,97 OF 2022,,
Sahil Verma,C,SAHIL VERMA,1,sahilverma0085@gmail.com,9467736095; 9812036095,210 OF 2025,,
Rajesh Lamba,C,RAJESH LAMBA,1,ablamba480@gmail.com; careindravatienclave@gmail.com,9991290999,73 OF 2023,,
Rajdarbar Buildcon Private Limited Formerly Known As Daffodil Buildcon Private Limited,C,RAJDARBAR BUILDCON PRIVATE LIMITED FORMERLY KNOWN AS DAFFODIL BUILDCON PRIVATE LIMITED,1,akhilesh@globalrealty.co.in; amit@globalrealty.co.in; daffodillbuildcon65@gmail.com; premjain@globalrealty.co.in,8373912271; 8373912274; 9991888940; 9999986619,51OF2018,,
Park City Developers,C,PARK CITY DEVELOPERS,1,ks831305@gmail.com; monudhana88@gmail.com; parkcitydevelopers@gmail.com; sunilyadavhansi@gmail.com,8059108477; 9355580000; 9812069410; 9812806570; 9896117431,75 OF 2023,,1
Opal Developers And Construction Pvt. Ltd.,C,OPAL DEVELOPERS AND CONSTRUCTION PVT. LTD.,1,kathuriasourabh20111977@gmail.com; lovkeshbhayana@gmail.com,9350225822; 9467532220; 9868012374,72 OF 2024,,1
Om Estates,C,OM ESTATES,1,kparveen1@gmail.com,9467967515,117 OF 2024,,1
Mks Enterprises,C,MKS ENTERPRISES,1,arvindkharinta@gmail.com; drajaychaudhry@gmail.com; pooniahospital@gmail.com; rajivsharma6101@gmail.com; rohitsharma94661@gmail.com; satishsharmaproperties0022@gmail.com; sheoransanjaydr@gmail.com,7206770005; 8168987474; 9416544508; 9416919996; 9896556000; 9996001213; 9996646606,71 OF 2023,,1
Mittal Rathee Land Developers Llp,C,MITTAL RATHEE LAND DEVELOPERS LLP,1,mittalrathee@gmail.com; vikasrathee93@gmail.com; yogeshmittal1971@gmail.com,8053622555; 9996030353,192 OF 2025,,1
M/S. Agroha Developers And Promoters,C,M/S. AGROHA DEVELOPERS AND PROMOTERS,1,ravibeniwal091999@gmail.com; rdhaka77@gmail.com,9215568900; 9416146552; 9416345445; 9416530427; 9467290090; 9812191999; 9812210026; 9812499213; 9812700030; 9896271480,190 OF 2022,,
M/S Vaibhavlaxmi Associates,C,M/S VAIBHAVLAXMI ASSOCIATES,1,sahil.bhayana007@gmail.com,9253066119; 9416545554; 9416849693; 9467736095; 9812054060; 9812150745; 9871826000; 9896066220,119 OF 2021,,
M/S Aerens Goldsouk Projects Hissar Pvt Ltd,C,M/S AERENS GOLDSOUK PROJECTS HISSAR PVT LTD,1,abc@xyz.com; admin@orangegroup.in; connaughtplace@agphisar.com,9810252749; 9828565137,54 OF 2009,,
Housing Board Haryana,C,HOUSING BOARD HARYANA,1,aehbhhisar@gmail.com; cahbhpkl@gmail.com; eehbhrohtak@gmail.com,8059836600; 9896657049,,,
Haryana Sehri Vikas Pradhikaran,C,HARYANA SEHRI VIKAS PRADHIKARAN,1,eohisarhuda1@gmail.com,9416078996,,,
Gulab Singh Grewal,C,GULAB SINGH GREWAL,1,eohisarhuda1@gmail.com,9416145831,,,
Girdhar Gopal Builder And Developer Llp,C,GIRDHAR GOPAL BUILDER AND DEVELOPER LLP,1,battu.37@gmail.com; kulbir.ahlawat.balgopal@gmail.com; nainw527@gmail.com,7404900056; 9254100000,228 OF 2025,,
Digantika Infrastructure Llp,C,DIGANTIKA INFRASTRUCTURE LLP,1,dharamvatika@gmail.com,9416054086,152 OF 2025,,
"Dcm Ltd. (In Joint Development With Gcd Prime, Lc No. 179 Of 2022)",C,"DCM LTD. (IN JOINT DEVELOPMENT WITH GCD PRIME, LC NO. 179 OF 2022)",1,goyalajay40@gmail.com; greencitydevelopers21@gmail.com; hisarproject@dcm.in; jitituli@gmail.com; mahesh@ddplcott.com; pankaj2007@gmail.com; ss.sharma@purearth.in; sumant@purearth.in,9717177777; 9810026567; 9810498432; 9811787243; 9812034005; 9818253753; 9999188166; 9999395319,179 OF 2022,,
CRSD DEVELOPERS,,CRSD DEVELOPERS,1,anilmohil81@gmail.com; gandhi_trading@rediffmail.com; rmohil1971@gmail.com; sandeepgogia1980@gmail.com,9311068551; 9416046890; 9811138183; 9812301600,72 OF 2026,,
Baba Jodh Developers Llp,C,BABA JODH DEVELOPERS LLP,1,amansweets126116@gmail.com; sahil.bhayana007@gmail.com; sonuyadav9812650099@gmail.com; sudeshchopra7@gmail.com,7988840857; 9812650099; 9871826000,20 OF 2025,,1
Agroha Developrs,C,AGROHA DEVELOPRS,1,beniwalr326@gmail.com; uklanaenclave@gmail.com; vikashsura1999@gmail.com,9812191999; 9812210026; 9812499213,91 OF 2024,,
Aarcity Builders Pvt Ltd,C,AARCITY BUILDERS PVT. LTD.,1,amitsaini@aarcity.com; arun@aatcity.com; finance@aarcity.com; rajender@aarcity.com,8586000667; 9467093105; 9560840967; 9567093105; 9811078202,262 OF 2007,,
