applicant_raw,purpose,area_acre,dev_plan,sector,status,status_date,detail
Alpha G. Corp. Development Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,9.46,KARNAL,29,Returned,30/09/2016,LC-3235A
Haryana Promoters Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.13,KARNAL,28,Returned,30/01/2017,LC-3395A
MG Estate Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.65,KARNAL,1,Returned,28/03/2017,LC-3393A
Bluebell Infrastructure Pvt. LTd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.59,KARNAL,35,Returned,26/10/2016,LC-3438A
SKYHIGH PROPBUILD PVT. LTD.,AFFORDABLE HOUSING PROJECT,7.5375,KARNAL,32,Withdrawn,25/07/2016,LC-3126A
Vishal Jain S/o Vinod Jain,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.95,KARNAL,29,Returned,24/04/2017,LC-3425A
Cititech Township Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,14.94,KARNAL,7,Returned,22/02/2017,LC-3434A
Bluebell Infrastructure Pvt. Ltd,RESIDENTIAL GROUP HOUSING,5.268,KARNAL,35,Withdrawn,20/12/2017,LC-2933A
SKYHIGH PROPBUILD PVT. LTD.,RESIDENTIAL GROUP HOUSING,7.53024,KARNAL,32,Withdrawn,19/06/2018,LC-2883A
Realworth Construction Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.07,KARNAL,28A,Returned,13/02/2017,LC-3394A
Divya Jyoti Softech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.12,KARNAL,29,Returned,13/02/2017,LC-3436A
Cititech Township Pvt Ltd,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.13125,INDRI,7,Lapsed,09/10/2018,LC-3624A
Ras Developments Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.11,KARNAL,,Rejected,09/03/2018,LC-3445A
Dashmesh Apartments Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.81,KARNAL,29,Returned,07/03/2017,LC-3422A
Ansal Housing & Construction Pvt. Ltd,RESIDENTIAL PLOTTED COLONY,22.27,KARNAL,Sec-36,Rejected,05/07/2017,LC-981B
CHD Developers Limited,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.9,KARNAL,45,Rejected,02/12/2016,LC-3248A
CHD Developers Limited,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,14.74,KARNAL,45,Withdrawn,02/12/2016,LC-3251A
Habitat Buildcon Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,9.27,KARNAL,29,Rejected,,LC-2595A
Vatika Coloniser,AFFORDABLE HOUSING PROJECT,8.91,KARNAL,36,Returned,,LC-3066A
Tapasya Farms Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,10.01,KARNAL,29,Returned,,LC-3075A
