file_no,receipt_date,purpose,area_acre,dev_plan,sector,developer_raw
LC-1886B,12/08/2026,RESIDENTIAL PLOTTED COLONY,5.04167,KARNAL,36,Ansal Properties & Infrastructure Ltd
LC-6028A,12/08/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.15938,KARNAL,36,Eterna Living Pvt. Ltd.
LC-958B,12/08/2026,RESIDENTIAL PLOTTED COLONY,2.89583,KARNAL,36,Ansal Properties & Infrastructure Ltd
LC-4703B,27/04/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,4.0,KARNAL,45,ARV Builders
LC-5333B,12/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,4.243,KARNAL,29,ALPHA CORP DEVELOPMENT LIMITED
LC-5881A,02/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.514,KARNAL,28A,DEEP INFRA
LC-5907A,18/03/2026,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.00625,NILOKHERI,9,Shree Ji Developers
LC-632E,12/03/2026,RESIDENTIAL PLOTTED COLONY,4.243,KARNAL,29,ALPHA CORP DEVELOPMENT LIMITED
LC-5872A,02/02/2026,RESIDENTIAL GROUP HOUSING,2.036,KARNAL,29,Alpha Corp Development Ltd.
LC-5875A,12/02/2026,RESIDENTIAL PLOTTED COLONY,4.15,KARNAL,NA,Nu-Chem Oils Pvt. Ltd.
LC-5813A,27/10/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,21.332,NILOKHERI AND TARAORI,NA,KCG Resorts Pvt. Ltd.
LC-5684A,03/06/2025,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.46562,INDRI,6,NEW ERA REALTY
LC-5556A,16/01/2025,RESIDENTIAL GROUP HOUSING,1.35414,KARNAL,36,Vyis Developers Private Limited
LC-4890C,07/10/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.821,KARNAL,34,Golf Link Projects Pvt. Ltd.
LC-5162B,06/09/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.35625,ASSANDH,5,Metropole Buildtech Pvt. Ltd.
LC-2522B,24/07/2024,RESIDENTIAL PLOTTED COLONY,7.64375,ASSANDH,11A,Cititech Township Pvt Ltd
LC-981D,03/07/2024,RESIDENTIAL PLOTTED COLONY,0.45833,KARNAL,36,Ansal Housing & Construction Pvt. Ltd
LC-5395A,14/06/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,29.962,KARNAL,NA,Akshardham Industrial Park
LC-4890B,27/03/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.18,KARNAL,34,Golf Link Projects Pvt. Ltd.
LC-5341A,29/02/2024,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.1,KARNAL,36,MKR Buildwell Pvt Ltd.
LC-981C,17/04/2023,RESIDENTIAL PLOTTED COLONY,9.225,KARNAL,36,Ansal Housing & Construction Pvt. Ltd
LC-4112A,09/08/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.65,NILOKHERI AND TARAORI,1,MG Estate Pvt. Ltd.
LC-4076A,10/04/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.127,KARNAL,35,RAJDARBAR BUILDERS PRIVATE LIMITED
LC-3616A,08/06/2017,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.96,GHARAUNDA,9,JMD Cititech Pvt. Ltd.
