developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
ALPHA CORP DEVELOPMENT PRIVATE LIMITED,,ALPHA CORP DEVELOPMENT PRIVATE LIMITED,8,a.sarin@alphacorp.in; akhilesh.m@alpha-corp.com; anilahuja18@yahoo.co.in; anjana.b@alphacorp.in; arvind.g@alpha-corp.com; ashish.s@alpha-corp.com; atul.s@alpha-corp.com; atul.s@alphacorp.in; avi.r@alphacorp.in; devender.s@alphacorp.in; kt@ktlaw.in; kt@ltlaw.in; mamta.d@alpha-corp.com; manika.garg2010@gmail.com; neeraj.g@alphacorp.in; rajeev.k@alphacorp.in; sachin.g@alpha-corp.com; santosh.m@alphacorp.in; secretarial@alphacorp.in,7042392197; 7042395197; 8448693430; 8448693434; 8800256060; 8979792792; 9650264111; 9810129542; 9810206931; 9818287779; 9873398723; 9899563320; 9971014515; 9971815666; 9996003883; 9996024882; 9996789494; 9999008987,"23 OF 2018,218 OF 2022,15 OF 2021,29 OF 2022,108 OF 2021,27 OF 2022,30 OF 2022,7 OF 2018",,
Rajdarbar Builders,B,RAJDARBAR BUILDERS PRIVATE LIMITED,3,accounts@rajdarbarrealty.com; akhilesh@rajdarbarrealty.com; akshatagarwal@rajdarbarrealty.com; arun@rajdarbarrelaty.com; arungupta@rajdarbarrealty.com; arunverma@rajdarbarrealty.com; ashokkapoor@rajdarbarrealty.com; bluebellkarnal@gamil.com; bluebellkarnal@gmail.com; ceo@rajdarbarrealty.com; crm@rajdarbarrealty.com; digambersingh502@gmail.com; praveen@rajdarbarrealty.com; rajeshverma@rajdarbarrealty.com,7668434398; 7834959760; 8373912274; 8373912280; 9654352841; 9810403577; 9871394194; 9871964948; 9991888253; 9991888949; 9999121889; 9999986619,"96 OF 2019,41 OF 2022,08 OF 2026; 36 OF 2008; 36 OF 2022",Gurugram,0
Eterna Living (ex-Ansal Landmark; Dalmia Group),A-,ANSAL LANDMARK(KARNAL) TOWNSHIP PVT. LTD,3,dheerajmalik@landmarkholdings.in; gdalmia@landmarkholdings.in; info@ansallandmark.in; ipsingh@dalmiaholdings.com; nghai@landmarkholdings.in; raggarwal@landmarkholdings.in,8929972193; 8929972195; 8929972197; 9355491722; 9729808756,"461 OF 2006,264 OF 2007,",New Delhi,0
CHD Developers,B-,M/S CHD DEVELOPERS LTD,3,dharmender.kumar@chddevelopers.com; info@chddevelopers.com; info@chddevelopes.com; liasion@chddevelopers.com,9810888444; 9910174407; 9971973388,"20 OF 2017,22 OF 2017,19 OF 2017",New Delhi,0
Arv Builders,C,ARV BUILDERS,3,arunphutelabjp00@gmail.com; info@arvbuilders.in,7404931985; 8950200040; 9053011161,"104 OF 2022,114 OF 2021,11 OF 2007",,1
Ansal Housing & Construction Ltd.,C,"ANSAL HOUSING & CONSTRUCTION LTD.,ANSAL HOUSING AND CONSTRUCTION LTD.",3,ahcl@ansals.com; ashok@khannagroup.co.in; deepak.ansal@ansals.com; divya.ansal@ansals.com; karun.ansal@ansals.com; kushagr.ansal@ansals.com; mk.trisal@gmail.com; netrapal.sharma@ansals.com; rera@ansals.com; slkapur271@gmail.com,9650028884; 9718407818; 9810016003; 9810069618; 9810099119; 9810099434; 9814089930; 9873015550; 9899258748,"99 OF 2017,50 OF 2018,49 OF 2018",,0
Signature Global,B,MAA VAISHNO NET-TECH PVT. LTD.,2,compliance@signatureglobal.in; svarshney@signatureglobal.in,7428797228; 9810899381; 9818057391,"21 OF 2018,19 OF 2018",Gurugram,0
M/S Madhuban Colonizers Pvt Ltd,C,M/S MADHUBAN COLONIZERS PVT LTD,2,admin@orangegroup.in,8054545999; 8860955315; 9718400810; 9813419370,"41 OF 2024,12 OF 2024",,0
Vikramjeet,C,VIKRAMJEET,1,arunphutelabjp00@gmail.com; vikramjeet@hrera.com,9034263078,19 OF 2025,,0
Vallabh Township Private Limited,C,VALLABH TOWNSHIP PRIVATE LIMITED,1,sharmasourav193@gmail.com,9034263078; 9810011522,230 OF 2025,,1
Usg Buildcon Private Limited,C,USG BUILDCON PRIVATE LIMITED,1,info@usgroup.in,8930746465; 9810334541,107 OF 2022,,1
Ultratech Township Developers Pvt. Ltd.,C,ULTRATECH TOWNSHIP DEVELOPERS PVT. LTD.,1,cpkathuria3@gmail.com; support@nwroyalresidency.in,9255610000; 9355411111; 9355550100,46 OF 2011,,0
Suniva Promoters Pvt Ltd,C,SUNIVA PROMOTERS PVT LTD,1,bhagwandass@suniva.net; hukumsingh@suniva.net; info@rasindia.net; om33krl@gmail.com; rupesh@rasindia.net,7015547694; 8130691129; 9416034211,456 OF 2006,,0
Slotco Buildwell Llp,C,SLOTCO BUILDWELL LLP,1,info@slotcogroup.com,7703960754; 9560293333,7 OF 2019,,0
Skyhigh Propbuild Pvt. Ltd.,C,SKYHIGH PROPBUILD PVT. LTD.,1,mkgupta690@gmail.com,9416001946; 9896094990,44 OF 2017,,0
Skyhigh Infraland Private Limited,C,SKYHIGH INFRALAND PRIVATE LIMITED,1,rohit@inrinfra.com,9214142042; 9215307777,109 OF 2011,,0
Shree Mahaluxmi Builders,C,SHREE MAHALUXMI BUILDERS,1,satvirsinghpunia80@gmail.com; swarnabhoomi67@gmail.com; virender.punia6@gmail.com,8059606000; 8859833348,,,0
Santur Spaces Pvt. Ltd.,C,SANTUR SPACES PVT. LTD.,1,jainmanish65@yahoo.com; santur.ashish@gmail.com; santurgroup@gmail.com; sharadjain14@yahoo.com; techbuild.ps@gmail.com,8718402131; 9312216444; 9350992556; 9996766008,56 OF 2017,,0
Rose Buildingnsolution Pvt. Ltd.,C,ROSE BUILDINGNSOLUTION PVT. LTD.,1,compliance@signatureglobal.in,7428797228; 9810899381; 9818057391,77 OF 2017,,0
Ridhisidhi Empires Pvt Ltd.,C,RIDHISIDHI EMPIRES PVT LTD.,1,sanjay4ghai@gmail.com,9896375819; 9996675819,24 OF 2018,,0
Rba Realcon Private Limited,C,RBA REALCON PRIVATE LIMITED,1,na@gmail.com; rudrakhurana1995@gmail.com,9999026606,67 OF 2018,,0
Rba Homes Private Limited,C,RBA HOMES PRIVATE LIMITED,1,na@gmail.com; rudrakhurana1995@gmail.com,9999026606,76 OF 2018,,0
RG CITY DEVELOPERS PVT LTD,,RG CITY DEVELOPERS PVT LTD,1,anilgupta1963@yahoo.com; gaurav@rasindia.net; info@rasindia.net; mohitchabra@gmail.com; rupesh@rasindia.net,8130691129; 9810036858; 9896470599; 9999908733,54 OF 2018,,
RCNP BUILDERS AND DEVELOPERS PVT. LTD.,,RCNP BUILDERS AND DEVELOPERS PVT. LTD.,1,info@rcnpdevelopers.com,7082202837; 7082202838; 9034864567; 9996930305,151 OF 2024,,
RCNP BUILDERS & DEVELOPERS PVT. LTD.,,RCNP BUILDERS & DEVELOPERS PVT. LTD.,1,info@rcnpdevelopers.com,7082202838,20 OF 2023,,
RCNP / JAP Developers,C+,RCNP BUILDERS & DEVELOPERS PVT LTD & SH. DINESH KUMAR,1,info@rcnpdevelopers.com,7082202836,78 OF 2021,Karnal,1
RAS DEVELOPMENTS PVT. LTD.,,RAS DEVELOPMENTS PVT. LTD.,1,anil_gupta1963@yahoo.com; info@rasindia.com; info@rasindia.net; rupesh@rasindia.net,7015547694; 8130691129; 9991111835; 9999908733,1204 OF 2006,,
RAS DEVELOPMENTS PVT LTD,,RAS DEVELOPMENTS PVT LTD,1,anil_gupta1963@yahoo.com; info@rasindia.net; multansingh@rasindia.net; ras.office.knl@gmail.com; rupesh@rasindia.net,8130691129; 9991111835; 9999908733,112 OF 2011,,
RAS DEVELOPMENT PVT LTD,,RAS DEVELOPMENT PVT LTD,1,anil_gupta1963@yahoo.com; gaurav@rasindia.net; info@rasindia.net; multansingh@rasindia.net; rupesh@rasindia.net,8130691129; 9896470599; 9991111835; 9999908733,,,
Privado Infra Private Limited,C,PRIVADO INFRA PRIVATE LIMITED,1,privadoinfra@gmail.com,9215700133; 9215933471; 9416000011; 9416100011; 9813030219,84 OF 2023,,1
Poswal Land And Structure Innovations Private Limited,C,POSWAL LAND AND STRUCTURE INNOVATIONS PRIVATE LIMITED,1,prashant23062@gmail.com,9466764446,195 OF 2025,,1
Ops Realty Private Limited,C,OPS REALTY PRIVATE LIMITED,1,accounts@opsrealty.com; crm@opsrealty.com; marketing@opsrealty.com; office@opsrealty.com,7056965868; 8307969941; 9254972701; 9254972703,55 OF 2026,,1
Moringa Developers Private Limited,C,MORINGA DEVELOPERS PRIVATE LIMITED,1,moringadeveloperskarnal@gmail.com,7206486878; 7206586878,70 OF 2021,,1
Mhl Infraheights Llp,C,MHL INFRAHEIGHTS LLP,1,79.varungupta@gmail.com; jagrit.divinegoc@gmail.com; mhlinfraheightsllp@gmail.com; sarthakbathla777@gmail.com; yjain1501@gmail.com,7027777231; 7838675175; 8053509129; 9416600505; 9466580708; 9818436336,17 OF 2026,,1
Metropole Buildtech Private Limited,C,METROPOLE BUILDTECH PRIVATE LIMITED,1,info.metropolebuildtech@gmail.com; maingishivank@gmail.com,9711158481,46 OF 2024,,1
M/S Jbb Infrastructures Pvt Ltd,C,M/S JBB INFRASTRUCTURES PVT LTD,1,abc@xyz.com; jbbinfra@yahoo.com; jitkadyan@gmail.com; ssuchita2019@gmail.com,8882343604; 9215729714; 9958850063,95 OF 2008,,0
M/S Divine Vision Infraspace Pvt Ltd,C,M/S DIVINE VISION INFRASPACE PVT LTD,1,abc@xyz.com; aggarwal2000@ymail.com; divinevisioninfraspace@gmail.com; harish.divinegoc@gmail.com; nitin.divinegroup@gmail.com; pawanchhabra124@gmail.com; varunjagga@yahoo.com,9079705753; 9416000124; 9811198091; 9811198991; 9813525909; 9991489000; 9999911111,55 OF 2025,,0
Landadil Private Limited,C,LANDADIL PRIVATE LIMITED,1,accounts@gmhlaboratories.com; na@gmail.com; sandeep@mediwell.in,8262900021; 9216493111; 9999999999,42 OF 2025,Panchkula,1
Kn Colonizers Pvt. Ltd.,C,KN COLONIZERS PVT. LTD.,1,alturaa@kncolonisers.com; thealturaa@kncolonisers.com; vipul827@gmail.com,9114277777; 9215900646; 9253054804,266 OF 2025,,0
Kn Colonisers Pvt Ltd,C,KN COLONISERS PVT LTD,1,anandvatika47@gmail.com; vikash.mehla86@gmail.com; vipul827@gmail.com,9215900646; 9467272946; 9991477477; 9991740740,38 OF 2017,,0
Karnal City Centre,C,KARNAL CITY CENTRE,1,amit.7000@rediffmail.com; argoel05@gmail.com; bmunjal11@gmail.com; gurdeepsohi4866@gmail.com; info@karnalcitycentre.in; kumar-sanjaykalyan24@gmail.com; shally.sandhu@gmail.com,8609900000; 9215507096; 9812430000; 9813527276; 9896302309; 9896332500,36 OF 2026,,1
K C G Resorts Private Limited,C,K C G RESORTS PRIVATE LIMITED,1,legal@divinevisioninfra.com,9812023399; 9818383538; 9896066006,68 OF 2024,,0
Jbb Infrastructures Pvt Ltd.,C,JBB INFRASTRUCTURES PVT LTD.,1,caadheeraj@gmail.com; infrajbb@gmail.com; jitkadyan@gmail.com,8221004300; 9711168770; 9958005666,95 OF 2008,,0
Jai Narain Bansal,C,JAI NARAIN BANSAL,1,sunnybansal211@gmail.com; sureshbansal2066@gmail.com,7015894906; 9802884114; 9873392066,14 OF 2017,,0
Inr Constructions,C,INR CONSTRUCTIONS,1,indivar@inrinfra.com; rohit@inrinfra.com,9215307777; 9416111003; 9802416355; 9896940707,08 OF 2018,,1
