developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Samsung Overseas Limited,C,SAMSUNG OVERSEAS LIMITED,3,ajaychawla534@gmail.com; bhushan@sunandsandgroup.com; chandsatija.456@gmail.com; info.satiijasmartcolony@gmail.com; lakhvindersaini479@gmail.com; manoj.kapoor9964@gmail.com; manoj.kapoor@remkonsultantz.com; preeti.basniwal@sunandsandgroup.com; renusatija234@gmail.com; renusatijaonline@gmail.com; satvinder8555@gmai.com; satvinder8555@gmail.com; shweta009@icloud.com; sibi@sunandsandgroup.com; subhadrasuklla@gmail.com; vikas@sunandsandgroup.com,9212304378; 9212330174; 9212520000; 9541222677; 9560110741; 9560622552; 9560889223; 9643907463; 9650622552; 9711114477; 9899647594; 9992228555,"70 OF 2018,09 OF 2019,87 OF 2022",,
Jagran Developers Limited,C,"JAGRAN DEVELOPERS PVT. LTD.,JAGRAN DEVELOPERS LIMITED,JAGRAN DEVELOPERS PRIVATE LIMITED",3,crm@jindalrealty.com; rakesh.sharma@jindalrealty.com; reracompliance@jindalrealty.com,7496969784; 9711208013; 9812933588; 9815589004,"288 OF 2007,25 OF 2026,126 OF 2014",,1
Green Homes Infra Developers Pvt Ltd,C,GREEN HOMES INFRA DEVELOPERS PVT LTD,3,homesgreen29@gmail.com; palshashi11@gmail.com; sanjubanwait@gmail.com; vandanjain1989@gmail.com,7988268572; 8219834223; 8396000072; 9215000002; 9896489972,"96 OF 2021,69 OF 2023,220 OF 2023; 69 OF 2023; 96 OF 2021; 97 OF 2024",,1
Svsj Buildcon Private Limited,C,SVSJ BUILDCON PRIVATE LIMITED,2,na@gmail.com; neelam@neegroups.com; neerajkhurana@svsjgroup.com; svsjbuildcon@gmail.com,8708459191; 9667316250; 9811314111; 9871857626,"171 OF 2022,77 OF 2025",,
Shree Vardhman Township Private Limited,C,SHREE VARDHMAN TOWNSHIP PRIVATE LIMITED,2,hrera.shreevardhman@gmail.com; puneetkumar1979@gmail.com; sandeep@shreevardhman.com; sandeep@shreevardhmangroup.com,9053005818; 9876782110; 9999131010,"102 OF 2017,15
OF 2012; 15 OF 2012",,0
Landmark Infonet Pvt. Ltd.,C,LANDMARK INFONET PVT. LTD.,2,abhishek.kanodia@landmarkgoc.com; info@landmarkgoc.com; landmarkcity.sbd@gamil.com; landmarkcity.sbd@gmail.com; rajeev.sharma@landmarkgoc.com; satpal@landmarkgoc.com,9416181073; 9650255664; 9811626300; 9958899999,"33 OF 2019,32 OF 2019",,
Braham Vatika Real Estate Private Limited,C,"BRAHAM VATIKA REAL ESTATE PVT. LTD.,BRAHAM VATIKA REAL ESTATE PRIVATE LIMITED",2,idg2222@gmail.com; srikrishnaresidencykkr@gmail.com; vikramgargkmc@gmail.com,8222956662; 8360406151; 9812100099; 9896123300,"35 OF 2018; 36 OF 2018,50 OF 2023",,0
Aggarsain Land Developers,C+,"AGGARSAIN LAND DEVELOPERS PVT LTD,AGGARSAIN LAND DEVELOPERS",2,aggarsainlanddevelopers@gmail.com; kkranuj86@gmail.com; kkrnuj86@gmail.com; lakshaygarg081@gmail.com,9467690000; 9467690002; 9812020941; 9812409002; 9812525941,"43 OF 2025,264 OF 2025",Kurukshetra,1
Sun And Sky Developers Private Limited,C,SUN AND SKY DEVELOPERS PRIVATE LIMITED,1,palshashi11@gmail.com; sunandskydevelopers@gmail.com; vandanjain1989@gmail.com,7988268572; 8219834223; 9812207235,97 OF 2025,,1
Sparv Realtors Private Limited,C,SPARV REALTORS PRIVATE LIMITED,1,chhabrasumit0609@gmail.com; na@gmail.com; pawanchhabra124@gmail.com; rajivsuri95@gmail.com; sahilsudha27@hotmail.com; sparvrealtors@gmail.com; varunjagga@yahoo.com,8930701001; 9416000124; 9466000005; 9813525909; 9896298964; 9999999999,145 OF 2025,,
Nischay Housing Private Limited,C,NISCHAY HOUSING PRIVATE LIMITED,1,nischayhousing@gmail.com,9266755487,101 OF 2022,,
M/S Sharvil Buildtech Llp,C,M/S SHARVIL BUILDTECH LLP,1,info.sharvil@gmail.com; sharvilbuildtechtech@gmail.com,7837233264; 8826697840; 9416076840; 9416452200; 9466580708; 9729459317; 9818436336,60 OF 2025,,
M/S Shamisha Land Developers Pvt. Ltd.,C,M/S SHAMISHA LAND DEVELOPERS PVT. LTD.,1,info.shamishalanddevelopers@gmail.com,7988625662; 9416600505; 9811198092; 9818436336,201 OF 2023,,
M/S Shamisha Homes Pvt Ltd.,C,M/S SHAMISHA HOMES PVT LTD.,1,shamishahomes@gmail.com,7988625662; 9811198092; 9812031131; 9812078629; 9818436336,192 OF 2023,,
Homeshetra  Realtors Private Limited,C,HOMESHETRA  REALTORS PRIVATE LIMITED,1,chhabrasumit01@gmail.com; homeshetrakkr@gmail.com; na@gmail.com; pawanchhabra124@gmail.com; rajivsuri95@gmail.com; sahilsudha27@hotmail.com; varunjagga@yahoo.com,9416000124,203 OF 2023; 205 OF 2023,,1
Greenhomes Infra Developers Pvt Ltd,C,GREENHOMES INFRA DEVELOPERS PVT LTD,1,homesgreen29@gmail.com; palshashi11@gmail.com; sanjubanwait@gmail.com; vandanjain1989@gmail.com,7988268572; 8219834223; 8396000072; 9215000002; 9896489972,06 OF 2025; 220 OF 2023; 69 OF2023; 96 OF 2021; 97 OF 2024,,1
