applicant_raw,purpose,area_acre,dev_plan,sector,status,status_date,detail
Jai Shiva Earth Movers & Construction Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,5.0,PANIPAT,40,Rejected,30/03/2021,LC-3962A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.5,PANIPAT,"19,40",Returned,24/09/2018,LC-3905A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,14.79,PANIPAT,"19,40",Returned,24/09/2018,LC-3906A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.71,PANIPAT,"19,40",Returned,24/09/2018,LC-3907A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.57,PANIPAT,"19,40",Returned,24/09/2018,LC-3908A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.03,PANIPAT,"19,40",Returned,24/09/2018,LC-3909A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.0,PANIPAT,"19,40",Returned,24/09/2018,LC-3910A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.56,PANIPAT,"19,40",Returned,24/09/2018,LC-3911A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.65,PANIPAT,"19,40",Returned,24/09/2018,LC-3912A
Lotus Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,14.77,PANIPAT,"19,40",Returned,24/09/2018,LC-3913A
Sunbreeze Builders & Developers Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,5.35,PANIPAT,40,Rejected,12/02/2018,LC-3560A
EXPERION DEVELOPERS PVT. LTD.,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,95.894,PANIPAT,40,Returned,09/09/2019,LC-3948A
Herman Fin Properties,NEW INTEGRATED LICENCING POLICY (NILP) FOR RESIDENTIAL,31.88,PANIPAT,40,Withdrawn,07/12/2017,LC-3558A
Herman Fin Properties,NEW INTEGRATED LICENCING POLICY (NILP) FOR RESIDENTIAL,3.47,PANIPAT,40,Withdrawn,07/12/2017,LC-3558B
Sohan Lal- Bimla Devi- Barham Parkash,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.08,SAMALKHA,1,Returned,02/11/2016,LC-3369A
SAMUNDER SINGH MAAN,INDUSTRIAL PLOTTED COLONY IN AGRICULTURE ZONE,33.91,SAMALKHA,2,Returned,02/04/2021,LC-4282A
Lotus Buildtech Ltd.,RESIDENTIAL PLOTTED COLONY,51.98,PANIPAT,21,Rejected,,LC-1700
Bigway Colonisers Pvt. Ltd.,IT/CYBER PARK,5.75,PANIPAT,35,Rejected,,LC-2081A
Ambience Ltd.,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,6.86,PANIPAT,"36, 37",Rejected,,LC-2082A
Jai Krishan Baba,RESIDENTIAL PLOTTED COLONY,103.35,PANIPAT,40,Returned,,LC-2936A
Lotus Buildtech Ltd.,RESIDENTIAL PLOTTED COLONY,63.33,PANIPAT,40,Returned,,LC-834B
