file_no,receipt_date,purpose,area_acre,dev_plan,sector,developer_raw
LC-5573B,01/01/2025,NEW INTEGRATED LICENCING POLICY (NILP) FOR RESIDENTIAL,15.51042,PANIPAT,40,TRIDENT PARK TOWN PRIVATE LIMITED
LC-5574B,01/01/2025,NEW INTEGRATED LICENCING POLICY (NILP) FOR RESIDENTIAL,15.51042,PANIPAT,40,TRIDENT PARK TOWN PRIVATE LIMITED
LC-5512A,16/10/2024,RESIDENTIAL GROUP HOUSING,2.03125,PANIPAT,17,Triveni Developers
LC-5005A,09/12/2022,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,3.276,PANIPAT,38,Uttirna Infraprojects Pvt. Ltd.
LC-4985A,29/11/2022,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,24.3958,PANIPAT,19A,ELDECO Infrastructure & Properties Ltd
LC-4865A,08/07/2022,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,103.235,PANIPAT,40,Lotus Buildtech Pvt. Ltd.
LC-4764A,04/03/2022,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.823,PANIPAT,19A,Gopal Real Home LLP
LC-4673A,12/11/2021,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.43125,PANIPAT,40,Jay Shiva Earthmovers  and construction Pvt. Ltd.
LC-3192C,10/11/2020,RESIDENTIAL PLOTTED COLONY,1.06,PANIPAT,23,MAHESH FARMS PVT. LTD.
LC-4311A,24/07/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,9.3125,PANIPAT,40,JAI KRISHAN BABA PROJECTS JV
LC-4314A,24/07/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.95375,PANIPAT,40,JAI KRISHAN BABA PROJECTS JV
LC-4315A,24/07/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.6979,PANIPAT,40,JAI KRISHAN BABA PROJECTS JV
LC-4317A,24/07/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.3229,PANIPAT,40,JAI KRISHAN BABA PROJECTS JV
LC-4289A,01/02/2020,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.2875,SAMALKHA,2,CHOPRA BUILDCON PRIVATE LIMITED
LC-4056A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.05,PANIPAT,36,Ambience Private Limited
LC-4057A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.58,PANIPAT,37,Ambience Private Limited
LC-4058A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.34,PANIPAT,"37,39",Ambience Private Limited
LC-4059A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.94,PANIPAT,37,Ambience Private Limited
LC-4060A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.39,PANIPAT,37,Ambience Private Limited
LC-4061A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,7.39,PANIPAT,37,Ambience Private Limited
LC-4062A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.07,PANIPAT,37,Ambience Private Limited
LC-4063A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,6.36,PANIPAT,"38,36",Ambience Private Limited
LC-4064A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.13,PANIPAT,36,Ambience Private Limited
LC-4065A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,12.32,PANIPAT,36,Ambience Private Limited
LC-4066A,19/03/2019,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.16,PANIPAT,36,Ambience Private Limited
