developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Uttirna Infraprojects (M3M India SPV),B+,UTTIRNA INFRAPROJECTS PRIVATE LIMITED,5,na@gmail.com; uttirnainfraprojects@gmail.com,7699610540; 8929012754; 8929034470; 9711348349; 9811348349; 9811486979,"257 OF 2023,85 OF 2023",Gurugram,
Eldeco Infrastructure And Properties Limited,C,ELDECO INFRASTRUCTURE AND PROPERTIES LIMITED,4,contact@eldecoproperties.com; cs.trainee@eldecoproperties.com; munishgarg@eldecoproperties.com; pankaj.bajaj@eldecoproperties.com; ranjit@eldecoproperties.com; sanjay.kumar@eldecoproperties.com; secretarial@eldecoproperties.com; serectarial@eldecoproperties.com; shrikant.j@eldecoproperties.com,9650499983; 9810198101; 9810946102; 9818871148; 9996975773,"36 OF 2008; 412 OF 2006; 47 OF 2017,412 OF 2006,24 OF 2024,67 OF 2025",,0
Tdi Infracorp(India) Ltd.,C,TDI INFRACORP(INDIA) LTD.,2,op.dhingra@tdiinfracorp.com; virender.singh@tdiinfracorp.com,9654728375; 9896730463,"141 OF 2007,121 OF 2012; 5 OF 2017",,
Sunbreeze Builders And Developers Private Limited,C,SUNBREEZE BUILDERS AND DEVELOPERS PRIVATE LIMITED,2,office.amvgroup@gmail.com; site.amvgroup@gmail.com; sunbreezebuilders@gmail.com; vikas.narang1971@gmail.com; viveknarang1973@gmail.com; wadhwa@amvgroup.in; wadhwa@sarvodya.com,7838778899; 8368420816; 8396800665; 9306163267; 9810695215; 9818237185; 9873703492,"35 OF 2019,114 OF 2024",,0
M/S Godrej Projects Development Ltd,C,M/S GODREJ PROJECTS DEVELOPMENT LTD,2,4amit6houdahury@gmail.com; ashsh@godrejproperties.com; aspycooper@gmail.com; evora.4mit6houdahury@gmail.com; evora.estatea@godrejproperties.com; evora.estateb@godrejproperties.com; gaurav.gupta@godrejproperties.com; gupta.gaurav@godrejproperties.com; ibhusan6161@gmail.com.com; ibhushan6161@gmail.com,9560750365; 9833381715; 9920491199,"147 OF 2024,134 OF 2022; 146 OF 2024",,
Emperium Realty Private Limited,C,"EMPERIUM REALTY PVT LTD,EMPERIUM REALTY PRIVATE LIMITED",2,hardeepsingh@emperiumrealty.com; noorjahansaund@emperiumrealty.com; ravisaund@emperiumrealty.com; sumitagarwal@emperiumrealty.com; vikasgoel@emperiumrealty.com,9810253077; 9811097777; 9811663466; 9896391603; 9996017708,"71 OF 2017,65 OF 2021",,0
Ceremonyhomes Private Limited,C,CEREMONYHOMES PRIVATE LIMITED,2,ceremonyhomes2020@gmail.com; mukesh@ceremonyhomes.com,9215343184; 9896662092,"36 OF 2008; 412 OF 2006; 47 OF 2017,00 OF 2022",,
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,2,anil@ansalapi.com; ansalapireraharyana@gmail.com; jagaturf@yahoo.co.in; sandeep.kumar@ansalapi.com; scpanipat@ansalapi.com,8607620264; 9711265003; 9845068983,"80 OF 2017,28 OF 2005",,
Waverly Infrastructure Llp,C,WAVERLY INFRASTRUCTURE LLP,1,thevillagebusinessparkpanipat@gmail.com,9582920307,16 OF 2021,,1
Vedya Meditech Private Limited,C,VEDYA MEDITECH PRIVATE LIMITED,1,vedyaisrana@gmail.com,9810239303,36 OF 2025,,1
Upright Infraheights Private Limited,C,UPRIGHT INFRAHEIGHTS PRIVATE LIMITED,1,decentinfraheightscivil@gmail.com; theflowercitypnpt@gmail.com,7988625662; 9811096551; 9811198092; 9812005131; 9812031131,77 OF 2022,,
Trident Realty (Trident Park Town SPV),B+,TRIDENT PARK TOWN PRIVATE LIMITED,1,aa@gmail.com; gaurav.kumar@tridentrealty.co.in; hari.chaurasia@tridentrealty.co.in; kanwal.babber@tridentrealty.co.in; kavinder.chaudhary@tridentrealty.co.in; sanction@tridentrealty.co.in,7428791434; 9010052289; 9814004700; 9953559253; 9971066044; 9999999999,,New Delhi/Gurugram,
The Unique Defence Co-Operative Group Housing Society Ltd,C,THE UNIQUE DEFENCE CO-OPERATIVE GROUP HOUSING SOCIETY LTD,1,narenderassociates@rediffmail.com; theuniquedefencecghsltd@gmail.com,8295310113; 9416176934,,,
The Sldc Employees Cooperative Group Housing Society Limited,C,THE SLDC EMPLOYEES COOPERATIVE GROUP HOUSING SOCIETY LIMITED,1,sldc.ghs@gmail.com,7082005336; 9810253077,,,
The Sky View Co-Operative Group Housing Society Ltd,C,THE SKY VIEW CO-OPERATIVE GROUP HOUSING SOCIETY LTD,1,mahesh.arya45@gmail.com; sukhdevarora14@gmail.com,9810511405; 9896423225,,,
"The Satkar Co-Operative Group Housing Society Limited,",C,"THE SATKAR CO-OPERATIVE GROUP HOUSING SOCIETY LIMITED,",1,satkarcghsltd@gmail.com,9034518303; 9416481428; 9416653153,,,
The New Shri Surya Ews Cooperative Group Housing Society,C,THE NEW SHRI SURYA EWS COOPERATIVE GROUP HOUSING SOCIETY,1,pardeepk56@gmail.com; sushil.kumar@gmail.com; thenewsrisuryaghs@gmail.com,9710150005; 9812002840,,,
The Karan Employees Co-Operative Group Housing Society Ltd.,C,THE KARAN EMPLOYEES CO-OPERATIVE GROUP HOUSING SOCIETY LTD.,1,panipat.karanghs@gmail.com,7082005336; 9810253077,,,
Tdi Infrastructure Ltd.,C,TDI INFRASTRUCTURE LTD.,1,aman.mehra@tdigroup.net,9711002541; 9811056172; 9811889207,30 OF 2016,,0
Suparvesh Developers Pvt Ltd,C,SUPARVESH DEVELOPERS PVT LTD,1,arunphutelabjp00@gmail.com; info@suparveshdevelopers.com; jimikarter018@gmail.com,8950200040; 9034628969; 9896352991,187 OF 2024,,1
Suparvesh Buildwell Private Limited,C,SUPARVESH BUILDWELL PRIVATE LIMITED,1,info@suparvesh.com; na@gmail.com,7015713780; 9416154792; 9944379361,122 OF 2023,,
Summit Developers,C,SUMMIT DEVELOPERS,1,summitdevelopers40@gmail.com,9729688366; 9996019267,68 OF 2026,,1
Splendor Landbase Limited,C,SPLENDOR LANDBASE LIMITED,1,ashwani.khemka@splendorgroup.net; benu.sehgal@splendorgroup.net; cmd@splendorgroup.net; narendra@splendorgroup.net; sll@splendorgroup.net,9650077227; 9810704976; 9811046118; 9868971643,37 OF 2008,,
Splender Landbase Ltd.,C,SPLENDER LANDBASE LTD.,1,ajithora@hotmail.com; cmd@splendorgroup.net; manjunath@splendorgroup.net; pcsharma@splendorgroup.net; sll@splendorgroup.net,7011164436; 8588813683; 9811046118; 9811077082; 9871133447,37 OF 2008,,
Samisha Infraspace Llp,C,SAMISHA INFRASPACE LLP,1,info@gardencity.co.in,8550983743; 8930099373; 9812031131; 9818436336,87 OF 2026,,1
Rishika Creator Llp,C,RISHIKA CREATOR LLP,1,rishikacreatorllp@gmail.com,7838214128,8 OF 2024,,1
Real Heights Developers Pvt. Ltd.,C,REAL HEIGHTS DEVELOPERS PVT. LTD.,1,info@realheights.co.in; vipinjain@realheights.co.in,7082301462; 9034628969; 9896352991,34 OF 2017,,0
Ranil Hotels And Resort Private Limited,C,RANIL HOTELS AND RESORT PRIVATE LIMITED,1,benzrealty15@gmail.com,9812103700; 9896391603,39 OF 2022,,1
Ralith Realty Pvt. Ltd.,C,RALITH REALTY PVT. LTD.,1,info@ralithrealty.com; rakesh@ralithrealty.com; vikash@ralithrealty.com,9910483567; 9996017708,,,1
Pushprattan Developers Private Limited,C,PUSHPRATTAN DEVELOPERS PRIVATE LIMITED,1,paradisegreenspanipat@gmail.com,8527834008,178 OF 2022,,0
Prime Industrial Park,C,PRIME INDUSTRIAL PARK,1,joharashwin@gmail.com; primeindustrialparkpanipat@gmail.com; rakeshtayaltony@gmail.com; sandeepmor73@gmail.com; smgroup0777@gmail.com; sureshkadyan82@gmail.com,9031211000; 9216630000; 9354931324; 9416334127; 9466110009; 9641100000,79 OF 2026,,1
Parachute Buildtech Llp,C,PARACHUTE BUILDTECH LLP,1,rishikagroup.ts@gmail.com,7838214128; 9292905000,30 OF 2025; 80 OF 2025,,1
Panipat Industrial Park,C,PANIPAT INDUSTRIAL PARK,1,joharashwin@gmail.com; naveenbansal221978@gmail.com; panipatindustrialpark@gmail.com; rajivmittalfbd@gmail.com; sandeepmor73@gmail.com; smgroup777@gmail.com,8295403727; 9031211000; 9216630000; 9311045500; 9466110009; 9641100000,223 OF 2025,,1
PARSVNATH DEVELOPERS LIMITED,,PARSVNATH DEVELOPERS LIMITED,1,rera@parsvnath.com,9205809569,171 OF 2007,,
Niharika Buildwell Private Limited,C,NIHARIKA BUILDWELL PRIVATE LIMITED,1,ankurmalhotra7@gmail.com; contact@niharikabuildwell.com; mahipalsandhupnb@gmail.com; makkarsanjay1974@gmail.com; na@gmail.com; s.sehgal86@gmail.com,7988094226; 9317605353; 9991070417; 9999436251,85 OF 2023,,
M/S Relhan And Bhatia Industrial Warehousing & Logistic Park,C,M/S RELHAN AND BHATIA INDUSTRIAL WAREHOUSING & LOGISTIC PARK,1,inderjeetrelhan@gmail.com; kashishbhatia0905@gmail.com; parkashrelhan@gmail.com; rajeshrelhan1@gmail.com; relhanritu@gmail.com; sameerbhatia132@gmail.com,8813808338; 8929990038; 9355534100; 9466238338; 9728900059; 9991318345,52 OF 2024,,
M/S Kuber Spintex Pvt Ltd,C,M/S KUBER SPINTEX PVT LTD,1,kuberspintex@gmail.com,9254049700; 9896343355; 9896911169; 9996966500,193 OF 2024,,
M/S Address Infrastructures Pvt. Ltd.,C,M/S ADDRESS INFRASTRUCTURES PVT. LTD.,1,address.operations@gmail.com,8264834393; 9316200821; 9888888400,58 OF 2023,,
Liberty Infra Co,C,LIBERTY INFRA CO,1,libinfraco@gmail.com,9813369190; 9896300009,11 OF 2024,,
Jay Shiva Earthmovers And Construction Private Limited,C,JAY SHIVA EARTHMOVERS AND CONSTRUCTION PRIVATE LIMITED,1,jayshivapanipat@gmail.com,9728571012; 9810029200,161 OF 2024,,1
Infra Private Limited,C,INFRA PRIVATE LIMITED,1,accounts@infrapvtltd.com; na@gmail.com,9355449000; 9416017890; 9999999999,110 OF 2025,,
Emperium Developers Pvt. Ltd.,C,EMPERIUM DEVELOPERS PVT. LTD.,1,anuragbargoti@emperium.in; ravisaund@emperium.in; sujatali@emperium.in,9811663466; 9896387642; 9896389216,114 OF 2022,,1
Eldeco Green Park Infrastructure Limited,C,ELDECO GREEN PARK INFRASTRUCTURE LIMITED,1,naveen@eldecoproperties.com; pradeep@eldecoproperties.com; sanjeevanand@eldecoproperties.com; secretarial@eldecoproperties.com; sujeettripathi@eldecoproperties.com,9810946102; 9813166776; 9898989898,03 OF 2020; 04 OF 2020; 05 OF 2020,,1
Dlf Home Developers Limited,C,DLF HOME DEVELOPERS LIMITED,1,haryanarera@dlf.in,9711080232,170 OF 2023,,1
Crown Buildestates Llp,C,CROWN BUILDESTATES LLP,1,mohanm331@gmail.com,9953003435,53 OF 2024,,0
Bhuvan Developers Private Limited,C,BHUVAN DEVELOPERS PRIVATE LIMITED,1,bhuvandevelopers@gmail.com,8295056000; 8303255555,83 OF 2021,,1
