applicant_raw,purpose,area_acre,dev_plan,sector,status,status_date,detail
Sh. Rajinder Singh Nandal S/o Sh. Shivlal Nandal,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,8.925,SAMPLA,1,Returned,29/09/2016,LC-3454A
Patanjali Buildcon Pvt. Ltd,RESIDENTIAL PLOTTED COLONY,3.08,ROHTAK,35,Returned,26/05/2017,LC-3605A
KST Infrastructure,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,10.09,ROHTAK,27A,Returned,16/02/2017,LC-3523A
Suncity Projects Pvt. Ltd,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,5.16875,ROHTAK,34,Returned,12/03/2018,LC-3671A
Sapphire Buildtech Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,13.96,ROHTAK,"33, 33A",Lapsed,05/04/2018,LC-3437A
MMK Logistic Services Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,5.0,ROHTAK,27A,Returned,01/04/2015,LC-3131A
Elixir Infrastructure Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,16.84,ROHTAK,"33, 33A",Returned,,LC-1008B
Parsvnath Developers Ltd.,RESIDENTIAL PLOTTED COLONY,13.1,ROHTAK,"33, 33A",Rejected,,LC-1498B
Geetratna Infotech Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,6.93,ROHTAK,27A,Rejected,,LC-2886A
Orange Castle Ltd.,RESIDENTIAL GROUP HOUSING,8.29,ROHTAK,26A,Withdrawn as Rejected,,LC-3140A
