developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Forteasia Realty Private Limited,C,"FORTEASIA REALTY PVT. LTD.,FORTEASIA REALTY PRIVATE LIMITED",10,ajay.mangla@forteasia.in; ajaymangla@forteasia.in; forteasiarealty2016@gmail.com; harbhajan.singh@forteasia.in; kkapil08@gmail.com; puneet.forteasia@gmail.com; puneet.gupta@forteasia.in; sandeep.mangla@forteasia.in; sandeepmangla1999@gmail.com; sanjay.forteasia@gmail.com; sudesh.kumar@forteasia.in; sudeshkumar6478@gmail.com; truevillas@gmail.com,8076950386; 9212463309; 9582385717; 9649555541; 9810773333; 9818099255; 9821396233; 9971358854,"109 OF 2017,23 OF 2009; 542 OF 2006,175 OF 2022,217 OF 2022,37 OF 2023,215 OF 2022,120 OF 2025,86 OF 2024,185 OF 2025; 84 OF 2025,",,0
Sonika Properties Private Limited,C,"SONIKA PROPERTIES PVT LTD.,SONIKA PROPERTIES PRIVATE LTD,SONIKA PROPERTIES PRIVATE LIMITED,SONIKA PROPERTIES PVT. LTD.",5,complaince@suncityprojects.com; compliance@suncityprojects.com; harander@suncityprojects.com; info@suncitypreojects.com; info@suncityprojects.com; manojkumar@suncityprojects.com; navneetkumar@suncityprojects.com; pinak@suncityprojects.com; ravikant@suncityprojects.com,8814000152; 9354909935; 9654128014; 9654128033; 9654128130; 9654131894; 9654197899,"9 OF 2009,65 OF 2010",,0
One Point Realty Pvt Ltd,C,"ONE POINT REALTY PVT. LTD.,ONE POINT REALTY PVT LTD",4,info@onecity.in; sales@onecity.in; shalini@onecity.in; sjain@onecity.in; udit@onecity.in,7701916187; 8018177777; 9540968345; 9718832507; 9810056857; 9811202755; 9891500335; 9996925051,"29 OF 2010,32 OF 2017,101 OF 2012,101 OF 2012; 173 OF 2023; 29 OF 2010",,0
Sharad Farms And Holoding Pvt. Ltd.,C,SHARAD FARMS AND HOLODING PVT. LTD.,3,harander@suncityprojects.com; info@suncitypreojects.com; info@suncityprojects.com; manojkumar@suncityprojects.com; navneetkumar@suncityprojects.com; pinak@suncityprojects.com,8814000152; 9654128014; 9654128033; 9654128122; 9654128130; 9990007071,"25 OF 2017,26 OF 2017,02 OF 2015; 04 OF 2014; 1166 OF 2006; 17 OF 2009; 187 OF 2008",,
Shrishti Infradevelopers Private Limited,C,"SHRISHTI INFRADEVELOPERS PVT. LTD.,SHRISHTI INFRADEVELOPERS PRIVATE LIMITED",2,apunia.shrishtiinfra@gmail.com; info@shrishtiinfra.co.in; m.bhardwaj@shrishtiinfra.co.in; manish1570@hotmail.com; shrishti.kalp@gmail.com; sprohtak@yahoo.com,6202627552; 7580039003; 9254055211; 9560192628; 9812412412; 9992222354; 9992345555,38 OF 2018,,
Raj Developers Through Proprietor Raj Kumari,C,RAJ DEVELOPERS THROUGH PROPRIETOR RAJ KUMARI,2,makinfra.rtk@gmail.com,9050430289; 9991256696,,,
Omex Ltd.,C,OMEX LTD.,2,haryana_rera@omaxe.com; haryanarera@omaxe.com,9876911201,"31 OF 2007,30 OF 2017",,
Omaxe Ltd.,C,OMAXE LTD.,2,haryana_rera@omaxe.com; haryanarera@omaxe.com,9876911201,"29 OF 2017,27 OF 2017",,
Jop International Limited,C,JOP INTERNATIONAL LIMITED,2,info@jopgroup.in,9729255055; 9729955055; 9811808234,07 OF 2013; 7 OF 2013,,0
Hl Residency,C,HL RESIDENCY,2,hlresidency@gmail.com; rk.joon@gmail.com,8199939912; 8813888101,,,
Vrr Residency Llp,C,VRR RESIDENCY LLP,1,apgbahadurgarh@gmail.com; maliksanjay72@gmail.com; rishabhjindal2307@gmail.com; sandeep28om@gmail.com; vijenderca@gmail.com; vrrresidencyllp@gmail.com,8199939912; 9315439912; 9315539912; 9466708600; 9896250491; 9910070995; 9910070999,46 OF 2026,,1
Vijaylaxmi Infrabuild Private Limited,C,VIJAYLAXMI INFRABUILD PRIVATE LIMITED,1,krishnaramuka@vijaylaxmiinfra.com; ksrathee@gmail.com; ratheevijay28@gmail.com; shaktirajan@rediffmail.com; vijaylaxmigreensrohtak@gmail.com,9047211745; 9205886797; 9416300124; 9717780692; 9810040532; 9810293345,144 OF 2023,,1
Suncity Buildcon Pvt Ltd.,C,SUNCITY BUILDCON PVT LTD.,1,ankit@suncityprojects.com; anuj@suncityprojects.com; info@suncityprojects.com; rajeev.tanwar@suncityprojects.com; ravikant@suncityprojects.com,8307316898; 8826641055; 9654131894; 9654956691,45 OF 2021,,1
