applicant_raw,purpose,area_acre,dev_plan,sector,status,status_date,detail
Creative Buildwell Pvt. Ltd,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.318,SONIPAT,17,Returned,31/05/2018,LC-3805A
Parsvnath Developers Ltd.,AFFORDABLE HOUSING PROJECT,9.93,SONIPAT,11,Withdrawn,30/05/2018,LC-3626A
TDI Infracorp India Ltd.,AFFORDABLE HOUSING PROJECT,5.68,SONIPAT,63,Returned,29/12/2017,LC-3193A
Quarterage Housing Pvt. Ltd.,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,11.831,SONIPAT,"63,64",Rejected,25/03/2021,LC-3849A
Jindal Realty Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,5.17,SONIPAT,34,Rejected,21/08/2019,LC-3559A
TDI Infrastructure Ltd.,RESIDENTIAL PLOTTED COLONY,1.01,SONIPAT,"61,58,59,60,64,69",Returned,20/04/2021,LC-533H
Castle Infratech Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,2.93,SONIPAT,,Returned,17/01/2018,LC-3099A
Parilok Real Estates Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,5.0,SONIPAT,63,Returned,17/01/2018,LC-3691A
Tulip Infratech Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,6.72,SONIPAT,35,Returned,17/01/2018,LC-841C
Goodworth Overseas Pvt. Ltd.,AFFORDABLE HOUSING PROJECT,10.01,SONIPAT,64,Returned,15/11/2017,LC-3194A
India Bulls Estates Pvt. Ltd,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,3.5,SONIPAT,26,Rejected,08/07/2013,LC-1166A
Parsvnath Developers Ltd.,AFFORDABLE HOUSING PROJECT,6.02,SONIPAT,10,Rejected,08/06/2018,LC-3627A
Nextra Developers LLP,DEEN DAYAL JAN AWAS YOJNA-AFFORDABLE PLOTTED 2016,15.0,KHARKHAUDA,02,Returned,06/03/2018,LC-3699A
Arnav Buildtech Pvt. Ltd.,COMMERCIAL LICENCE IN COMMERCIAL ZONE,2.0,SONIPAT,15,Returned,06/02/2015,LC-3181A
Parkar Builder Pvt. Ltd,COMMERCIAL LICENCE IN RESIDENTIAL ZONE,2.25,SONIPAT,62,Rejected,,LC-1508A
PS Realtors Pvt. Ltd.,RESIDENTIAL PLOTTED COLONY,4.61,SONIPAT,"59, 60",Rejected,,LC-1885A
Jindal Realcon Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,14.43,SONIPAT,35,Withdrawn,,LC-2430A
Express Projects Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,10.49,SONIPAT,35,Returned,,LC-2847B
Express Projects Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,12.14,SONIPAT,35,Returned,,LC-2847A
Express Projects Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,13.58,SONIPAT,35,Returned,,LC-2870A
Express Projects Pvt. Ltd.,RESIDENTIAL GROUP HOUSING,18.45,SONIPAT,35,Rejected,,LC-2908A
Rajat Kamal Construction,RESIDENTIAL GROUP HOUSING,5.72,SONIPAT,7,Withdrawn,,LC-2962A
Nextra Developers LLP Known as Suncity Infra Estate Pvt. Ltd.,RESIDENTIAL PLOTTED COLONY,32.16,SONIPAT,2,Withdrawn as Rejected,,LC-3154A
Jai Shree Industries,AFFORDABLE HOUSING PROJECT,5.53,SONIPAT,35,Rejected,,LC-3157A
Parsvnath Developers Ltd.,RESIDENTIAL GROUP HOUSING,18.94,SONIPAT,"10, 11",Rejected,,LC-873
