developer,tier,rera_names,n_projects,emails,phones,licences_cited,hq,is_new
Jindal Realty Limited,C,"JINDAL REALTY PVT. LTD.,JINDAL REALTY LIMITED",8,crm@jindalrealty.com; mukesh.rai@jindalrealty.com; reracompliance@jindalrealty.com,7496969784; 8168347359; 8571880108; 9971508555,"24 OF
2014; 24 OF 2014; 71 OF
2009; 71 OF 2009,24 OF 2014; 71 OF 2009,37 OF 2022,128 OF 2023,24 OF 2014,24 OF 2014; 24 OF 2017; 71 OF 2009",,1
PARSVNATH DEVELOPERS LTD.,,PARSVNATH DEVELOPERS LTD.,4,rera@parsvnath.com,9205809569,"894 OF 2006,1206 OF 2006,,945 OF 2006",,
Syscom Edutech Private Limited,C,SYSCOM EDUTECH PRIVATE LIMITED,3,amit@pulsarchem.com; anurag@avani.ventures; ashish@syscomindia.com; rahul@organicharvest.in; reemajain81@gmail.com; sgitsonepat@gmail.com,9773772374; 9811210882; 9811210883; 9811504477; 9813057157,"45 OF 2022,34 OF 2021,242 OF 2023",,1
Rama Krishna Buildwell Pvt Ltd,C,"RAMA KRISHNA BUILDWELL PVT. LTD.,RAMA KRISHNA BUILDWELL PVT LTD",3,ankur@divinevisioninfra.com; himanshu@divinevisioninfra.com; himanshu@divinevisioninra.com; rajneesh@rkelctro.com; rajneesh@rkelectro.com; sacaditya@gmail.com; satish.luthra@rkelectro.com; skrathi09@gmail.com,8800993871; 9729766544; 9810099875; 9811129690; 9811129692; 9813713844,"60 OF 2017,263 OF 2007,60 OF 2007",,0
Mapsko Builders Pvt Ltd,C,MAPSKO BUILDERS PVT LTD,3,amrit@mapskogroup.com; cs@mapskogroup.com; info@mapskogroup.com; pankaj@mapskogroup.com; rishu@mapskogroup.com; salescrm@mapskogroup.com,8360739706; 9891200009; 9911573792; 9911573797; 9990040999; 9990613737,"55 OF 2007,98 OF 2022,207 OF 2022",,0
Y P Infratech Private Limited,C,"Y P INFRATECH PRIVATE LIMITED,Y P INFRATECH PVT. LTD.",2,007mukeshdahiya@gmail.com; ypinfrasnp@gmail.com,6361618181; 7015065804; 7988653543,"46 OF 2023,243 OF 2023",,1
TDI INFRASTRUCTURE LIMITED,,TDI INFRASTRUCTURE LIMITED,2,op.dhingra@tdiinfracorp.com,9215310703; 9654728375; 9810562978,"1068 OF 2006,70 OF 2012",,
Skylark Flying Real Estate Private Limited,C,SKYLARK FLYING REAL ESTATE PRIVATE LIMITED,2,pardeepsaroha904@gmail.com,9053011182; 9812034471,"53 OF 2023,61 OF 2024",,1
Siddhartha Developers,C,SIDDHARTHA DEVELOPERS,2,siddharthadevelopers2021@gmail.com,8295890998,"96 OF 2024; 96OF 2024,13 OF 2026; 18 OF 2026",,1
Seagull Buildwell Private Limited,C,"SEAGULL BUILDWELL PRIVATE LIMITED,SEAGULL BUILDWELL PVT. LTD.",2,sambuild0777@gmail.com; seagullbuildwellpvtltd@gmail.com,8398993200; 8882088829; 8888208882; 9141418484; 9811282504; 9811360543,"03 OF 2019,03 OF 2019; 119 OF 2025",,
Ram Setu Buildwell Private Limited,C,RAM SETU BUILDWELL PRIVATE LIMITED,2,ajitsaroha1@gmail.com; kiransaroha1974@gmail.com; ramsetubuildwell@gmail.com; sumitsaroha982@gmail.com; viks.saroha@gmail.com,9215617077; 9518685157; 9812501119; 9999175236,89 OF 2023,,1
