licence_no,issue_date,purpose,area_acre,sector,dev_plan,developer_raw,developer_group,tier,score,locality_tier,valid_upto_raw,lat,lng,map_link
150 OF 2023,20/07/2023,DDJAY-APHP,20.56875,33,SONIPAT,Jai Krishna Artec JV,Jai Krishna Artec JV (Krishna Apra lineage),B,,,19/07/2028,28.958907,77.063177,"https://maps.google.com/?q=28.958907,77.063177"
124 OF 2026,02/07/2026,DDJAY-APHP,17.85625,NA,SONIPAT,Rishika Edifice LLP,"Rishika Group (Sanjiv Sarin, Ganaur)",B-,,,01/07/2031,29.143869,77.026304,"https://maps.google.com/?q=29.143869,77.026304"
153 OF 2026,28/07/2026,DDJAY-APHP,15.0875,NA,SONIPAT,Birdview Housing Projects LLP,Birdview Housing Projects Llp,C,,,27/07/2031,29.041756,77.083343,"https://maps.google.com/?q=29.041756,77.083343"
170 OF 2024,28/11/2024,DDJAY-APHP,12.075,41,SONIPAT,TRILOKPATI INFRAESTATE PVT LTD,Trilokpati Infraestate Pvt Ltd,C,,,27/11/2029,28.914573,77.069222,"https://maps.google.com/?q=28.914573,77.069222"
110 OF 2026,08/06/2026,DDJAY-APHP,11.5563,11,SONIPAT,Nugraj Dream Builders Pvt. Ltd.,Nugraj Dream Builders Private Limited,C,,,07/06/2031,28.867274,76.894763,"https://maps.google.com/?q=28.867274,76.894763"
125 OF 2026,02/07/2026,DDJAY-APHP,11.26875,10,KHARKHAUDA,Om Shiva Real Estate Pvt. Ltd.,Om Shiva Real Estate Pvt. Ltd.,C,,,01/07/2031,28.862561,76.907007,"https://maps.google.com/?q=28.862561,76.907007"
10 OF 2026,15/01/2026,DDJAY-APHP,10.50625,NA,KHARKHAUDA,Nextra Dream Town Realty Pvt. Ltd.,Nextra Dream Town Realty Pvt. Ltd.,C,,,14/01/2031,28.874323,76.930279,"https://maps.google.com/?q=28.874323,76.930279"
73 OF 2026,23/04/2026,DDJAY-APHP,8.3375,80,SONIPAT,Skybyte Buildtech Pvt. Ltd.,Skybyte Buildtech Pvt. Ltd.,C,,,22/04/2031,28.965597,77.092957,"https://maps.google.com/?q=28.965597,77.092957"
107 OF 2026,02/06/2026,DDJAY-APHP,8.10625,33,SONIPAT,Kreshya Realtech LLP,Kreshya Realtech Llp,C,,,01/06/2031,28.957078,77.06096,"https://maps.google.com/?q=28.957078,77.06096"
179 OF 2025,18/09/2025,DDJAY-APHP,6.8,26A,SONIPAT,Ms Ujala Buildwell LLP,Ms Ujala Buildwell Llp,C,,,17/09/2030,28.964379,77.046962,"https://maps.google.com/?q=28.964379,77.046962"
163 OF 2026,13/08/2026,DDJAY-APHP,6.51875,NA,SONIPAT,SNPC RESIDENCY LIMITED,Snpc Residency Limited,C,,,12/08/2031,28.924263,77.164941,"https://maps.google.com/?q=28.924263,77.164941"
128 OF 2026,06/07/2026,DDJAY-APHP,5.98125,04,KHARKHAUDA,Ramville Buildcon LLP,Ramville Buildcon Llp,C,,,05/07/2031,28.858051,76.929757,"https://maps.google.com/?q=28.858051,76.929757"
189 OF 2024,19/12/2024,DDJAY-APHP,5.26875,26A,SONIPAT,U V Landbase Pvt. Ltd.,U V Landbase Pvt. Ltd.,C,,,18/12/2029,28.955369,77.044716,"https://maps.google.com/?q=28.955369,77.044716"
131 OF 2026,07/07/2026,AHP,5.2625,NA,SONIPAT,Chirag Buildtec Private Limited,Chirag Buildtec Private Limited,C,,,06/07/2031,29.03153,77.034339,"https://maps.google.com/?q=29.03153,77.034339"
