licence_no,issue_date,purpose,area_acre,dev_plan,sector,developer_raw,valid_upto_raw,developer_group,tier,score,centroid_lat,centroid_lng,parcel_id,locality_tier,entity_rank,locality_rank,first_seen_year,is_new,is_non_native,hq_city,need_score
124 OF 2026,02/07/2026,DDJAY-APHP,17.85625,SONIPAT,NA,Rishika Edifice LLP,01/07/2031,"Rishika Group (Sanjiv Sarin, Ganaur)",B-,,29.14386889960169,77.026304021944,4038,,2,0,2023,1,0,Sonipat (Ganaur),5
153 OF 2026,28/07/2026,DDJAY-APHP,15.0875,SONIPAT,NA,Birdview Housing Projects LLP,27/07/2031,Birdview Housing Projects Llp,C,,29.041756378664967,77.0833430448355,4034,,1,0,2026,1,,,5
170 OF 2024,28/11/2024,DDJAY-APHP,12.075,SONIPAT,41,TRILOKPATI INFRAESTATE PVT LTD,27/11/2029,Trilokpati Infraestate Pvt Ltd,C,,28.914572669835504,77.06922200476657,3978,,1,0,2024,1,,,5
110 OF 2026,08/06/2026,DDJAY-APHP,11.5563,SONIPAT,11,Nugraj Dream Builders Pvt. Ltd.,07/06/2031,Nugraj Dream Builders Private Limited,C,,28.86727402671785,76.89476322173869,4027,,1,0,2024,1,,,5
125 OF 2026,02/07/2026,DDJAY-APHP,11.26875,KHARKHAUDA,10,Om Shiva Real Estate Pvt. Ltd.,01/07/2031,Om Shiva Real Estate Pvt. Ltd.,C,,28.862560932375555,76.90700725772622,4023,,1,0,2026,1,,,5
10 OF 2026,15/01/2026,DDJAY-APHP,10.50625,KHARKHAUDA,NA,Nextra Dream Town Realty Pvt. Ltd.,14/01/2031,Nextra Dream Town Realty Pvt. Ltd.,C,,28.874322596875324,76.93027925420716,4008,,1,0,2026,1,,,5
150 OF 2023,20/07/2023,DDJAY-APHP,20.56875,SONIPAT,33,Jai Krishna Artec JV,19/07/2028,Jai Krishna Artec JV (Krishna Apra lineage),B,,28.958907277282172,77.0631767877255,3955,,2,0,2006,0,1,New Delhi,4
73 OF 2026,23/04/2026,DDJAY-APHP,8.3375,SONIPAT,80,Skybyte Buildtech Pvt. Ltd.,22/04/2031,Skybyte Buildtech Pvt. Ltd.,C,,28.965596576234955,77.09295705619469,4018,,1,0,2026,1,,,4
107 OF 2026,02/06/2026,DDJAY-APHP,8.10625,SONIPAT,33,Kreshya Realtech LLP,01/06/2031,Kreshya Realtech Llp,C,,28.957077936804424,77.06095991096629,4028,,1,0,2026,1,,,4
179 OF 2025,18/09/2025,DDJAY-APHP,6.8,SONIPAT,26A,Ms Ujala Buildwell LLP,17/09/2030,Ms Ujala Buildwell Llp,C,,28.964378651791904,77.04696155370708,3989,,1,0,2025,1,,,4
163 OF 2026,13/08/2026,DDJAY-APHP,6.51875,SONIPAT,NA,SNPC RESIDENCY LIMITED,12/08/2031,Snpc Residency Limited,C,,28.92426291313692,77.16494127489788,4030,,1,0,2025,1,,,4
128 OF 2026,06/07/2026,DDJAY-APHP,5.98125,KHARKHAUDA,04,Ramville Buildcon LLP,05/07/2031,Ramville Buildcon Llp,C,,28.858051348343675,76.9297568017641,4031,,1,0,2026,1,,,3
189 OF 2024,19/12/2024,DDJAY-APHP,5.26875,SONIPAT,26A,U V Landbase Pvt. Ltd.,18/12/2029,U V Landbase Pvt. Ltd.,C,,28.955368805427184,77.04471573078051,3992,,1,0,2024,1,,,3
131 OF 2026,07/07/2026,AHP,5.2625,SONIPAT,NA,Chirag Buildtec Private Limited,06/07/2031,Chirag Buildtec Private Limited,C,,29.031529784899796,77.03433940144973,4036,,1,0,2026,1,,,3
